Model,Group,Model Number,Model Version,GDT_TS
M1239v2TS235_4,TS235,4,v2,0.299
M1239v2TS462_2,TS462,2,v2,0.286
M1239v2TS028_2,TS028,2,v2,0.277
M1239v2TS286_1,TS286,1,v2,0.275
M1239v2TS235_5,TS235,5,v2,0.275
M1239v2TS462_5,TS462,5,v2,0.274
M1239v2TS231_1,TS231,1,v2,0.273
M1239v2TS262_4,TS262,4,v2,0.271
M1239v2TS262_2,TS262,2,v2,0.271
M1239v2TS481_5,TS481,5,v2,0.27
M1239v2TS462_3,TS462,3,v2,0.267
M1239v2TS110_4,TS110,4,v2,0.265
M1239v2TS286_2,TS286,2,v2,0.264
M1239v2TS294_1,TS294,1,v2,0.261
M1239v2TS235_1,TS235,1,v2,0.261
M1239v2TS110_2,TS110,2,v2,0.261
M1239v2TS294_3,TS294,3,v2,0.258
M1239v2TS235_3,TS235,3,v2,0.258
M1239v2TS294_2,TS294,2,v2,0.257
M1239v2TS028_5,TS028,5,v2,0.255
M1239v2TS028_4,TS028,4,v2,0.254
M1239v2TS110_3,TS110,3,v2,0.253
M1239v2TS091_2,TS091,2,v2,0.253
M1239v2TS481_2,TS481,2,v2,0.252
M1239v2TS294_5,TS294,5,v2,0.249
M1239v2TS489_5,TS489,5,v2,0.249
M1239v2TS091_1,TS091,1,v2,0.247
M1239v2TS091_5,TS091,5,v2,0.247
M1239v2TS235_2,TS235,2,v2,0.246
M1239v2TS462_4,TS462,4,v2,0.246
M1239v2TS033_1,TS033,1,v2,0.242
M1239v2TS231_3,TS231,3,v2,0.242
M1239v2TS294_4,TS294,4,v2,0.24
M1239v2TS033_5,TS033,5,v2,0.238
M1239v2TS110_5,TS110,5,v2,0.236
M1239v2TS091_3,TS091,3,v2,0.234
M1239v2TS231_5,TS231,5,v2,0.233
M1239v2TS462_1,TS462,1,v2,0.233
M1239v2TS489_3,TS489,3,v2,0.233
M1239v2TS110_1,TS110,1,v2,0.233
M1239v2TS481_1,TS481,1,v2,0.231
M1239v2TS231_2,TS231,2,v2,0.231
M1239v2TS033_4,TS033,4,v2,0.228
M1239v2TS262_1,TS262,1,v2,0.227
M1239v2TS262_3,TS262,3,v2,0.227
M1239v2TS262_5,TS262,5,v2,0.227
M1239v2TS286_5,TS286,5,v2,0.226
M1239v2TS033_3,TS033,3,v2,0.225
M1239v2TS489_2,TS489,2,v2,0.225
M1239v2TS481_3,TS481,3,v2,0.224
M1239v2TS231_4,TS231,4,v2,0.222
M1239v2TS481_4,TS481,4,v2,0.22
M1239v2TS489_4,TS489,4,v2,0.215
M1239v2TS033_2,TS033,2,v2,0.213
M1239v2TS489_1,TS489,1,v2,0.209
M1239v2TS286_3,TS286,3,v2,0.203
M1239v2TS014_4,TS014,4,v2,0.202
M1239v2TS014_2,TS014,2,v2,0.2
M1239v2TS014_5,TS014,5,v2,0.199
M1239v2TS014_1,TS014,1,v2,0.198
M1239v2TS014_3,TS014,3,v2,0.197
M1239v2TS014_6,TS014,6,v2,0.197
M1239v2TS028_1,TS028,1,v2,0.193
M1239v2TS304_5,TS304,5,v2,0.188
M1239v2TS241_1,TS241,1,v2,0.178
M1239v2TS304_3,TS304,3,v2,0.175
M1239v2TS304_2,TS304,2,v2,0.174
M1239v2TS241_3,TS241,3,v2,0.168
M1239v2TS208_1,TS208,1,v2,0.167
M1239v2TS208_4,TS208,4,v2,0.167
M1239v2TS450_5,TS450,5,v2,0.164
M1239v2TS167_5,TS167,5,v2,0.164
M1239v2TS241_2,TS241,2,v2,0.162
M1239v2TS208_2,TS208,2,v2,0.161
M1239v2TS028_3,TS028,3,v2,0.159
M1239v2TS304_1,TS304,1,v2,0.158
M1239v2TS325_2,TS325,2,v2,0.155
M1239v2TS159_2,TS159,2,v2,0.155
M1239v2TS208_3,TS208,3,v2,0.154
M1239v2TS208_5,TS208,5,v2,0.154
M1239v2TS241_4,TS241,4,v2,0.154
M1239v2TS286_4,TS286,4,v2,0.146
M1239v2TS159_1,TS159,1,v2,0.146
M1239v2TS272_5,TS272,5,v2,0.146
M1239v2TS272_1,TS272,1,v2,0.144
M1239v2TS272_3,TS272,3,v2,0.142
M1239v2TS272_2,TS272,2,v2,0.142
M1239v2TS272_4,TS272,4,v2,0.142
M1239v2TS091_4,TS091,4,v2,0.112
M1239v2TS450_1,TS450,1,v2,0.102
M1239v2TS167_1,TS167,1,v2,0.102
M1239v2TS167_3,TS167,3,v2,0.102
M1239v2TS450_3,TS450,3,v2,0.102
M1239v2TS167_2,TS167,2,v2,0.101
M1239v2TS450_2,TS450,2,v2,0.101
M1239v2TS167_4,TS167,4,v2,0.101
M1239v2TS450_4,TS450,4,v2,0.101
M1239v2TS241_5,TS241,5,v2,0.094
M1239v2TS304_4,TS304,4,v2,0.093
