Model,Composite_Score_4,Model Version,Model Number,Group
R1203TS006_1,31.07099348101686,v1,1,TS006
R1203TS006_2,10.298753068869152,v1,2,TS006
R1203TS006_3,31.404113037516417,v1,3,TS006
R1203TS006_4,10.523196448052731,v1,4,TS006
R1203TS006_5,10.0233944,v1,5,TS006
R1203TS028_1,7.876282452399238,v1,1,TS028
R1203TS028_2,6.612240154615026,v1,2,TS028
R1203TS028_3,9.628761538052904,v1,3,TS028
R1203TS028_4,1.39775662869077,v1,4,TS028
R1203TS033_1,1.1200667420151664e-09,v1,1,TS033
R1203TS033_2,1.1200667420151664e-09,v1,2,TS033
R1203TS033_3,1.1200667420151664e-09,v1,3,TS033
R1203TS033_4,1.1200667420151664e-09,v1,4,TS033
R1203TS033_5,1.1200667420151664e-09,v1,5,TS033
R1203TS052_1,10.163752531416314,v1,1,TS052
R1203TS052_2,8.394136595,v1,2,TS052
R1203TS052_3,7.383989831977724,v1,3,TS052
R1203TS052_4,5.865510270960961,v1,4,TS052
R1203TS052_5,9.631007846279845,v1,5,TS052
R1203TS063_1,10.868142288583856,v1,1,TS063
R1203TS063_2,9.946293381472998,v1,2,TS063
R1203TS063_3,10.998751074791134,v1,3,TS063
R1203TS063_4,10.80289226444513,v1,4,TS063
R1203TS063_5,10.110001465567048,v1,5,TS063
R1203TS094_1,0.9700002440662968,v1,1,TS094
R1203TS094_2,0.398750476373807,v1,2,TS094
R1203TS094_3,1.103762842856138,v1,3,TS094
R1203TS094_4,0.1762505782845767,v1,4,TS094
R1203TS094_5,2.3517583338594195,v1,5,TS094
R1203TS110_1,7.933791029623508,v1,1,TS110
R1203TS110_2,7.313760088485952,v1,2,TS110
R1203TS110_3,7.876300907566369,v1,3,TS110
R1203TS110_4,6.765009037014695,v1,4,TS110
R1203TS110_5,7.255011382372388,v1,5,TS110
R1203TS156_1,8.222692878750898,v1,1,TS156
R1203TS156_2,0.019016585,v1,2,TS156
R1203TS156_3,0.106394204,v1,3,TS156
R1203TS156_4,6.513409735812698,v1,4,TS156
R1203TS156_5,8.907520188329602,v1,5,TS156
R1203TS159_1,10.72613596,v1,1,TS159
R1203TS159_2,31.26665134831641,v1,2,TS159
R1203TS159_3,8.674921015139821,v1,3,TS159
R1203TS159_4,9.065286221819076,v1,4,TS159
R1203TS159_5,9.034041631019994,v1,5,TS159
R1203TS165_1,10.600902053579713,v1,1,TS165
R1203TS165_2,10.207637919542424,v1,2,TS165
R1203TS165_3,11.072776003255912,v1,3,TS165
R1203TS165_4,7.038390797846586,v1,4,TS165
R1203TS165_5,9.492208378327016,v1,5,TS165
R1203TS167_1,6.829903049916011,v1,1,TS167
R1203TS167_2,31.98571667976949,v1,2,TS167
R1203TS167_3,8.253152233003886,v1,3,TS167
R1203TS167_4,7.902506281826303,v1,4,TS167
R1203TS167_5,7.94250035,v1,5,TS167
R1203TS169_1,6.2700005509361985,v1,1,TS169
R1203TS169_2,6.700006410949048,v1,2,TS169
R1203TS169_3,7.033418335484697,v1,3,TS169
R1203TS169_4,7.770503385,v1,4,TS169
R1203TS169_5,6.833907534,v1,5,TS169
R1203TS183_1,8.042612390517863,v1,1,TS183
R1203TS183_2,9.992684506176223,v1,2,TS183
R1203TS183_3,7.3360676152220305,v1,3,TS183
R1203TS183_4,9.310623189635676,v1,4,TS183
R1203TS183_5,10.18687957,v1,5,TS183
R1203TS189_1,9.279041168729432,v1,1,TS189
R1203TS189_2,9.661252538180507,v1,2,TS189
R1203TS189_3,9.953820116197615,v1,3,TS189
R1203TS189_4,9.670062334159375,v1,4,TS189
R1203TS189_5,8.974907685631488,v1,5,TS189
R1203TS208_1,3.1262941675386022,v1,1,TS208
R1203TS231_1,8.913813849704948,v1,1,TS231
R1203TS231_2,9.844882382,v1,2,TS231
R1203TS231_3,8.221353644411082,v1,3,TS231
R1203TS231_4,7.702500096723361,v1,4,TS231
R1203TS231_5,29.922757289127055,v1,5,TS231
R1203TS235_1,7.617394241818086,v1,1,TS235
R1203TS235_2,30.774371855504473,v1,2,TS235
R1203TS235_3,7.717041546394782,v1,3,TS235
R1203TS235_4,7.516349647,v1,4,TS235
