Model,Group,Model Version,Model Number,Composite_Score_1
R1203TS159_1,TS159,v2,1,56.63520708245942
R1203TS435_6,TS435,v2,6,51.932822150142194
R1203TS006_5,TS006,v2,5,49.45115025305702
R1203TS006_4,TS006,v2,4,49.02955385440604
R1203TS417_4,TS417,v2,4,48.7136274619369
R1203TS317_4,TS317,v2,4,47.45301516212042
R1203TS231_5,TS231,v2,5,47.18156874489563
R1203TS006_3,TS006,v2,3,46.22847040720041
R1203TS165_5,TS165,v2,5,46.10574444817182
R1203TS267_3,TS267,v2,3,45.64741736241636
R1203TS235_5,TS235,v2,5,44.935633346377436
R1203TS238_5,TS238,v2,5,44.546585445387315
R1203TS272_1,TS272,v2,1,44.47960301154888
R1203TS435_1,TS435,v2,1,44.04290721198212
R1203TS110_5,TS110,v2,5,43.88528295680125
R1203TS267_4,TS267,v2,4,43.77910529312948
R1203TS304_2,TS304,v2,2,43.483732364607604
R1203TS241_2,TS241,v2,2,43.483732364607604
R1203TS400_1,TS400,v2,1,43.12172595410529
R1203TS304_3,TS304,v2,3,42.592736020563
R1203TS241_3,TS241,v2,3,42.592736020563
R1203TS294_3,TS294,v2,3,42.59131248106796
R1203TS417_1,TS417,v2,1,42.3340574163302
R1203TS417_5,TS417,v2,5,42.12531959803992
R1203TS276_1,TS276,v2,1,41.667300711767474
R1203TS435_5,TS435,v2,5,41.53788268767576
R1203TS481_5,TS481,v2,5,40.83166431658663
R1203TS369_5,TS369,v2,5,40.6235494603434
R1203TS286_1,TS286,v2,1,40.32772525777395
R1203TS369_3,TS369,v2,3,40.282087070717814
R1203TS006_1,TS006,v2,1,40.1036339809814
R1203TS052_4,TS052,v2,4,40.02143989463084
R1203TS286_3,TS286,v2,3,39.99980166392232
R1203TS417_2,TS417,v2,2,39.757691549256336
R1203TS272_4,TS272,v2,4,39.71391551251459
R1203TS167_2,TS167,v2,2,39.69977388800789
R1203TS235_2,TS235,v2,2,39.6982867502385
R1203TS286_2,TS286,v2,2,39.6929051290882
R1203TS304_4,TS304,v2,4,39.66069864927534
R1203TS241_4,TS241,v2,4,39.66069864927534
R1203TS241_1,TS241,v2,1,39.62008186413193
R1203TS304_1,TS304,v2,1,39.62008186413193
R1203TS294_1,TS294,v2,1,39.62008186413193
R1203TS159_4,TS159,v2,4,39.5844980967604
R1203TS272_5,TS272,v2,5,39.54537059290179
R1203TS235_4,TS235,v2,4,39.11935130956738
R1203TS369_2,TS369,v2,2,39.00724328770848
R1203TS304_5,TS304,v2,5,38.5337809674078
R1203TS241_5,TS241,v2,5,38.5337809674078
R1203TS462_1,TS462,v2,1,38.3192653838761
R1203TS369_4,TS369,v2,4,38.22486462831801
R1203TS159_2,TS159,v2,2,38.12295004582081
R1203TS481_3,TS481,v2,3,37.827741615048396
R1203TS338_3,TS338,v2,3,37.811607535374534
R1203TS156_1,TS156,v2,1,37.34519945993034
R1203TS448_1,TS448,v2,1,37.30597396112672
R1203TS052_3,TS052,v2,3,36.68706908676095
R1203TS338_5,TS338,v2,5,36.56420535956967
R1203TS317_5,TS317,v2,5,36.487905833013826
R1203TS063_3,TS063,v2,3,36.40950107785842
R1203TS063_1,TS063,v2,1,36.20603030849247
R1203TS165_1,TS165,v2,1,36.080409609911875
R1203TS006_2,TS006,v2,2,36.0717516281789
R1203TS028_2,TS028,v2,2,36.01934010045191
R1203TS165_2,TS165,v2,2,35.947527728605046
R1203TS183_2,TS183,v2,2,35.85469687317509
R1203TS481_4,TS481,v2,4,35.84863491889465
R1203TS183_5,TS183,v2,5,35.58319086057999
R1203TS294_2,TS294,v2,2,35.46691806255426
R1203TS189_1,TS189,v2,1,35.42532579477269
R1203TS294_4,TS294,v2,4,35.2431238270509
R1203TS165_3,TS165,v2,3,34.96564317352791
R1203TS183_4,TS183,v2,4,34.811717395329914
R1203TS238_3,TS238,v2,3,34.77495723962615
R1203TS286_4,TS286,v2,4,34.59675590267182
R1203TS238_2,TS238,v2,2,34.51935443366594
R1203TS448_5,TS448,v2,5,34.03106268122334
R1203TS435_3,TS435,v2,3,34.00246097451008
R1203TS165_4,TS165,v2,4,33.991534911992524
R1203TS272_3,TS272,v2,3,33.85618504757285
R1203TS435_2,TS435,v2,2,33.663925202972656
R1203TS063_5,TS063,v2,5,33.613990504040245
R1203TS338_4,TS338,v2,4,33.52365570716849
R1203TS238_4,TS238,v2,4,33.4334366039781
R1203TS456_1,TS456,v2,1,33.24864337041838
R1203TS338_1,TS338,v2,1,33.171542677736696
R1203TS189_2,TS189,v2,2,33.12383415045961
R1203TS063_2,TS063,v2,2,32.91659124148726
R1203TS063_4,TS063,v2,4,32.90662628705808
R1203TS189_5,TS189,v2,5,32.83340212076437
R1203TS052_1,TS052,v2,1,32.67079666151578
R1203TS481_2,TS481,v2,2,32.6251928946999
R1203TS338_2,TS338,v2,2,32.55442967373535
R1203TS481_1,TS481,v2,1,32.540086351568036
R1203TS267_5,TS267,v2,5,32.39104211699087
R1203TS052_5,TS052,v2,5,32.37810139176632
R1203TS238_1,TS238,v2,1,32.07821967356443
R1203TS189_4,TS189,v2,4,31.985034725688184
R1203TS286_5,TS286,v2,5,31.935650424044063
R1203TS367_1,TS367,v2,1,31.65857643368762
R1203TS189_3,TS189,v2,3,31.574091209377922
R1203TS231_2,TS231,v2,2,31.48757416585783
R1203TS267_1,TS267,v2,1,31.297095509750545
R1203TS183_1,TS183,v2,1,31.1013443089882
R1203TS435_4,TS435,v2,4,30.99953433110708
R1203TS448_4,TS448,v2,4,30.80188042439098
R1203TS456_2,TS456,v2,2,30.79225863411755
R1203TS110_2,TS110,v2,2,30.653597215157912
R1203TS462_2,TS462,v2,2,30.653597215157912
R1203TS267_2,TS267,v2,2,30.561929757168663
R1203TS156_4,TS156,v2,4,30.536056539432174
R1203TS052_2,TS052,v2,2,30.395940607031587
R1203TS159_5,TS159,v2,5,30.348835305901922
R1203TS028_3,TS028,v2,3,30.300741558964138
R1203TS231_1,TS231,v2,1,30.24590257702993
R1203TS183_3,TS183,v2,3,29.830798782636386
R1203TS294_5,TS294,v2,5,29.698164280560455
R1203TS456_4,TS456,v2,4,29.441073763474783
R1203TS159_3,TS159,v2,3,29.368917401042097
R1203TS358_1,TS358,v2,1,28.451932260769958
R1203TS110_1,TS110,v2,1,28.122492777174518
R1203TS358_4,TS358,v2,4,27.855337912935028
R1203TS358_2,TS358,v2,2,27.621073144819782
R1203TS448_2,TS448,v2,2,27.519423223591634
R1203TS169_2,TS169,v2,2,27.091596870985693
R1203TS028_1,TS028,v2,1,26.930952123139253
R1203TS462_5,TS462,v2,5,26.755791778250472
R1203TS110_3,TS110,v2,3,26.755791778250472
R1203TS462_3,TS462,v2,3,26.642725639618828
R1203TS448_3,TS448,v2,3,26.629736115774744
R1203TS235_3,TS235,v2,3,26.520827664321985
R1203TS231_3,TS231,v2,3,26.495997705298976
R1203TS261_3,TS261,v2,3,26.46165740920008
R1203TS462_4,TS462,v2,4,26.240654923894216
R1203TS235_1,TS235,v2,1,26.130573934726737
R1203TS456_5,TS456,v2,5,25.62226204062594
R1203TS169_3,TS169,v2,3,25.263668159409896
R1203TS169_5,TS169,v2,5,25.22184634656249
R1203TS358_3,TS358,v2,3,25.181986612728977
R1203TS261_4,TS261,v2,4,24.680556960559947
R1203TS317_2,TS317,v2,2,24.465715615901647
R1203TS167_1,TS167,v2,1,24.381059733141456
R1203TS167_3,TS167,v2,3,24.378549799835138
R1203TS110_4,TS110,v2,4,24.288980148409834
R1203TS358_5,TS358,v2,5,23.990508597122282
R1203TS231_4,TS231,v2,4,23.61764981687551
R1203TS167_4,TS167,v2,4,23.469608557921077
R1203TS272_2,TS272,v2,2,23.36513706274816
R1203TS169_4,TS169,v2,4,23.146144415147432
R1203TS417_3,TS417,v2,3,22.816908266559444
R1203TS156_5,TS156,v2,5,22.76692988905332
R1203TS028_4,TS028,v2,4,22.701993945949333
R1203TS261_1,TS261,v2,1,22.61738274151743
R1203TS167_5,TS167,v2,5,22.587897896721735
R1203TS403_1,TS403,v2,1,22.429786692315847
R1203TS450_4,TS450,v2,4,22.11668101570625
R1203TS423_1,TS423,v2,1,21.84701209485877
R1203TS298_1,TS298,v2,1,21.84701209485877
R1203TS450_2,TS450,v2,2,21.734271523116114
R1203TS317_3,TS317,v2,3,21.72278847866319
