Model,Group,Model Number,Model Version,GDT_TS
R1203v2TS159_1,TS159,1,v2,0.64739
R1203v2TS231_5,TS231,5,v2,0.6306
R1203v2TS272_1,TS272,1,v2,0.61567
R1203v2TS435_5,TS435,5,v2,0.60261
R1203v2TS304_2,TS304,2,v2,0.60261
R1203v2TS241_2,TS241,2,v2,0.60261
R1203v2TS448_4,TS448,4,v2,0.59328
R1203v2TS276_1,TS276,1,v2,0.58955
R1203v2TS448_1,TS448,1,v2,0.58955
R1203v2TS304_3,TS304,3,v2,0.58582
R1203v2TS272_4,TS272,4,v2,0.58582
R1203v2TS241_3,TS241,3,v2,0.58582
R1203v2TS400_1,TS400,1,v2,0.58396
R1203v2TS235_2,TS235,2,v2,0.58022
R1203v2TS156_1,TS156,1,v2,0.57836
R1203v2TS369_3,TS369,3,v2,0.57463
R1203v2TS448_3,TS448,3,v2,0.57276
R1203v2TS272_5,TS272,5,v2,0.57276
R1203v2TS235_5,TS235,5,v2,0.5709000000000001
R1203v2TS304_4,TS304,4,v2,0.5709000000000001
R1203v2TS241_4,TS241,4,v2,0.5709000000000001
R1203v2TS241_1,TS241,1,v2,0.5653
R1203v2TS294_1,TS294,1,v2,0.5653
R1203v2TS369_2,TS369,2,v2,0.5653
R1203v2TS304_1,TS304,1,v2,0.5653
R1203v2TS369_5,TS369,5,v2,0.5653
R1203v2TS369_4,TS369,4,v2,0.56157
R1203v2TS165_4,TS165,4,v2,0.5540999999999999
R1203v2TS006_1,TS006,1,v2,0.55224
R1203v2TS417_3,TS417,3,v2,0.54104
R1203v2TS304_5,TS304,5,v2,0.5373100000000001
R1203v2TS165_2,TS165,2,v2,0.5373100000000001
R1203v2TS241_5,TS241,5,v2,0.5373100000000001
R1203v2TS159_2,TS159,2,v2,0.5335799999999999
R1203v2TS006_3,TS006,3,v2,0.53172
R1203v2TS006_4,TS006,4,v2,0.52985
R1203v2TS006_5,TS006,5,v2,0.52799
R1203v2TS006_2,TS006,2,v2,0.52612
R1203v2TS167_2,TS167,2,v2,0.52425
R1203v2TS286_2,TS286,2,v2,0.52425
R1203v2TS286_1,TS286,1,v2,0.52425
R1203v2TS238_5,TS238,5,v2,0.52052
R1203v2TS448_2,TS448,2,v2,0.50933
R1203v2TS028_2,TS028,2,v2,0.50746
R1203v2TS286_3,TS286,3,v2,0.50746
R1203v2TS317_2,TS317,2,v2,0.50746
R1203v2TS317_3,TS317,3,v2,0.50746
R1203v2TS369_1,TS369,1,v2,0.50373
R1203v2TS448_5,TS448,5,v2,0.50373
R1203v2TS165_1,TS165,1,v2,0.50373
R1203v2TS165_3,TS165,3,v2,0.5
R1203v2TS367_1,TS367,1,v2,0.5
R1203v2TS417_4,TS417,4,v2,0.49627000000000004
R1203v2TS189_1,TS189,1,v2,0.49439999999999995
R1203v2TS183_2,TS183,2,v2,0.49439999999999995
R1203v2TS456_1,TS456,1,v2,0.49254
R1203v2TS338_1,TS338,1,v2,0.49067
R1203v2TS403_1,TS403,1,v2,0.49067
R1203v2TS183_3,TS183,3,v2,0.48881
R1203v2TS417_2,TS417,2,v2,0.48881
R1203v2TS417_1,TS417,1,v2,0.48694000000000004
R1203v2TS338_3,TS338,3,v2,0.48694000000000004
R1203v2TS238_2,TS238,2,v2,0.48694000000000004
R1203v2TS338_2,TS338,2,v2,0.48694000000000004
R1203v2TS435_2,TS435,2,v2,0.48507
R1203v2TS456_3,TS456,3,v2,0.48507
R1203v2TS063_1,TS063,1,v2,0.48507
R1203v2TS052_1,TS052,1,v2,0.48507
R1203v2TS481_4,TS481,4,v2,0.47948
R1203v2TS052_5,TS052,5,v2,0.47948
R1203v2TS267_5,TS267,5,v2,0.47575
R1203v2TS481_3,TS481,3,v2,0.47575
R1203v2TS238_3,TS238,3,v2,0.47575
R1203v2TS417_5,TS417,5,v2,0.47575
R1203v2TS338_5,TS338,5,v2,0.47387999999999997
R1203v2TS183_5,TS183,5,v2,0.47201
R1203v2TS183_4,TS183,4,v2,0.47201
R1203v2TS238_4,TS238,4,v2,0.47015
R1203v2TS338_4,TS338,4,v2,0.46828000000000003
R1203v2TS267_4,TS267,4,v2,0.46642000000000006
R1203v2TS435_1,TS435,1,v2,0.46642000000000006
R1203v2TS294_4,TS294,4,v2,0.46642000000000006
R1203v2TS238_1,TS238,1,v2,0.46082
R1203v2TS435_3,TS435,3,v2,0.46082
R1203v2TS159_4,TS159,4,v2,0.46082
R1203v2TS267_3,TS267,3,v2,0.45896000000000003
R1203v2TS317_5,TS317,5,v2,0.45896000000000003
R1203v2TS052_2,TS052,2,v2,0.45709000000000005
R1203v2TS286_4,TS286,4,v2,0.45709000000000005
R1203v2TS306_1,TS306,1,v2,0.45709000000000005
R1203v2TS294_3,TS294,3,v2,0.45709000000000005
R1203v2TS063_3,TS063,3,v2,0.45521999999999996
R1203v2TS435_6,TS435,6,v2,0.45521999999999996
