Model,Group,Model Version,Model Number,Composite_Score_2
T1214TS015_5,TS015,v1,5,90.15854372533637
T1214TS015_2,TS015,v1,2,89.84263459026755
T1214TS298_4,TS298,v1,4,88.03846999930116
T1214TS386_4,TS386,v1,4,88.03846999930116
T1214TS386_1,TS386,v1,1,88.01423907746039
T1214TS298_1,TS298,v1,1,88.01423907746039
T1214TS386_3,TS386,v1,3,87.71660940637113
T1214TS298_3,TS298,v1,3,87.71660940637113
T1214TS386_2,TS386,v1,2,87.52164522206476
T1214TS298_2,TS298,v1,2,87.52164522206476
T1214TS208_4,TS208,v1,4,86.00597781981364
T1214TS386_5,TS386,v1,5,85.94768719085118
T1214TS298_5,TS298,v1,5,85.94768719085118
T1214TS462_6,TS462,v1,6,84.51002740422817
T1214TS022_4,TS022,v1,4,84.28047397306608
T1214TS408_1,TS408,v1,1,83.92391245740286
T1214TS055_5,TS055,v1,5,83.58945915811869
T1214TS055_4,TS055,v1,4,83.58945915811869
T1214TS055_3,TS055,v1,3,83.58945915811869
T1214TS465_3,TS465,v1,3,83.15138476133947
T1214TS110_2,TS110,v1,2,81.67568664195346
T1214TS202_5,TS202,v1,5,81.15626039863739
T1214TS465_2,TS465,v1,2,80.45749944627495
T1214TS022_5,TS022,v1,5,80.03097021390091
T1214TS388_4,TS388,v1,4,79.8818476159752
T1214TS015_3,TS015,v1,3,79.74159046957067
T1214TS465_4,TS465,v1,4,79.16250061587681
T1214TS423_1,TS423,v1,1,78.89271060480272
T1214TS020_4,TS020,v1,4,78.80614262725146
T1214TS147_1,TS147,v1,1,78.65580228275338
T1214TS462_1,TS462,v1,1,78.65580228275338
T1214TS091_2,TS091,v1,2,78.62154666338226
T1214TS102_4,TS102,v1,4,78.38098732565584
T1214TS102_5,TS102,v1,5,78.38098732565584
T1214TS102_2,TS102,v1,2,78.38098732565584
T1214TS102_3,TS102,v1,3,78.38098732565584
T1214TS102_1,TS102,v1,1,78.38098732565584
T1214TS375_3,TS375,v1,3,78.30773570040328
T1214TS294_3,TS294,v1,3,78.29120231166901
T1214TS110_1,TS110,v1,1,78.28598292388688
T1214TS287_1,TS287,v1,1,78.27746454370639
T1214TS287_2,TS287,v1,2,78.18261473863436
T1214TS264_1,TS264,v1,1,78.12818003698607
T1214TS393_1,TS393,v1,1,78.12818003698607
T1214TS148_5,TS148,v1,5,78.12818003698607
T1214TS312_1,TS312,v1,1,78.12818003698607
T1214TS314_1,TS314,v1,1,78.12818003698607
T1214TS319_3,TS319,v1,3,78.02288887636337
T1214TS425_2,TS425,v1,2,78.02288887636337
T1214TS465_5,TS465,v1,5,77.85569525877287
T1214TS227_3,TS227,v1,3,77.80840423706465
T1214TS227_2,TS227,v1,2,77.80789802729451
T1214TS311_4,TS311,v1,4,77.4360809048105
T1214TS207_2,TS207,v1,2,77.17392532881952
T1214TS207_3,TS207,v1,3,77.17392532881952
T1214TS207_1,TS207,v1,1,77.17392532881952
T1214TS014_5,TS014,v1,5,76.85286256875992
T1214TS227_5,TS227,v1,5,76.7764027164438
T1214TS227_4,TS227,v1,4,76.7764027164438
T1214TS227_1,TS227,v1,1,76.7764027164438
T1214TS014_4,TS014,v1,4,76.6949340080672
T1214TS225_1,TS225,v1,1,76.66992354071155
T1214TS164_1,TS164,v1,1,76.66992354071155
T1214TS163_1,TS163,v1,1,76.66992354071155
T1214TS311_1,TS311,v1,1,76.61695663343272
T1214TS393_6,TS393,v1,6,76.58983330028074
T1214TS314_2,TS314,v1,2,76.58983330028074
T1214TS312_2,TS312,v1,2,76.58983330028074
