Model,Composite_Score_2
T1214TS014_2,76.18586519310982
T1214TS015_1,90.71815503022715
T1214TS017_1,95.36010329517879
T1214TS019_1,75.50437870370926
T1214TS020_3,88.20583755116236
T1214TS022_2,90.3049724601043
T1214TS039_3,80.99276239915822
T1214TS040_3,97.12805141367534
T1214TS051_6,77.10684277281821
T1214TS052_5,91.14495302908405
T1214TS055_1,70.68778016274268
T1214TS059_6,93.7721332015953
T1214TS075_1,74.79726180336166
T1214TS079_2,74.00140309099336
T1214TS091_1,96.52650917474934
T1214TS102_3,72.79266987074426
T1214TS110_5,94.90884692072933
T1214TS120_6,68.87861199220062
T1214TS122_1,76.70007942158607
T1214TS132_1,40.271884681523815
T1214TS139_6,93.7721332015953
T1214TS145_1,95.36010329517879
T1214TS147_3,94.83126281276245
T1214TS148_2,90.99364464851857
T1214TS163_5,77.14993308581619
T1214TS164_5,77.14993308581619
T1214TS167_2,74.65371401582756
T1214TS196_1,76.50736112603077
T1214TS198_1,95.29438117012654
T1214TS202_5,61.240861836152824
T1214TS204_3,94.59253922699318
T1214TS207_1,73.26396155333512
T1214TS208_2,78.12117529039821
T1214TS221_5,90.26588306197118
T1214TS225_1,73.757431898416
T1214TS227_1,73.51898629099281
T1214TS235_4,79.44135788937027
T1214TS241_1,77.16952165802104
T1214TS262_2,90.93599478558622
T1214TS264_6,77.51220918241619
T1214TS267_3,77.89785986712994
T1214TS269_4,90.30000780708619
T1214TS272_1,76.56087017879867
T1214TS274_1,98.66656665655769
T1214TS275_1,61.0840161962621
T1214TS284_1,74.79726180336166
T1214TS286_4,92.24870933068672
T1214TS287_5,79.7172408209825
T1214TS293_1,74.00140309099336
T1214TS294_2,73.22273527539097
T1214TS298_5,67.81367695622475
T1214TS301_4,76.65477167284772
T1214TS304_1,77.16952165802104
T1214TS311_5,76.14199324001842
T1214TS312_5,78.1174631380084
T1214TS314_5,78.1174631380084
T1214TS319_4,93.0165288765242
T1214TS331_5,74.80336084674386
T1214TS345_1,77.00505169301961
T1214TS361_1,66.41536136218036
T1214TS369_5,80.22362910360374
T1214TS375_4,94.75693439409126
T1214TS386_5,67.81367695622475
T1214TS388_1,93.89343572518061
T1214TS393_4,78.1174631380084
T1214TS400_1,75.81732562095948
T1214TS408_2,74.11105110307655
T1214TS419_5,90.26588306197118
T1214TS423_3,75.27545176760819
T1214TS425_4,92.59910858213716
T1214TS450_5,74.65371401582756
T1214TS456_4,91.2465540913844
T1214TS461_3,79.29523857750098
T1214TS462_3,94.83126281276245
T1214TS464_4,76.95537440932608
T1214TS465_1,78.13021888233976
T1214TS475_5,76.58281812382535
T1214TS494_1,98.66656665655769
