Model,Group,Model Number,Model Version,GDT_TS
T1228v2TS264_2,TS264,2,v2,0.60066
T1228v1TS148_3,TS148,3,v1,0.60066
T1228v2TS264_1,TS264,1,v2,0.59831
T1228v2TS264_6,TS264,6,v2,0.59831
T1228v1TS148_4,TS148,4,v1,0.59831
T1228v1TS148_2,TS148,2,v1,0.59316
T1228v2TS028_5,TS028,5,v2,0.55384
T1228v2TS167_3,TS167,3,v2,0.55337
T1228v2TS450_3,TS450,3,v2,0.55337
T1228v2TS450_4,TS450,4,v2,0.5505599999999999
T1228v2TS167_4,TS167,4,v2,0.5505599999999999
T1228v1TS314_1,TS314,1,v1,0.55009
T1228v1TS022_1,TS022,1,v1,0.54916
T1228v2TS022_5,TS022,5,v2,0.54916
T1228v1TS148_5,TS148,5,v1,0.54728
T1228v2TS091_5,TS091,5,v2,0.54635
T1228v1TS091_5,TS091,5,v1,0.54635
T1228v2TS091_4,TS091,4,v2,0.54588
T1228v1TS091_4,TS091,4,v1,0.54588
T1228v2TS450_5,TS450,5,v2,0.54541
T1228v2TS167_5,TS167,5,v2,0.54541
T1228v2TS110_5,TS110,5,v2,0.53558
T1228v2TS147_1,TS147,1,v2,0.53371
T1228v2TS462_5,TS462,5,v2,0.53043
T1228v2TS264_5,TS264,5,v2,0.53043
T1228v2TS110_4,TS110,4,v2,0.52575
T1228v1TS212_2,TS212,2,v1,0.52481
T1228v1TS147_4,TS147,4,v1,0.52434
T1228v1TS456_2,TS456,2,v1,0.52388
T1228v2TS052_2,TS052,2,v2,0.52388
T1228v2TS456_2,TS456,2,v2,0.52388
T1228v1TS052_2,TS052,2,v1,0.52388
T1228v2TS262_4,TS262,4,v2,0.52341
T1228v2TS262_1,TS262,1,v2,0.52341
T1228v2TS028_4,TS028,4,v2,0.52294
T1228v1TS212_4,TS212,4,v1,0.52247
T1228v1TS212_5,TS212,5,v1,0.52247
T1228v1TS212_3,TS212,3,v1,0.52107
T1228v2TS091_3,TS091,3,v2,0.52013
T1228v1TS212_1,TS212,1,v1,0.52013
T1228v1TS091_1,TS091,1,v1,0.52013
T1228v1TS262_1,TS262,1,v1,0.51966
T1228v1TS262_3,TS262,3,v1,0.51966
T1228v1TS262_5,TS262,5,v1,0.51966
T1228v1TS241_2,TS241,2,v1,0.51826
T1228v2TS167_2,TS167,2,v2,0.51826
T1228v2TS450_2,TS450,2,v2,0.51826
T1228v1TS033_4,TS033,4,v1,0.51826
T1228v1TS462_4,TS462,4,v1,0.51826
T1228v1TS147_5,TS147,5,v1,0.51639
T1228v2TS462_4,TS462,4,v2,0.50843
T1228v2TS167_1,TS167,1,v2,0.50796
T1228v2TS450_1,TS450,1,v2,0.50796
T1228v1TS462_2,TS462,2,v1,0.50796
T1228v2TS075_4,TS075,4,v2,0.50702
T1228v2TS284_4,TS284,4,v2,0.50702
T1228v2TS122_4,TS122,4,v2,0.50702
T1228v2TS301_4,TS301,4,v2,0.50702
T1228v2TS481_5,TS481,5,v2,0.5065500000000001
T1228v1TS462_5,TS462,5,v1,0.50609
T1228v1TS284_3,TS284,3,v1,0.50421
T1228v1TS122_3,TS122,3,v1,0.50421
T1228v1TS075_3,TS075,3,v1,0.50421
T1228v2TS019_4,TS019,4,v2,0.50281
T1228v2TS110_3,TS110,3,v2,0.5018699999999999
T1228v1TS148_1,TS148,1,v1,0.50094
T1228v2TS028_1,TS028,1,v2,0.49906
T1228v2TS019_3,TS019,3,v2,0.49813
T1228v2TS147_3,TS147,3,v2,0.49813
T1228v2TS110_2,TS110,2,v2,0.49719
T1228v2TS019_2,TS019,2,v2,0.49672
T1228v1TS019_5,TS019,5,v1,0.49625
T1228v2TS028_2,TS028,2,v2,0.49625
T1228v2TS314_1,TS314,1,v2,0.49625
T1228v2TS019_1,TS019,1,v2,0.49625
T1228v1TS284_1,TS284,1,v1,0.49438000000000004
