Model,Group,Model Number,Model Version,GlobalLDDT
T1228v2TS028_4,TS028,4,v2,0.7563
T1228v2TS110_3,TS110,3,v2,0.7556
T1228v2TS462_2,TS462,2,v2,0.7542
T1228v2TS462_1,TS462,1,v2,0.7510
T1228v2TS241_4,TS241,4,v2,0.7509
T1228v2TS462_4,TS462,4,v2,0.7507
T1228v1TS147_5,TS147,5,v1,0.7506
T1228v1TS314_3,TS314,3,v1,0.7505
T1228v2TS314_5,TS314,5,v2,0.7504
T1228v2TS345_3,TS345,3,v2,0.7501
T1228v2TS314_3,TS314,3,v2,0.7501
T1228v1TS314_4,TS314,4,v1,0.7501
T1228v1TS319_1,TS319,1,v1,0.7501
T1228v1TS331_1,TS331,1,v1,0.7501
T1228v1TS051_1,TS051,1,v1,0.7501
T1228v2TS425_4,TS425,4,v2,0.7501
T1228v1TS345_1,TS345,1,v1,0.7501
T1228v2TS051_3,TS051,3,v2,0.7501
T1228v2TS331_2,TS331,2,v2,0.7501
T1228v2TS319_2,TS319,2,v2,0.7501
T1228v2TS462_5,TS462,5,v2,0.7497
T1228v1TS110_3,TS110,3,v1,0.7497
T1228v1TS345_5,TS345,5,v1,0.7496
T1228v2TS345_5,TS345,5,v2,0.7496
T1228v2TS051_5,TS051,5,v2,0.7496
T1228v1TS051_5,TS051,5,v1,0.7496
T1228v2TS314_4,TS314,4,v2,0.7493
T1228v2TS314_2,TS314,2,v2,0.7489
T1228v1TS028_5,TS028,5,v1,0.7486
T1228v1TS110_4,TS110,4,v1,0.7483
T1228v1TS204_5,TS204,5,v1,0.7475
T1228v1TS028_4,TS028,4,v1,0.7474
T1228v2TS147_4,TS147,4,v2,0.7473
T1228v1TS314_2,TS314,2,v1,0.7464
T1228v1TS110_5,TS110,5,v1,0.7464
T1228v1TS314_1,TS314,1,v1,0.7463
T1228v2TS284_4,TS284,4,v2,0.7458
T1228v2TS122_4,TS122,4,v2,0.7458
T1228v2TS075_4,TS075,4,v2,0.7458
T1228v2TS301_4,TS301,4,v2,0.7458
T1228v1TS148_2,TS148,2,v1,0.7457
T1228v1TS204_3,TS204,3,v1,0.7453
T1228v2TS204_5,TS204,5,v2,0.7453
T1228v1TS022_1,TS022,1,v1,0.7451
T1228v1TS022_3,TS022,3,v1,0.7451
T1228v2TS022_5,TS022,5,v2,0.7451
T1228v2TS022_3,TS022,3,v2,0.7451
T1228v1TS159_1,TS159,1,v1,0.7450
T1228v1TS325_1,TS325,1,v1,0.7450
T1228v2TS325_1,TS325,1,v2,0.7450
T1228v2TS159_1,TS159,1,v2,0.7450
T1228v2TS110_5,TS110,5,v2,0.7441
T1228v1TS284_3,TS284,3,v1,0.7440
T1228v1TS122_3,TS122,3,v1,0.7440
T1228v2TS167_5,TS167,5,v2,0.7440
T1228v1TS075_3,TS075,3,v1,0.7440
T1228v2TS450_5,TS450,5,v2,0.7440
T1228v1TS204_4,TS204,4,v1,0.7439
T1228v1TS298_3,TS298,3,v1,0.7438
T1228v2TS145_3,TS145,3,v2,0.7438
T1228v1TS145_3,TS145,3,v1,0.7438
T1228v1TS122_1,TS122,1,v1,0.7436
T1228v1TS075_1,TS075,1,v1,0.7436
T1228v1TS284_1,TS284,1,v1,0.7436
T1228v1TS148_4,TS148,4,v1,0.7433
T1228v2TS264_1,TS264,1,v2,0.7433
T1228v2TS264_6,TS264,6,v2,0.7433
T1228v2TS167_4,TS167,4,v2,0.7433
T1228v2TS450_4,TS450,4,v2,0.7433
T1228v2TS198_2,TS198,2,v2,0.7433
T1228v1TS450_1,TS450,1,v1,0.7432
T1228v1TS167_1,TS167,1,v1,0.7432
T1228v1TS148_3,TS148,3,v1,0.7431
