Model,Group,Model Number,Model Version,GlobalLDDT
T1239v1TS028_4,TS028,4,v1,0.8158
T1239v1TS028_3,TS028,3,v1,0.8127
T1239v2TS028_2,TS028,2,v2,0.8126
T1239v1TS345_1,TS345,1,v1,0.8124
T1239v1TS051_3,TS051,3,v1,0.8124
T1239v2TS051_1,TS051,1,v2,0.8124
T1239v2TS345_3,TS345,3,v2,0.8124
T1239v1TS235_1,TS235,1,v1,0.8115
T1239v2TS462_2,TS462,2,v2,0.8113
T1239v2TS028_1,TS028,1,v2,0.8110
T1239v2TS028_4,TS028,4,v2,0.8104
T1239v1TS051_4,TS051,4,v1,0.8101
T1239v2TS051_4,TS051,4,v2,0.8101
T1239v2TS345_4,TS345,4,v2,0.8101
T1239v1TS345_4,TS345,4,v1,0.8101
T1239v2TS456_3,TS456,3,v2,0.8097
T1239v1TS456_3,TS456,3,v1,0.8097
T1239v1TS235_3,TS235,3,v1,0.8085
T1239v1TS208_4,TS208,4,v1,0.8084
T1239v1TS298_1,TS298,1,v1,0.8082
T1239v2TS235_4,TS235,4,v2,0.8078
T1239v1TS208_2,TS208,2,v1,0.8076
T1239v1TS235_2,TS235,2,v1,0.8074
T1239v2TS425_2,TS425,2,v2,0.8070
T1239v1TS425_2,TS425,2,v1,0.8070
T1239v1TS208_1,TS208,1,v1,0.8060
T1239v1TS462_4,TS462,4,v1,0.8057
T1239v2TS235_2,TS235,2,v2,0.8038
T1239v2TS419_1,TS419,1,v2,0.8038
T1239v2TS221_1,TS221,1,v2,0.8038
T1239v1TS204_5,TS204,5,v1,0.8035
T1239v1TS294_1,TS294,1,v1,0.8020
T1239v1TS110_1,TS110,1,v1,0.8003
T1239v2TS208_4,TS208,4,v2,0.7994
T1239v2TS110_5,TS110,5,v2,0.7990
T1239v1TS028_5,TS028,5,v1,0.7990
T1239v2TS286_1,TS286,1,v2,0.7987
T1239v1TS028_1,TS028,1,v1,0.7987
T1239v1TS022_5,TS022,5,v1,0.7986
T1239v2TS208_3,TS208,3,v2,0.7976
T1239v1TS147_3,TS147,3,v1,0.7975
T1239v2TS208_5,TS208,5,v2,0.7974
T1239v2TS489_5,TS489,5,v2,0.7973
T1239v2TS235_1,TS235,1,v2,0.7969
T1239v2TS462_3,TS462,3,v2,0.7968
T1239v2TS208_1,TS208,1,v2,0.7967
T1239v2TS208_2,TS208,2,v2,0.7967
T1239v2TS314_2,TS314,2,v2,0.7958
T1239v2TS331_2,TS331,2,v2,0.7956
T1239v1TS051_5,TS051,5,v1,0.7956
T1239v2TS319_2,TS319,2,v2,0.7956
T1239v2TS051_5,TS051,5,v2,0.7956
T1239v1TS319_2,TS319,2,v1,0.7956
T1239v1TS331_2,TS331,2,v1,0.7956
T1239v2TS345_5,TS345,5,v2,0.7956
T1239v1TS345_5,TS345,5,v1,0.7956
T1239v1TS419_2,TS419,2,v1,0.7950
T1239v1TS221_2,TS221,2,v1,0.7950
T1239v1TS110_2,TS110,2,v1,0.7942
T1239v1TS425_5,TS425,5,v1,0.7941
T1239v1TS331_5,TS331,5,v1,0.7941
T1239v1TS319_5,TS319,5,v1,0.7941
T1239v2TS051_2,TS051,2,v2,0.7941
T1239v1TS051_2,TS051,2,v1,0.7941
T1239v1TS345_2,TS345,2,v1,0.7941
T1239v2TS345_2,TS345,2,v2,0.7941
T1239v2TS331_1,TS331,1,v2,0.7941
T1239v2TS319_1,TS319,1,v2,0.7941
T1239v2TS425_1,TS425,1,v2,0.7941
T1239v2TS314_4,TS314,4,v2,0.7940
T1239v1TS052_1,TS052,1,v1,0.7938
T1239v2TS052_4,TS052,4,v2,0.7938
T1239v2TS489_2,TS489,2,v2,0.7935
T1239v1TS022_2,TS022,2,v1,0.7929
T1239v2TS456_4,TS456,4,v2,0.7929
T1239v1TS456_1,TS456,1,v1,0.7929
T1239v2TS489_1,TS489,1,v2,0.7929
T1239v2TS022_1,TS022,1,v2,0.7929
T1239v1TS489_3,TS489,3,v1,0.7928
T1239v1TS019_1,TS019,1,v1,0.7927
T1239v2TS019_2,TS019,2,v2,0.7927
T1239v1TS147_1,TS147,1,v1,0.7927
T1239v1TS489_2,TS489,2,v1,0.7923
T1239v2TS235_3,TS235,3,v2,0.7922
T1239v2TS022_2,TS022,2,v2,0.7921
T1239v1TS022_1,TS022,1,v1,0.7921
T1239v1TS294_4,TS294,4,v1,0.7918
T1239v2TS314_5,TS314,5,v2,0.7918
T1239v1TS028_2,TS028,2,v1,0.7916
T1239v1TS241_2,TS241,2,v1,0.7908
T1239v2TS489_3,TS489,3,v2,0.7905
T1239v2TS028_3,TS028,3,v2,0.7904
T1239v1TS294_5,TS294,5,v1,0.7903
T1239v1TS052_5,TS052,5,v1,0.7902
T1239v1TS489_1,TS489,1,v1,0.7901
T1239v1TS235_5,TS235,5,v1,0.7896
T1239v1TS481_4,TS481,4,v1,0.7892
T1239v1TS325_2,TS325,2,v1,0.7890
T1239v1TS159_2,TS159,2,v1,0.7890
T1239v2TS159_2,TS159,2,v2,0.7890
T1239v2TS325_2,TS325,2,v2,0.7890
T1239v2TS294_1,TS294,1,v2,0.7890
T1239v2TS159_1,TS159,1,v2,0.7887
T1239v1TS159_1,TS159,1,v1,0.7887
T1239v1TS325_1,TS325,1,v1,0.7887
T1239v2TS294_2,TS294,2,v2,0.7883
T1239v1TS481_1,TS481,1,v1,0.7881
T1239v2TS314_3,TS314,3,v2,0.7879
T1239v1TS456_4,TS456,4,v1,0.7878
T1239v1TS110_3,TS110,3,v1,0.7878
T1239v2TS052_1,TS052,1,v2,0.7878
T1239v1TS052_4,TS052,4,v1,0.7878
T1239v2TS456_1,TS456,1,v2,0.7878
T1239v1TS314_5,TS314,5,v1,0.7877
T1239v2TS294_3,TS294,3,v2,0.7876
T1239v2TS294_5,TS294,5,v2,0.7869
T1239v1TS489_4,TS489,4,v1,0.7866
T1239v2TS314_1,TS314,1,v2,0.7863
T1239v1TS489_5,TS489,5,v1,0.7856
T1239v2TS221_2,TS221,2,v2,0.7854
T1239v2TS419_2,TS419,2,v2,0.7854
T1239v2TS294_4,TS294,4,v2,0.7852
T1239v1TS241_4,TS241,4,v1,0.7845
T1239v2TS272_4,TS272,4,v2,0.7840
T1239v1TS272_3,TS272,3,v1,0.7840
T1239v1TS272_2,TS272,2,v1,0.7840
T1239v2TS272_5,TS272,5,v2,0.7840
T1239v1TS272_5,TS272,5,v1,0.7840
T1239v2TS272_2,TS272,2,v2,0.7840
T1239v2TS272_3,TS272,3,v2,0.7840
T1239v1TS272_4,TS272,4,v1,0.7840
T1239v2TS272_1,TS272,1,v2,0.7840
T1239v1TS272_1,TS272,1,v1,0.7840
T1239v2TS489_4,TS489,4,v2,0.7837
T1239v1TS481_3,TS481,3,v1,0.7832
T1239v1TS419_3,TS419,3,v1,0.7809
T1239v1TS221_3,TS221,3,v1,0.7809
T1239v1TS262_2,TS262,2,v1,0.7799
T1239v1TS262_5,TS262,5,v1,0.7799
T1239v1TS262_3,TS262,3,v1,0.7798
T1239v1TS262_1,TS262,1,v1,0.7798
T1239v2TS262_5,TS262,5,v2,0.7790
T1239v2TS262_3,TS262,3,v2,0.7790
T1239v2TS262_1,TS262,1,v2,0.7790
T1239v1TS481_2,TS481,2,v1,0.7785
T1239v1TS286_4,TS286,4,v1,0.7728
T1239v2TS286_4,TS286,4,v2,0.7707
T1239v1TS019_4,TS019,4,v1,0.7601
T1239v2TS019_5,TS019,5,v2,0.7601
T1239v1TS481_5,TS481,5,v1,0.7599
T1239v2TS481_4,TS481,4,v2,0.7579
T1239v2TS147_4,TS147,4,v2,0.7568
T1239v2TS019_3,TS019,3,v2,0.7568
T1239v2TS481_5,TS481,5,v2,0.7551
T1239v2TS462_4,TS462,4,v2,0.7531
