Model,Group,Model Number,Model Version,AvgDockQ
T1249v2TS015_1o,TS015,1o,v2,0.713
T1249v1TS015_2o,TS015,2o,v1,0.713
T1249v2TS345_4o,TS345,4o,v2,0.685
T1249v1TS456_2o,TS456,2o,v1,0.654
T1249v2TS456_2o,TS456,2o,v2,0.654
T1249v2TS397_1o,TS397,1o,v2,0.653
T1249v1TS014_1o,TS014,1o,v1,0.648
T1249v1TS079_2o,TS079,2o,v1,0.623
T1249v1TS293_2o,TS293,2o,v1,0.623
T1249v1TS051_6o,TS051,6o,v1,0.608
T1249v2TS051_6o,TS051,6o,v2,0.608
T1249v2TS465_3o,TS465,3o,v2,0.583
T1249v1TS465_1o,TS465,1o,v1,0.583
T1249v2TS264_2o,TS264,2o,v2,0.582
T1249v2TS312_2o,TS312,2o,v2,0.582
T1249v2TS148_2o,TS148,2o,v2,0.582
T1249v1TS397_1o,TS397,1o,v1,0.569
T1249v1TS014_2o,TS014,2o,v1,0.567
T1249v2TS122_2o,TS122,2o,v2,0.566
T1249v2TS075_1o,TS075,1o,v2,0.566
T1249v2TS475_1o,TS475,1o,v2,0.566
T1249v2TS284_1o,TS284,1o,v2,0.566
T1249v2TS079_4o,TS079,4o,v2,0.562
T1249v2TS293_4o,TS293,4o,v2,0.562
T1249v2TS241_5o,TS241,5o,v2,0.547
T1249v1TS293_1o,TS293,1o,v1,0.538
T1249v1TS079_1o,TS079,1o,v1,0.538
T1249v2TS204_5o,TS204,5o,v2,0.508
T1249v2TS204_2o,TS204,2o,v2,0.505
T1249v1TS301_4o,TS301,4o,v1,0.5
T1249v1TS301_5o,TS301,5o,v1,0.499
T1249v1TS014_6o,TS014,6o,v1,0.499
T1249v2TS219_1o,TS219,1o,v2,0.493
T1249v2TS322_1o,TS322,1o,v2,0.493
T1249v1TS219_4o,TS219,4o,v1,0.493
T1249v1TS322_4o,TS322,4o,v1,0.493
T1249v2TS091_5o,TS091,5o,v2,0.487
T1249v1TS423_2o,TS423,2o,v1,0.487
T1249v2TS167_2o,TS167,2o,v2,0.483
T1249v2TS450_2o,TS450,2o,v2,0.483
T1249v1TS267_2o,TS267,2o,v1,0.482
T1249v2TS091_1o,TS091,1o,v2,0.478
T1249v1TS393_3o,TS393,3o,v1,0.475
T1249v2TS287_2o,TS287,2o,v2,0.474
T1249v1TS311_2o,TS311,2o,v1,0.472
T1249v2TS311_2o,TS311,2o,v2,0.472
T1249v2TS059_3o,TS059,3o,v2,0.468
T1249v2TS241_1o,TS241,1o,v2,0.467
T1249v2TS204_3o,TS204,3o,v2,0.462
T1249v1TS022_5o,TS022,5o,v1,0.461
T1249v2TS022_5o,TS022,5o,v2,0.461
T1249v2TS290_1o,TS290,1o,v2,0.46
T1249v1TS290_5o,TS290,5o,v1,0.46
T1249v2TS022_3o,TS022,3o,v2,0.46
T1249v2TS052_3o,TS052,3o,v2,0.46
T1249v1TS052_3o,TS052,3o,v1,0.46
T1249v1TS022_3o,TS022,3o,v1,0.46
T1249v2TS294_4o,TS294,4o,v2,0.46
T1249v2TS314_5o,TS314,5o,v2,0.458
T1249v1TS423_3o,TS423,3o,v1,0.458
T1249v2TS079_1o,TS079,1o,v2,0.458
T1249v2TS293_1o,TS293,1o,v2,0.458
T1249v2TS425_3o,TS425,3o,v2,0.457
T1249v1TS345_3o,TS345,3o,v1,0.457
T1249v2TS319_3o,TS319,3o,v2,0.457
T1249v2TS331_3o,TS331,3o,v2,0.457
T1249v2TS345_5o,TS345,5o,v2,0.457
T1249v1TS345_5o,TS345,5o,v1,0.457
T1249v1TS008_1o,TS008,1o,v1,0.457
T1249v2TS028_1o,TS028,1o,v2,0.457
T1249v1TS450_1o,TS450,1o,v1,0.456
T1249v1TS167_1o,TS167,1o,v1,0.456
T1249v2TS393_5o,TS393,5o,v2,0.455
T1249v2TS052_2o,TS052,2o,v2,0.455
T1249v1TS052_1o,TS052,1o,v1,0.455
T1249v2TS079_3o,TS079,3o,v2,0.454
T1249v2TS293_3o,TS293,3o,v2,0.454
T1249v2TS267_5o,TS267,5o,v2,0.454
T1249v2TS375_1o,TS375,1o,v2,0.453
T1249v2TS028_4o,TS028,4o,v2,0.453
T1249v2TS204_4o,TS204,4o,v2,0.452
T1249v1TS059_2o,TS059,2o,v1,0.452
T1249v1TS059_1o,TS059,1o,v1,0.451
T1249v2TS456_4o,TS456,4o,v2,0.451
T1249v1TS456_1o,TS456,1o,v1,0.451
T1249v2TS110_1o,TS110,1o,v2,0.45
T1249v2TS462_1o,TS462,1o,v2,0.45
T1249v2TS147_1o,TS147,1o,v2,0.45
T1249v2TS008_1o,TS008,1o,v2,0.446
T1249v1TS423_1o,TS423,1o,v1,0.446
T1249v1TS375_4o,TS375,4o,v1,0.445
T1249v1TS369_3o,TS369,3o,v1,0.444
T1249v2TS369_3o,TS369,3o,v2,0.444
T1249v1TS008_4o,TS008,4o,v1,0.444
T1249v2TS423_5o,TS423,5o,v2,0.444
T1249v2TS264_4o,TS264,4o,v2,0.444
T1249v2TS148_4o,TS148,4o,v2,0.444
T1249v2TS312_4o,TS312,4o,v2,0.444
T1249v2TS022_1o,TS022,1o,v2,0.443
T1249v1TS052_2o,TS052,2o,v1,0.443
T1249v1TS022_1o,TS022,1o,v1,0.443
T1249v2TS110_5o,TS110,5o,v2,0.443
T1249v2TS462_3o,TS462,3o,v2,0.443
T1249v2TS110_4o,TS110,4o,v2,0.443
T1249v2TS147_3o,TS147,3o,v2,0.443
T1249v2TS287_1o,TS287,1o,v2,0.44
T1249v2TS264_3o,TS264,3o,v2,0.44
T1249v2TS312_3o,TS312,3o,v2,0.44
T1249v2TS148_3o,TS148,3o,v2,0.44
T1249v2TS284_2o,TS284,2o,v2,0.439
T1249v2TS122_3o,TS122,3o,v2,0.439
T1249v2TS475_2o,TS475,2o,v2,0.439
T1249v2TS075_2o,TS075,2o,v2,0.439
T1249v2TS293_2o,TS293,2o,v2,0.439
T1249v2TS079_2o,TS079,2o,v2,0.439
T1249v2TS311_4o,TS311,4o,v2,0.439
T1249v1TS311_4o,TS311,4o,v1,0.439
T1249v2TS264_1o,TS264,1o,v2,0.438
T1249v2TS148_1o,TS148,1o,v2,0.438
T1249v2TS312_1o,TS312,1o,v2,0.438
T1249v2TS015_5o,TS015,5o,v2,0.437
T1249v1TS015_5o,TS015,5o,v1,0.437
T1249v2TS290_5o,TS290,5o,v2,0.436
T1249v1TS375_3o,TS375,3o,v1,0.436
T1249v2TS290_3o,TS290,3o,v2,0.436
T1249v1TS393_6o,TS393,6o,v1,0.435
T1249v2TS028_3o,TS028,3o,v2,0.433
T1249v2TS267_1o,TS267,1o,v2,0.433
T1249v1TS423_5o,TS423,5o,v1,0.433
T1249v2TS267_3o,TS267,3o,v2,0.433
T1249v2TS314_4o,TS314,4o,v2,0.432
T1249v2TS423_1o,TS423,1o,v2,0.431
T1249v2TS091_2o,TS091,2o,v2,0.431
T1249v1TS272_3o,TS272,3o,v1,0.43
T1249v1TS304_2o,TS304,2o,v1,0.43
T1249v2TS301_4o,TS301,4o,v2,0.43
