Model,Group,Model Number,GDT_TS
T1249v2TS345_4,TS345,4,0.88
T1249v1TS456_1,TS456,1,0.873
T1249v2TS456_4,TS456,4,0.873
T1249v1TS015_2,TS015,2,0.866
T1249v1TS456_2,TS456,2,0.866
T1249v2TS015_1,TS015,1,0.866
T1249v2TS456_2,TS456,2,0.866
T1249v2TS079_1,TS079,1,0.864
T1249v2TS148_2,TS148,2,0.864
T1249v2TS264_2,TS264,2,0.864
T1249v2TS293_1,TS293,1,0.864
T1249v2TS312_2,TS312,2,0.864
T1249v2TS079_4,TS079,4,0.86
T1249v2TS293_4,TS293,4,0.86
T1249v2TS079_3,TS079,3,0.859
T1249v2TS293_3,TS293,3,0.859
T1249v1TS014_1,TS014,1,0.856
T1249v2TS059_3,TS059,3,0.848
T1249v1TS079_1,TS079,1,0.846
T1249v1TS293_1,TS293,1,0.846
T1249v1TS423_2,TS423,2,0.846
T1249v1TS079_2,TS079,2,0.843
T1249v1TS293_2,TS293,2,0.843
T1249v2TS148_1,TS148,1,0.843
T1249v2TS264_1,TS264,1,0.843
T1249v2TS312_1,TS312,1,0.843
T1249v2TS294_4,TS294,4,0.841
T1249v2TS204_4,TS204,4,0.84
T1249v1TS301_2,TS301,2,0.839
T1249v1TS423_3,TS423,3,0.839
T1249v1TS423_5,TS423,5,0.837
T1249v2TS423_5,TS423,5,0.835
T1249v2TS267_3,TS267,3,0.832
T1249v1TS423_1,TS423,1,0.831
T1249v2TS301_4,TS301,4,0.831
T1249v2TS423_1,TS423,1,0.828
T1249v2TS290_3,TS290,3,0.827
T1249v2TS031_3,TS031,3,0.826
T1249v1TS022_3,TS022,3,0.825
T1249v1TS052_3,TS052,3,0.825
T1249v2TS022_3,TS022,3,0.825
T1249v2TS052_3,TS052,3,0.825
T1249v2TS301_2,TS301,2,0.825
T1249v2TS397_1,TS397,1,0.824
T1249v2TS031_5,TS031,5,0.822
T1249v2TS301_3,TS301,3,0.822
T1249v2TS031_2,TS031,2,0.821
T1249v2TS267_1,TS267,1,0.82
T1249v2TS301_1,TS301,1,0.82
T1249v2TS423_2,TS423,2,0.82
T1249v1TS014_3,TS014,3,0.817
T1249v1TS031_5,TS031,5,0.817
T1249v1TS423_4,TS423,4,0.817
T1249v2TS031_1,TS031,1,0.817
T1249v2TS423_3,TS423,3,0.817
T1249v1TS014_2,TS014,2,0.816
T1249v1TS267_3,TS267,3,0.816
T1249v1TS301_4,TS301,4,0.816
T1249v2TS301_5,TS301,5,0.814
T1249v1TS014_5,TS014,5,0.813
T1249v1TS294_4,TS294,4,0.813
T1249v2TS290_2,TS290,2,0.813
T1249v2TS294_5,TS294,5,0.813
T1249v1TS301_5,TS301,5,0.812
T1249v1TS301_3,TS301,3,0.811
T1249v2TS148_4,TS148,4,0.811
T1249v2TS264_4,TS264,4,0.811
T1249v2TS312_4,TS312,4,0.811
T1249v1TS301_1,TS301,1,0.81
T1249v2TS423_4,TS423,4,0.81
T1249v2TS031_4,TS031,4,0.809
T1249v2TS079_2,TS079,2,0.807
T1249v2TS293_2,TS293,2,0.807
T1249v1TS051_6,TS051,6,0.805
T1249v2TS051_6,TS051,6,0.805
T1249v1TS014_4,TS014,4,0.802
T1249v1TS059_1,TS059,1,0.802
T1249v1TS059_2,TS059,2,0.802
T1249v2TS294_3,TS294,3,0.8
T1249v1TS375_3,TS375,3,0.799
T1249v1TS393_2,TS393,2,0.795
T1249v2TS375_1,TS375,1,0.793
T1249v1TS241_3,TS241,3,0.791
T1249v2TS022_4,TS022,4,0.789
T1249v2TS028_1,TS028,1,0.788
T1249v2TS091_1,TS091,1,0.788
T1249v2TS091_4,TS091,4,0.788
T1249v1TS079_4,TS079,4,0.787
T1249v1TS293_4,TS293,4,0.787
T1249v1TS051_3,TS051,3,0.784
T1249v1TS345_5,TS345,5,0.784
T1249v2TS051_4,TS051,4,0.784
T1249v2TS345_5,TS345,5,0.784
T1249v2TS028_4,TS028,4,0.783
T1249v2TS110_4,TS110,4,0.783
T1249v2TS147_3,TS147,3,0.783
T1249v2TS462_3,TS462,3,0.783
T1249v1TS079_3,TS079,3,0.782
T1249v1TS293_3,TS293,3,0.782
T1249v2TS079_5,TS079,5,0.782
T1249v2TS293_5,TS293,5,0.782
T1249v1TS008_4,TS008,4,0.78
T1249v1TS393_6,TS393,6,0.78
T1249v1TS059_4,TS059,4,0.779
T1249v1TS345_3,TS345,3,0.779
T1249v2TS008_1,TS008,1,0.779
T1249v2TS319_3,TS319,3,0.779
T1249v2TS331_3,TS331,3,0.779
T1249v2TS425_3,TS425,3,0.779
T1249v2TS014_1,TS014,1,0.778
T1249v2TS110_5,TS110,5,0.778
T1249v1TS059_3,TS059,3,0.777
T1249v1TS267_4,TS267,4,0.776
T1249v2TS059_2,TS059,2,0.776
T1249v2TS167_2,TS167,2,0.776
T1249v2TS450_2,TS450,2,0.776
T1249v1TS079_5,TS079,5,0.775
T1249v1TS293_5,TS293,5,0.775
T1249v1TS311_2,TS311,2,0.772
T1249v2TS311_2,TS311,2,0.772
T1249v1TS375_4,TS375,4,0.77
T1249v2TS059_5,TS059,5,0.769
T1249v1TS267_1,TS267,1,0.766
T1249v1TS052_1,TS052,1,0.765
T1249v2TS052_2,TS052,2,0.765
T1249v1TS014_6,TS014,6,0.764
T1249v1TS397_1,TS397,1,0.764
T1249v1TS311_5,TS311,5,0.763
T1249v2TS311_5,TS311,5,0.763
T1249v1TS290_5,TS290,5,0.762
