Model,Group,Model Number,Model Version,GDT_TS
T1249v2TS314_1,TS314,1,v2,0.776
T1249v2TS304_1,TS304,1,v2,0.75
T1249v2TS304_3,TS304,3,v2,0.731
T1249v2TS314_3,TS314,3,v2,0.728
T1249v2TS393_6,TS393,6,v2,0.717
T1249v1TS304_3,TS304,3,v1,0.704
T1249v1TS272_2,TS272,2,v1,0.684
T1249v2TS075_4,TS075,4,v2,0.669
T1249v2TS122_1,TS122,1,v2,0.669
T1249v2TS284_4,TS284,4,v2,0.669
T1249v2TS475_4,TS475,4,v2,0.669
T1249v2TS287_5,TS287,5,v2,0.649
T1249v1TS145_5,TS145,5,v1,0.644
T1249v1TS380_5,TS380,5,v1,0.644
T1249v2TS145_5,TS145,5,v2,0.644
T1249v2TS380_5,TS380,5,v2,0.644
T1249v2TS287_4,TS287,4,v2,0.643
T1249v1TS261_5,TS261,5,v1,0.634
T1249v1TS261_3,TS261,3,v1,0.632
T1249v1TS261_2,TS261,2,v1,0.631
T1249v1TS261_4,TS261,4,v1,0.631
T1249v2TS261_1,TS261,1,v2,0.631
T1249v2TS261_3,TS261,3,v2,0.629
T1249v1TS261_1,TS261,1,v1,0.627
T1249v2TS261_4,TS261,4,v2,0.627
T1249v2TS393_5,TS393,5,v2,0.627
T1249v2TS261_5,TS261,5,v2,0.626
T1249v2TS261_2,TS261,2,v2,0.625
T1249v1TS304_4,TS304,4,v1,0.613
T1249v2TS117_4,TS117,4,v2,0.613
T1249v2TS287_3,TS287,3,v2,0.609
T1249v1TS091_1,TS091,1,v1,0.608
T1249v1TS145_3,TS145,3,v1,0.608
T1249v1TS380_2,TS380,2,v1,0.608
T1249v1TS304_5,TS304,5,v1,0.607
T1249v2TS145_3,TS145,3,v2,0.607
T1249v2TS380_2,TS380,2,v2,0.607
T1249v1TS198_3,TS198,3,v1,0.606
T1249v2TS198_3,TS198,3,v2,0.606
T1249v2TS314_5,TS314,5,v2,0.601
T1249v2TS198_5,TS198,5,v2,0.6
T1249v1TS272_3,TS272,3,v1,0.597
T1249v2TS304_2,TS304,2,v2,0.597
T1249v1TS163_5,TS163,5,v1,0.593
T1249v2TS163_5,TS163,5,v2,0.593
T1249v1TS091_2,TS091,2,v1,0.592
T1249v1TS059_5,TS059,5,v1,0.59
T1249v2TS314_4,TS314,4,v2,0.589
T1249v2TS008_5,TS008,5,v2,0.587
T1249v1TS167_5,TS167,5,v1,0.586
T1249v1TS450_5,TS450,5,v1,0.586
T1249v2TS393_2,TS393,2,v2,0.585
T1249v1TS304_2,TS304,2,v1,0.584
T1249v2TS241_4,TS241,4,v2,0.584
T1249v2TS052_1,TS052,1,v2,0.583
T1249v2TS117_5,TS117,5,v2,0.583
T1249v2TS287_2,TS287,2,v2,0.583
T1249v1TS008_5,TS008,5,v1,0.582
T1249v1TS219_2,TS219,2,v1,0.582
T1249v1TS322_2,TS322,2,v1,0.582
T1249v2TS075_3,TS075,3,v2,0.582
T1249v2TS122_4,TS122,4,v2,0.582
T1249v2TS219_4,TS219,4,v2,0.582
T1249v2TS284_3,TS284,3,v2,0.582
T1249v2TS322_4,TS322,4,v2,0.582
T1249v2TS475_3,TS475,3,v2,0.582
T1249v1TS462_6,TS462,6,v1,0.581
T1249v2TS462_6,TS462,6,v2,0.581
T1249v1TS091_3,TS091,3,v1,0.58
T1249v1TS494_4,TS494,4,v1,0.58
T1249v2TS494_4,TS494,4,v2,0.58
T1249v1TS008_3,TS008,3,v1,0.578
T1249v2TS091_5,TS091,5,v2,0.578
