Group,best_BestDockQ_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_BestDockQ_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS294,7.903,M1228v1TS294_1.pdb ,v1,M1228v2TS294_1.pdb ,v2,8.178,7.903,8.178,16.081
TS033,7.336,M1228v1TS033_4.pdb ,v1,M1228v2TS033_5.pdb ,v2,7.903,7.336,7.903,15.239
TS462,8.129,M1228v1TS462_3.pdb ,v1,M1228v2TS462_3.pdb ,v2,6.797,8.129,6.797,14.925999999999998
TS204,6.477,M1228v1TS204_2.pdb ,v1,M1228v2TS204_2.pdb ,v2,8.302,6.477,8.302,14.779
TS325,6.106,M1228v1TS325_1.pdb ,v1,M1228v2TS325_1.pdb ,v2,8.134,6.106,8.134,14.24
TS159,6.106,M1228v1TS159_1.pdb ,v1,M1228v2TS159_1.pdb ,v2,8.134,6.106,8.134,14.24
TS304,5.927,M1228v1TS304_2.pdb ,v1,M1228v2TS304_3.pdb ,v2,8.067,5.927,8.067,13.994
TS241,5.842,M1228v1TS241_3.pdb ,v1,M1228v2TS241_1.pdb ,v2,7.815,5.842,7.815,13.657
TS091,7.462,M1228v1TS091_3.pdb ,v1,M1228v2TS091_2.pdb ,v2,6.141,7.462,6.141,13.603
TS262,6.878,M1228v1TS262_1.pdb ,v1,M1228v2TS262_3.pdb ,v2,6.231,6.878,6.231,13.109
TS231,5.25,M1228v1TS231_2.pdb ,v1,M1228v2TS231_1.pdb ,v2,7.677,5.25,7.677,12.927
TS489,6.497,M1228v1TS489_1.pdb ,v1,M1228v2TS489_1.pdb ,v2,6.393,6.497,6.393,12.89
TS481,6.042,M1228v1TS481_4.pdb ,v1,M1228v2TS481_2.pdb ,v2,6.538,6.042,6.538,12.58
TS208,4.988,M1228v1TS208_1.pdb ,v1,M1228v2TS208_5.pdb ,v2,7.376,4.988,7.376,12.364
TS286,5.877,M1228v1TS286_1.pdb ,v1,M1228v2TS286_1.pdb ,v2,5.992,5.877,5.992,11.869
TS110,5.508,M1228v1TS110_3.pdb ,v1,M1228v2TS110_5.pdb ,v2,6.345,5.508,6.345,11.853
TS028,5.518,M1228v1TS028_4.pdb ,v1,M1228v2TS028_4.pdb ,v2,6.078,5.518,6.078,11.596
TS167,5.115,M1228v1TS167_1.pdb ,v1,M1228v2TS167_2.pdb ,v2,5.592,5.115,5.592,10.707
TS450,5.115,M1228v1TS450_1.pdb ,v1,M1228v2TS450_2.pdb ,v2,5.592,5.115,5.592,10.707
TS022,1.811,M1228v1TS022_4.pdb ,v1,M1228v2TS022_5.pdb ,v2,2.031,1.811,2.031,3.842
TS052,1.758,M1228v1TS052_3.pdb ,v1,M1228v2TS052_5.pdb ,v2,2.028,1.758,2.028,3.786
TS456,1.742,M1228v1TS456_4.pdb ,v1,M1228v2TS456_5.pdb ,v2,1.823,1.742,1.823,3.565
TS494,1.661,M1228v1TS494_2.pdb ,v1,M1228v2TS494_3.pdb ,v2,1.718,1.661,1.718,3.379
TS274,1.661,M1228v1TS274_2.pdb ,v1,M1228v2TS274_3.pdb ,v2,1.718,1.661,1.718,3.379
TS014,1.76,M1228v1TS014_4.pdb ,v1,M1228v2TS014_4.pdb ,v2,1.394,1.76,1.394,3.154
