Gr.Code,Model,BestDockQ
204,M1228v2TS204_2.pdb ,8.302
294,M1228v2TS294_1.pdb ,8.178
159,M1228v2TS159_1.pdb ,8.134
325,M1228v2TS325_1.pdb ,8.134
304,M1228v2TS304_3.pdb ,8.067
33,M1228v2TS033_5.pdb ,7.903
241,M1228v2TS241_1.pdb ,7.815
231,M1228v2TS231_1.pdb ,7.677
208,M1228v2TS208_5.pdb ,7.376
462,M1228v2TS462_3.pdb ,6.797
481,M1228v2TS481_2.pdb ,6.538
489,M1228v2TS489_1.pdb ,6.393
110,M1228v2TS110_5.pdb ,6.345
262,M1228v2TS262_3.pdb ,6.231
91,M1228v2TS091_2.pdb ,6.141
28,M1228v2TS028_4.pdb ,6.078
286,M1228v2TS286_1.pdb ,5.992
450,M1228v2TS450_2.pdb ,5.592
167,M1228v2TS167_2.pdb ,5.592
22,M1228v2TS022_5.pdb ,2.031
52,M1228v2TS052_5.pdb ,2.028
456,M1228v2TS456_5.pdb ,1.823
274,M1228v2TS274_3.pdb ,1.718
494,M1228v2TS494_3.pdb ,1.718
14,M1228v2TS014_4.pdb ,1.394
