Group,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS294,1.6081,0.7903,0.8178000000000001,TS294_v1_1,TS294_v2_1,0.8178000000000001,v2_v2,0.7903,0.0,0.0,0.8178000000000001,1.0,,,1.0
TS033,1.5239,0.7336,0.7903,TS033_v1_4,TS033_v2_5,0.7903,v2_v2,0.7336,0.0,0.0,0.7903,4.0,,,5.0
TS462,1.4926,0.8129,0.6797,TS462_v1_3,TS462_v2_3,0.8129,v1_v1,0.8129,0.0,0.0,0.6797,3.0,,,3.0
TS204,1.4779,0.6477,0.8301999999999999,TS204_v1_2,TS204_v2_2,0.8301999999999999,v2_v2,0.6477,0.0,0.0,0.8301999999999999,2.0,,,2.0
TS159,1.424,0.6106,0.8134,TS159_v1_1,TS159_v2_1,0.8134,v2_v2,0.6106,0.0,0.0,0.8134,1.0,,,1.0
TS325,1.424,0.6106,0.8134,TS325_v1_1,TS325_v2_1,0.8134,v2_v2,0.6106,0.0,0.0,0.8134,1.0,,,1.0
TS304,1.3994,0.5927,0.8067,TS304_v1_2,TS304_v2_3,0.8067,v2_v2,0.5927,0.0,0.0,0.8067,2.0,,,3.0
TS241,1.3657,0.5841999999999999,0.7815000000000001,TS241_v1_3,TS241_v2_1,0.7815000000000001,v2_v2,0.5841999999999999,0.0,0.0,0.7815000000000001,3.0,,,1.0
TS091,1.3603,0.7462,0.6141,TS091_v1_3,TS091_v2_2,0.7462,v1_v1,0.7462,0.0,0.0,0.6141,3.0,,,2.0
TS262,1.3109,0.6878,0.6231,TS262_v1_1,TS262_v2_3,0.6878,v1_v1,0.6878,0.0,0.0,0.6231,1.0,,,3.0
TS231,1.2927,0.525,0.7676999999999999,TS231_v1_2,TS231_v2_1,0.7676999999999999,v2_v2,0.525,0.0,0.0,0.7676999999999999,2.0,,,1.0
TS489,1.289,0.6496999999999999,0.6393,TS489_v1_1,TS489_v2_1,0.6496999999999999,v1_v1,0.6496999999999999,0.0,0.0,0.6393,1.0,,,1.0
TS481,1.258,0.6042,0.6538,TS481_v1_4,TS481_v2_2,0.6538,v2_v2,0.6042,0.0,0.0,0.6538,4.0,,,2.0
TS208,1.2364000000000002,0.4988,0.7376,TS208_v1_1,TS208_v2_5,0.7376,v2_v2,0.4988,0.0,0.0,0.7376,1.0,,,5.0
TS286,1.1869,0.5877,0.5992,TS286_v1_1,TS286_v2_1,0.5992,v2_v2,0.5877,0.0,0.0,0.5992,1.0,,,1.0
TS110,1.1852999999999998,0.5508,0.6345,TS110_v1_3,TS110_v2_5,0.6345,v2_v2,0.5508,0.0,0.0,0.6345,3.0,,,5.0
TS028,1.1596,0.5518,0.6078,TS028_v1_4,TS028_v2_4,0.6078,v2_v2,0.5518,0.0,0.0,0.6078,4.0,,,4.0
TS450,1.0707,0.5115000000000001,0.5591999999999999,TS450_v1_1,TS450_v2_2,0.5591999999999999,v2_v2,0.5115000000000001,0.0,0.0,0.5591999999999999,1.0,,,2.0
TS167,1.0707,0.5115000000000001,0.5591999999999999,TS167_v1_1,TS167_v2_2,0.5591999999999999,v2_v2,0.5115000000000001,0.0,0.0,0.5591999999999999,1.0,,,2.0
TS022,0.3841999999999999,0.1810999999999999,0.2031,TS022_v1_4,TS022_v2_5,0.2031,v2_v2,0.1810999999999999,0.0,0.0,0.2031,4.0,,,5.0
TS052,0.37860000000000005,0.1758,0.2028,TS052_v1_3,TS052_v2_5,0.2028,v2_v2,0.1758,0.0,0.0,0.2028,3.0,,,5.0
TS456,0.3565,0.1742,0.1823,TS456_v1_4,TS456_v2_5,0.1823,v2_v2,0.1742,0.0,0.0,0.1823,4.0,,,5.0
TS494,0.3379,0.1661,0.1718,TS494_v1_2,TS494_v2_3,0.1718,v2_v2,0.1661,0.0,0.0,0.1718,2.0,,,3.0
TS274,0.3379,0.1661,0.1718,TS274_v1_2,TS274_v2_3,0.1718,v2_v2,0.1661,0.0,0.0,0.1718,2.0,,,3.0
TS014,0.3154,0.176,0.1394,TS014_v1_4,TS014_v2_4,0.176,v1_v1,0.176,0.0,0.0,0.1394,4.0,,,4.0
TS323,0.0,0.0,0.0,TS323_v1_None,TS323_v2_None,0.0,v1_v1,0.0,0.0,0.0,0.0,,,,
