Group,Group_Name,TSBI_Score,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS294,KiharaLab,0.69,0.714,36.9,34.5,TS294_v1_1,TS294_v2_1,0.369,v1_v1,0.369,0.32,0.33,0.345,1,1,3,1
TS204,Zou,0.7,0.714,36.4,35.0,TS204_v1_1,TS204_v2_2,0.364,v1_v1,0.364,0.35,0.364,0.35,1,1,2,2
TS033,Diff,0.6859999999999999,0.692,34.300000000000004,34.9,TS033_v2_5,TS033_v1_5,0.349,v2_v1,0.331,0.343,0.349,0.344,5,5,5,5
TS304,AF3-server,0.674,0.692,35.5,33.7,TS304_v1_3,TS304_v2_3,0.355,v1_v1,0.355,0.306,0.307,0.337,3,1,1,3
TS052,Yang-Server,0.674,0.6910000000000001,33.7,35.4,TS052_v1_4,TS052_v2_4,0.354,v2_v2,0.337,0.354,0.337,0.354,4,4,4,4
TS286,CSSB_experimental,0.676,0.688,33.800000000000004,35.0,TS286_v2_4,TS286_v1_1,0.35,v2_v1,0.347,0.338,0.35,0.332,5,4,1,1
TS481,Vfold,0.6360000000000001,0.673,35.5,31.8,TS481_v1_3,TS481_v2_1,0.355,v1_v1,0.355,0.334,0.314,0.318,3,1,1,1
TS456,Yang-Multimer,0.6140000000000001,0.663,30.7,35.6,TS456_v1_3,TS456_v2_3,0.356,v2_v2,0.307,0.356,0.307,0.356,3,3,3,3
TS241,elofsson,0.6120000000000001,0.657,30.599999999999998,35.099999999999994,TS241_v2_5,TS241_v1_1,0.351,v2_v1,0.316,0.306,0.351,0.326,5,5,1,1
TS022,Yang,0.646,0.656,33.300000000000004,32.300000000000004,TS022_v1_4,TS022_v2_4,0.333,v1_v1,0.333,0.323,0.333,0.323,4,4,4,4
TS462,Zheng,0.5699999999999998,0.6519999999999999,36.7,28.499999999999996,TS462_v1_3,TS462_v2_1,0.367,v1_v1,0.367,0.32,0.327,0.285,3,3,3,1
TS494,ClusPro,0.616,0.649,30.8,34.1,TS494_v1_2,TS494_v2_1,0.341,v2_v2,0.308,0.341,0.308,0.341,2,1,2,1
TS274,kozakovvajda,0.616,0.649,30.8,34.1,TS274_v1_2,TS274_v2_1,0.341,v2_v2,0.308,0.341,0.308,0.341,2,1,2,1
TS091,Huang-HUST,0.616,0.648,34.0,30.8,TS091_v1_3,TS091_v2_2,0.34,v1_v1,0.34,0.308,0.34,0.308,3,2,1,2
TS323,Yan,0.594,0.626,29.7,32.9,TS323_v1_1,TS323_v2_1,0.329,v2_v2,0.297,0.31,0.281,0.329,1,1,1,1
TS167,OpenComplex,0.612,0.623,30.599999999999998,31.7,TS167_v1_1,TS167_v2_4,0.317,v2_v2,0.306,0.216,0.303,0.317,1,2,2,4
TS450,OpenComplex_Server,0.612,0.623,30.599999999999998,31.7,TS450_v1_1,TS450_v2_4,0.317,v2_v2,0.306,0.216,0.303,0.317,1,2,2,4
TS028,NKRNA-s,0.588,0.613,31.900000000000002,29.4,TS028_v2_5,TS028_v1_2,0.319,v1_v2,0.299,0.319,0.294,0.31,2,5,2,5
TS489,Fernandez-Recio,0.588,0.606,31.2,29.4,TS489_v1_2,TS489_v2_2,0.312,v1_v1,0.312,0.253,0.297,0.294,2,1,4,2
TS014,Cool-PSP,0.506,0.599,25.3,34.599999999999994,TS014_v1_1,TS014_v2_5,0.346,v2_v2,0.253,0.255,0.311,0.346,1,5,1,5
TS110,MIEnsembles-Server,0.5600000000000002,0.5920000000000001,31.2,28.000000000000004,TS110_v2_4,TS110_v1_1,0.312,v1_v2,0.294,0.312,0.28,0.311,4,4,1,4
TS159,406,0.52,0.5900000000000001,26.0,33.0,TS159_v1_1,TS159_v2_1,0.33,v2_v2,0.26,0.33,0.26,0.33,1,1,1,1
TS325,405,0.52,0.5900000000000001,26.0,33.0,TS325_v1_1,TS325_v2_1,0.33,v2_v2,0.26,0.33,0.26,0.33,1,1,1,1
TS262,CoDock,0.426,0.553,34.0,21.3,TS262_v1_1,TS262_v2_2,0.34,v1_v1,0.34,0.327,0.257,0.213,1,2,1,2
TS231,B-LAB,0.23399999999999999,0.475,11.700000000000001,35.8,TS231_v1_5,TS231_v2_1,0.358,v2_v2,0.117,0.222,0.33,0.358,5,1,1,1
TS208,falcon2,0.23199999999999996,0.452,11.600000000000001,33.6,TS208_v2_5,TS208_v1_1,0.336,v2_v1,0.261,0.116,0.336,0.317,1,5,1,5
