Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS294,KiharaLab,0.716,0.344,0.372,TS294_v1_1,TS294_v2_1,0.372,v2_v2,0.344,0.0,0.0,0.372,1.0,,,1.0
TS033,Diff,0.6779999999999999,0.319,0.359,TS033_v1_4,TS033_v2_5,0.359,v2_v2,0.319,0.0,0.0,0.359,4.0,,,5.0
TS462,Zheng,0.6619999999999999,0.353,0.309,TS462_v1_3,TS462_v2_3,0.353,v1_v1,0.353,0.0,0.0,0.309,3.0,,,3.0
TS204,Zou,0.659,0.282,0.377,TS204_v1_2,TS204_v2_2,0.377,v2_v2,0.282,0.0,0.0,0.377,2.0,,,2.0
TS022,Yang,0.641,0.302,0.339,TS022_v1_4,TS022_v2_5,0.339,v2_v2,0.302,0.0,0.0,0.339,4.0,,,5.0
TS159,406,0.635,0.265,0.37,TS159_v1_1,TS159_v2_1,0.37,v2_v2,0.265,0.0,0.0,0.37,1.0,,,1.0
TS325,405,0.635,0.265,0.37,TS325_v1_1,TS325_v2_1,0.37,v2_v2,0.265,0.0,0.0,0.37,1.0,,,1.0
TS052,Yang-Server,0.631,0.293,0.338,TS052_v1_3,TS052_v2_5,0.338,v2_v2,0.293,0.0,0.0,0.338,3.0,,,5.0
TS304,AF3-server,0.625,0.258,0.367,TS304_v1_2,TS304_v2_3,0.367,v2_v2,0.258,0.0,0.0,0.367,2.0,,,3.0
TS241,elofsson,0.609,0.254,0.355,TS241_v1_3,TS241_v2_1,0.355,v2_v2,0.254,0.0,0.0,0.355,3.0,,,1.0
TS091,Huang-HUST,0.603,0.324,0.279,TS091_v1_3,TS091_v2_2,0.324,v1_v1,0.324,0.0,0.0,0.279,3.0,,,2.0
TS456,Yang-Multimer,0.594,0.29,0.304,TS456_v1_4,TS456_v2_5,0.304,v2_v2,0.29,0.0,0.0,0.304,4.0,,,5.0
TS262,CoDock,0.582,0.299,0.283,TS262_v1_1,TS262_v2_3,0.299,v1_v1,0.299,0.0,0.0,0.283,1.0,,,3.0
TS231,B-LAB,0.577,0.228,0.349,TS231_v1_5,TS231_v2_1,0.349,v2_v2,0.228,0.0,0.0,0.349,5.0,,,1.0
TS489,Fernandez-Recio,0.573,0.282,0.291,TS489_v1_1,TS489_v2_1,0.291,v2_v2,0.282,0.0,0.0,0.291,1.0,,,1.0
TS274,kozakovvajda,0.563,0.277,0.286,TS274_v1_2,TS274_v2_3,0.286,v2_v2,0.277,0.0,0.0,0.286,2.0,,,3.0
TS494,ClusPro,0.563,0.277,0.286,TS494_v1_2,TS494_v2_3,0.286,v2_v2,0.277,0.0,0.0,0.286,2.0,,,3.0
TS481,Vfold,0.56,0.263,0.297,TS481_v1_4,TS481_v2_2,0.297,v2_v2,0.263,0.0,0.0,0.297,4.0,,,2.0
TS208,falcon2,0.552,0.217,0.335,TS208_v1_1,TS208_v2_5,0.335,v2_v2,0.217,0.0,0.0,0.335,1.0,,,5.0
TS286,CSSB_experimental,0.528,0.256,0.272,TS286_v1_1,TS286_v2_1,0.272,v2_v2,0.256,0.0,0.0,0.272,1.0,,,1.0
TS110,MIEnsembles-Server,0.5269999999999999,0.239,0.288,TS110_v1_3,TS110_v2_5,0.288,v2_v2,0.239,0.0,0.0,0.288,3.0,,,5.0
TS014,Cool-PSP,0.525,0.293,0.232,TS014_v1_4,TS014_v2_4,0.293,v1_v1,0.293,0.0,0.0,0.232,4.0,,,4.0
TS028,NKRNA-s,0.516,0.24,0.276,TS028_v1_4,TS028_v2_4,0.276,v2_v2,0.24,0.0,0.0,0.276,4.0,,,4.0
TS167,OpenComplex,0.476,0.222,0.254,TS167_v1_4,TS167_v2_2,0.254,v2_v2,0.222,0.0,0.0,0.254,4.0,,,2.0
TS450,OpenComplex_Server,0.476,0.222,0.254,TS450_v1_4,TS450_v2_2,0.254,v2_v2,0.222,0.0,0.0,0.254,4.0,,,2.0
TS323,Yan,0.0,0.0,0.0,TS323_v1_None,TS323_v2_None,0.0,v1_v1,0.0,0.0,0.0,0.0,,,,
