Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS204,Zou,1.334,0.65,0.684,TS204_v1_5,TS204_v2_5,0.684,v2_v2,0.65,0.0,0.0,0.684,5,,,5
TS294,KiharaLab,1.316,0.655,0.661,TS294_v1_1,TS294_v2_3,0.661,v2_v2,0.655,0.0,0.0,0.661,1,,,3
TS091,Huang-HUST,1.308,0.664,0.644,TS091_v1_3,TS091_v2_2,0.664,v1_v1,0.664,0.0,0.0,0.644,3,,,2
TS033,Diff,1.294,0.645,0.649,TS033_v1_4,TS033_v2_4,0.649,v2_v2,0.645,0.0,0.0,0.649,4,,,4
TS462,Zheng,1.291,0.667,0.624,TS462_v1_3,TS462_v2_2,0.667,v1_v1,0.667,0.0,0.0,0.624,3,,,2
TS241,elofsson,1.2810000000000001,0.624,0.657,TS241_v1_3,TS241_v2_1,0.657,v2_v2,0.624,0.0,0.0,0.657,3,,,1
TS325,405,1.2730000000000001,0.623,0.65,TS325_v1_1,TS325_v2_1,0.65,v2_v2,0.623,0.0,0.0,0.65,1,,,1
TS159,406,1.2730000000000001,0.623,0.65,TS159_v1_1,TS159_v2_1,0.65,v2_v2,0.623,0.0,0.0,0.65,1,,,1
TS110,MIEnsembles-Server,1.272,0.625,0.647,TS110_v1_4,TS110_v2_3,0.647,v2_v2,0.625,0.0,0.0,0.647,4,,,3
TS028,NKRNA-s,1.267,0.619,0.648,TS028_v1_5,TS028_v2_4,0.648,v2_v2,0.619,0.0,0.0,0.648,5,,,4
TS481,Vfold,1.264,0.625,0.639,TS481_v1_1,TS481_v2_1,0.639,v2_v2,0.625,0.0,0.0,0.639,1,,,1
TS304,AF3-server,1.26,0.612,0.648,TS304_v1_3,TS304_v2_1,0.648,v2_v2,0.612,0.0,0.0,0.648,3,,,1
TS286,CSSB_experimental,1.259,0.63,0.629,TS286_v1_1,TS286_v2_1,0.63,v1_v1,0.63,0.0,0.0,0.629,1,,,1
TS208,falcon2,1.2530000000000001,0.612,0.641,TS208_v1_1,TS208_v2_5,0.641,v2_v2,0.612,0.0,0.0,0.641,1,,,5
TS262,CoDock,1.252,0.631,0.621,TS262_v1_1,TS262_v2_3,0.631,v1_v1,0.631,0.0,0.0,0.621,1,,,3
TS231,B-LAB,1.251,0.615,0.636,TS231_v1_2,TS231_v2_5,0.636,v2_v2,0.615,0.0,0.0,0.636,2,,,5
TS450,OpenComplex_Server,1.2269999999999999,0.616,0.611,TS450_v1_4,TS450_v2_5,0.616,v1_v1,0.616,0.0,0.0,0.611,4,,,5
TS167,OpenComplex,1.2269999999999999,0.616,0.611,TS167_v1_4,TS167_v2_5,0.616,v1_v1,0.616,0.0,0.0,0.611,4,,,5
TS489,Fernandez-Recio,1.196,0.624,0.572,TS489_v1_2,TS489_v2_1,0.624,v1_v1,0.624,0.0,0.0,0.572,2,,,1
TS022,Yang,1.0430000000000001,0.525,0.518,TS022_v1_3,TS022_v2_3,0.525,v1_v1,0.525,0.0,0.0,0.518,3,,,3
TS323,Yan,1.0390000000000001,0.522,0.517,TS323_v1_1,TS323_v2_1,0.522,v1_v1,0.522,0.0,0.0,0.517,1,,,1
TS456,Yang-Multimer,1.036,0.519,0.517,TS456_v1_1,TS456_v2_5,0.519,v1_v1,0.519,0.0,0.0,0.517,1,,,5
TS052,Yang-Server,1.0350000000000001,0.519,0.516,TS052_v1_1,TS052_v2_5,0.519,v1_v1,0.519,0.0,0.0,0.516,1,,,5
TS014,Cool-PSP,1.03,0.519,0.511,TS014_v1_3,TS014_v2_3,0.519,v1_v1,0.519,0.0,0.0,0.511,3,,,3
TS494,ClusPro,1.0030000000000001,0.504,0.499,TS494_v1_2,TS494_v2_3,0.504,v1_v1,0.504,0.0,0.0,0.499,2,,,3
TS274,kozakovvajda,1.0030000000000001,0.504,0.499,TS274_v1_2,TS274_v2_3,0.504,v1_v1,0.504,0.0,0.0,0.499,2,,,3
