Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Combined_Score,Best_v1_ref,Best_v2_ref
TS462,0.775,v2_v2,0.772,0.0,0.0,0.775,1,,,1,1.5470000000000002,0.772,0.775
TS481,0.794,v2_v2,0.745,0.0,0.0,0.794,4,,,1,1.5390000000000001,0.745,0.794
TS091,0.79,v2_v2,0.714,0.0,0.0,0.79,3,,,2,1.504,0.714,0.79
TS033,0.793,v2_v2,0.707,0.0,0.0,0.793,5,,,2,1.5,0.707,0.793
TS052,0.81,v2_v2,0.688,0.0,0.0,0.81,3,,,5,1.498,0.688,0.81
TS022,0.799,v2_v2,0.696,0.0,0.0,0.799,4,,,2,1.495,0.696,0.799
TS304,0.782,v2_v2,0.712,0.0,0.0,0.782,4,,,5,1.494,0.712,0.782
TS262,0.795,v1_v1,0.795,0.0,0.0,0.698,1,,,3,1.4929999999999999,0.795,0.698
TS456,0.784,v2_v2,0.672,0.0,0.0,0.784,3,,,5,1.456,0.672,0.784
TS274,0.761,v2_v2,0.694,0.0,0.0,0.761,2,,,3,1.455,0.694,0.761
TS494,0.761,v2_v2,0.694,0.0,0.0,0.761,2,,,3,1.455,0.694,0.761
TS204,0.726,v1_v1,0.726,0.0,0.0,0.726,1,,,1,1.452,0.726,0.726
TS241,0.755,v2_v2,0.689,0.0,0.0,0.755,3,,,3,1.444,0.689,0.755
TS110,0.785,v2_v2,0.657,0.0,0.0,0.785,2,,,3,1.4420000000000002,0.657,0.785
TS294,0.725,v2_v2,0.717,0.0,0.0,0.725,5,,,1,1.442,0.717,0.725
TS028,0.782,v2_v2,0.653,0.0,0.0,0.782,2,,,4,1.435,0.653,0.782
TS286,0.71,v2_v2,0.707,0.0,0.0,0.71,5,,,1,1.4169999999999998,0.707,0.71
TS231,0.722,v2_v2,0.675,0.0,0.0,0.722,2,,,1,1.397,0.675,0.722
TS489,0.695,v2_v2,0.685,0.0,0.0,0.695,2,,,5,1.38,0.685,0.695
TS450,0.687,v2_v2,0.684,0.0,0.0,0.687,1,,,4,1.371,0.684,0.687
TS167,0.687,v2_v2,0.684,0.0,0.0,0.687,1,,,4,1.371,0.684,0.687
TS208,0.689,v2_v2,0.642,0.0,0.0,0.689,1,,,5,1.331,0.642,0.689
TS323,0.676,v2_v2,0.65,0.0,0.0,0.676,1,,,1,1.326,0.65,0.676
TS325,0.689,v2_v2,0.628,0.0,0.0,0.689,1,,,1,1.317,0.628,0.689
TS159,0.689,v2_v2,0.628,0.0,0.0,0.689,1,,,1,1.317,0.628,0.689
TS014,0.706,v2_v2,0.606,0.0,0.0,0.706,4,,,5,1.3119999999999998,0.606,0.706
