Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS235,isyslab-hust,0.585,28.599999999999998,29.9,TS235_v1_2,TS235_v2_4,0.299,v2_v2,0.286,0.0,0.0,0.299,2,,,4
TS028,NKRNA-s,0.575,29.799999999999997,27.700000000000003,TS028_v1_4,TS028_v2_2,0.298,v1_v1,0.298,0.0,0.0,0.277,4,,,2
TS462,Zheng,0.569,28.299999999999997,28.599999999999998,TS462_v1_4,TS462_v2_2,0.286,v2_v2,0.283,0.0,0.0,0.286,4,,,2
TS110,MIEnsembles-Server,0.5589999999999999,29.4,26.5,TS110_v1_1,TS110_v2_4,0.294,v1_v1,0.294,0.0,0.0,0.265,1,,,4
TS481,Vfold,0.544,27.400000000000002,27.0,TS481_v1_4,TS481_v2_5,0.274,v1_v1,0.274,0.0,0.0,0.27,4,,,5
TS262,CoDock,0.542,27.1,27.1,TS262_v1_4,TS262_v2_4,0.271,v1_v1,0.271,0.0,0.0,0.271,4,,,4
TS286,CSSB_experimental,0.541,26.6,27.500000000000004,TS286_v1_5,TS286_v2_1,0.275,v2_v2,0.266,0.0,0.0,0.275,5,,,1
TS294,KiharaLab,0.526,26.5,26.1,TS294_v1_4,TS294_v2_1,0.265,v1_v1,0.265,0.0,0.0,0.261,4,,,1
TS091,Huang-HUST,0.508,25.5,25.3,TS091_v1_2,TS091_v2_2,0.255,v1_v1,0.255,0.0,0.0,0.253,2,,,2
TS231,B-LAB,0.507,23.400000000000002,27.3,TS231_v1_2,TS231_v2_1,0.273,v2_v2,0.234,0.0,0.0,0.273,2,,,1
TS489,Fernandez-Recio,0.505,25.6,24.9,TS489_v1_3,TS489_v2_5,0.256,v1_v1,0.256,0.0,0.0,0.249,3,,,5
TS033,Diff,0.486,24.4,24.2,TS033_v1_2,TS033_v2_1,0.244,v1_v1,0.244,0.0,0.0,0.242,2,,,1
TS208,falcon2,0.46399999999999997,29.7,16.7,TS208_v1_4,TS208_v2_1,0.297,v1_v1,0.297,0.0,0.0,0.167,4,,,1
TS167,OpenComplex,0.44300000000000006,27.900000000000002,16.400000000000002,TS167_v1_5,TS167_v2_5,0.279,v1_v1,0.279,0.0,0.0,0.164,5,,,5
TS450,OpenComplex_Server,0.44300000000000006,27.900000000000002,16.400000000000002,TS450_v1_5,TS450_v2_5,0.279,v1_v1,0.279,0.0,0.0,0.164,5,,,5
TS325,405,0.40700000000000003,25.2,15.5,TS325_v1_2,TS325_v2_2,0.252,v1_v1,0.252,0.0,0.0,0.155,2,,,2
TS159,406,0.40700000000000003,25.2,15.5,TS159_v1_2,TS159_v2_2,0.252,v1_v1,0.252,0.0,0.0,0.155,2,,,2
TS014,Cool-PSP,0.396,19.400000000000002,20.200000000000003,TS014_v1_5,TS014_v2_4,0.202,v2_v2,0.194,0.0,0.0,0.202,5,,,4
TS304,AF3-server,0.366,17.8,18.8,TS304_v1_1,TS304_v2_5,0.188,v2_v2,0.178,0.0,0.0,0.188,1,,,5
TS241,elofsson,0.362,18.4,17.8,TS241_v1_1,TS241_v2_1,0.184,v1_v1,0.184,0.0,0.0,0.178,1,,,1
TS272,GromihaLab,0.292,14.6,14.6,TS272_v1_3,TS272_v2_5,0.146,v1_v1,0.146,0.0,0.0,0.146,3,,,5
