Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Combined_Score,Best_v1_ref,Best_v2_ref
TS294,0.36,v1_v1,0.36,0.0,0.0,0.353,4,,,3,0.713,0.36,0.353
TS286,0.35,v2_v2,0.344,0.0,0.0,0.35,4,,,1,0.694,0.344,0.35
TS110,0.373,v1_v1,0.373,0.0,0.0,0.31,1,,,4,0.683,0.373,0.31
TS241,0.331,v1_v1,0.331,0.0,0.0,0.316,3,,,3,0.647,0.331,0.316
TS235,0.327,v1_v1,0.327,0.0,0.0,0.317,1,,,5,0.644,0.327,0.317
TS489,0.349,v1_v1,0.349,0.0,0.0,0.273,5,,,4,0.622,0.349,0.273
TS208,0.331,v1_v1,0.331,0.0,0.0,0.29,2,,,4,0.621,0.331,0.29
TS304,0.322,v2_v2,0.291,0.0,0.0,0.322,1,,,4,0.613,0.291,0.322
TS481,0.348,v1_v1,0.348,0.0,0.0,0.263,4,,,2,0.611,0.348,0.263
TS325,0.316,v1_v1,0.316,0.0,0.0,0.276,2,,,2,0.5920000000000001,0.316,0.276
TS159,0.316,v1_v1,0.316,0.0,0.0,0.276,2,,,2,0.5920000000000001,0.316,0.276
TS450,0.344,v1_v1,0.344,0.0,0.0,0.232,4,,,5,0.576,0.344,0.232
TS167,0.344,v1_v1,0.344,0.0,0.0,0.232,4,,,5,0.576,0.344,0.232
TS091,0.301,v1_v1,0.301,0.0,0.0,0.266,5,,,5,0.567,0.301,0.266
TS262,0.304,v1_v1,0.304,0.0,0.0,0.258,5,,,4,0.562,0.304,0.258
TS033,0.301,v1_v1,0.301,0.0,0.0,0.257,3,,,3,0.558,0.301,0.257
TS028,0.276,v2_v2,0.268,0.0,0.0,0.276,3,,,3,0.544,0.268,0.276
TS462,0.271,v2_v2,0.266,0.0,0.0,0.271,4,,,5,0.537,0.266,0.271
TS231,0.297,v1_v1,0.297,0.0,0.0,0.227,2,,,5,0.524,0.297,0.227
TS014,0.248,v1_v1,0.248,0.0,0.0,0.208,1,,,2,0.45599999999999996,0.248,0.208
TS272,0.202,v1_v1,0.202,0.0,0.0,0.162,3,,,3,0.364,0.202,0.162
