Group,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS286,1.467,0.732,0.735,TS286_v1_4,TS286_v2_1,0.735,v2_v2,0.732,0.0,0.0,0.735,4,,,1
TS294,1.446,0.738,0.708,TS294_v1_5,TS294_v2_5,0.738,v1_v1,0.738,0.0,0.0,0.708,5,,,5
TS110,1.399,0.729,0.67,TS110_v1_1,TS110_v2_5,0.729,v1_v1,0.729,0.0,0.0,0.67,1,,,5
TS489,1.395,0.717,0.678,TS489_v1_5,TS489_v2_4,0.717,v1_v1,0.717,0.0,0.0,0.678,5,,,4
TS208,1.395,0.697,0.698,TS208_v1_1,TS208_v2_5,0.698,v2_v2,0.697,0.0,0.0,0.698,1,,,5
TS262,1.387,0.698,0.689,TS262_v1_2,TS262_v2_1,0.698,v1_v1,0.698,0.0,0.0,0.689,2,,,1
TS462,1.3809999999999998,0.692,0.689,TS462_v1_4,TS462_v2_2,0.692,v1_v1,0.692,0.0,0.0,0.689,4,,,2
TS028,1.378,0.689,0.689,TS028_v1_3,TS028_v2_3,0.689,v1_v1,0.689,0.0,0.0,0.689,3,,,3
TS481,1.371,0.713,0.658,TS481_v1_1,TS481_v2_4,0.713,v1_v1,0.713,0.0,0.0,0.658,1,,,4
TS159,1.356,0.68,0.676,TS159_v1_1,TS159_v2_1,0.68,v1_v1,0.68,0.0,0.0,0.676,1,,,1
TS325,1.3530000000000002,0.68,0.673,TS325_v1_1,TS325_v2_2,0.68,v1_v1,0.68,0.0,0.0,0.673,1,,,2
TS450,1.349,0.689,0.66,TS450_v1_1,TS450_v2_5,0.689,v1_v1,0.689,0.0,0.0,0.66,1,,,5
TS167,1.349,0.689,0.66,TS167_v1_1,TS167_v2_5,0.689,v1_v1,0.689,0.0,0.0,0.66,1,,,5
TS231,1.318,0.677,0.641,TS231_v1_1,TS231_v2_1,0.677,v1_v1,0.677,0.0,0.0,0.641,1,,,1
TS091,1.308,0.656,0.652,TS091_v1_5,TS091_v2_5,0.656,v1_v1,0.656,0.0,0.0,0.652,5,,,5
TS033,1.304,0.659,0.645,TS033_v1_4,TS033_v2_4,0.659,v1_v1,0.659,0.0,0.0,0.645,4,,,4
TS235,1.299,0.652,0.647,TS235_v1_1,TS235_v2_2,0.652,v1_v1,0.652,0.0,0.0,0.647,1,,,2
TS272,1.272,0.639,0.633,TS272_v1_4,TS272_v2_4,0.639,v1_v1,0.639,0.0,0.0,0.633,4,,,4
TS014,1.012,0.51,0.502,TS014_v1_4,TS014_v2_6,0.51,v1_v1,0.51,0.0,0.0,0.502,4,,,6
TS241,0.74,0.375,0.365,TS241_v1_2,TS241_v2_3,0.375,v1_v1,0.375,0.0,0.0,0.365,2,,,3
TS304,0.72,0.361,0.359,TS304_v1_3,TS304_v2_2,0.361,v1_v1,0.361,0.0,0.0,0.359,3,,,2
