Group,Group_Name,TSBI_Score,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS294,KiharaLab,1.2700000000000002,1.4460000000000002,0.811,0.635,TS294_v1_1,TS294_v2_3,0.811,v1_v1,0.811,0.6416,0.6605,0.635,1.0,3,1,3.0
TS462,Zheng,1.3174,1.4094,0.7507,0.6587,TS462_v2_3,TS462_v1_1,0.7507,v1_v2,0.665,0.7507,0.6587,0.637,4.0,3,1,2.0
TS110,MIEnsembles-Server,1.3206,1.3876,0.7273,0.6603,TS110_v2_5,TS110_v1_1,0.7273,v1_v2,0.67,0.7273,0.6603,0.615,1.0,5,1,5.0
TS262,CoDock,1.26,1.37,0.74,0.63,TS262_v1_3,TS262_v2_4,0.74,v1_v1,0.74,0.6985,0.6325,0.63,3.0,1,2,4.0
TS028,NKRNA-s,1.2840000000000003,1.366,0.724,0.642,TS028_v1_5,TS028_v2_1,0.724,v1_v1,0.724,0.6561,0.6515,0.642,5.0,2,4,1.0
TS235,isyslab-hust,1.349,1.3498,0.6745,0.6753,TS235_v2_4,TS235_v1_5,0.6753,v2_v1,0.67,0.6745,0.6753,0.673,5.0,4,5,4.0
TS489,Fernandez-Recio,1.2534,1.3322,0.7055,0.6267,TS489_v2_2,TS489_v1_3,0.7055,v1_v2,0.634,0.7055,0.6267,0.614,3.0,2,3,4.0
TS481,Vfold,1.298,1.322,0.673,0.649,TS481_v1_5,TS481_v2_5,0.673,v1_v1,0.673,0.6408,0.6577,0.649,5.0,5,5,5.0
TS204,Zou,1.2792,1.2867,0.6396,0.6471,TS204_v2_1,TS204_v1_5,0.6471,v2_v1,0.0,0.6396,0.6471,0.0,,1,5,
TS208,falcon2,1.204,1.27,0.668,0.602,TS208_v1_4,TS208_v2_1,0.668,v1_v1,0.668,0.5674,0.6663,0.602,4.0,1,4,1.0
TS325,405,1.2579999999999998,1.267,0.638,0.629,TS325_v1_2,TS325_v2_2,0.638,v1_v1,0.638,0.638,0.6288,0.629,2.0,2,2,2.0
TS159,406,1.2579999999999998,1.267,0.638,0.629,TS159_v1_2,TS159_v2_2,0.638,v1_v1,0.638,0.638,0.6288,0.629,2.0,2,2,2.0
TS286,CSSB_experimental,1.24,1.266,0.646,0.62,TS286_v1_2,TS286_v2_2,0.646,v1_v1,0.646,0.6301,0.6108,0.62,2.0,1,4,2.0
TS033,Diff,1.2168,1.254,0.6456,0.6084,TS033_v2_4,TS033_v1_2,0.6456,v1_v2,0.605,0.6456,0.6084,0.624,2.0,4,2,2.0
TS231,B-LAB,1.21,1.248,0.643,0.605,TS231_v1_2,TS231_v2_1,0.643,v1_v1,0.643,0.6083,0.5767,0.605,2.0,1,2,1.0
TS091,Huang-HUST,1.175,1.228,0.6405,0.5875,TS091_v2_2,TS091_v1_5,0.6405,v1_v2,0.638,0.6405,0.5875,0.588,2.0,2,5,5.0
TS369,Bhattacharya,1.2213999999999998,1.2224,0.6117,0.6107,TS369_v2_3,TS369_v1_3,0.6117,v1_v2,0.0,0.6117,0.6107,0.0,,3,3,
TS167,OpenComplex,1.1458000000000002,1.1911,0.5729,0.6182,TS167_v2_1,TS167_v1_1,0.6182,v2_v1,0.618,0.5729,0.6182,0.573,1.0,1,1,5.0
TS450,OpenComplex_Server,1.1458000000000002,1.1911,0.5729,0.6182,TS450_v2_1,TS450_v1_1,0.6182,v2_v1,0.618,0.5729,0.6182,0.573,1.0,1,1,5.0
TS014,Cool-PSP,1.042,1.061,0.521,0.54,TS014_v1_5,TS014_v2_4,0.54,v2_v2,0.521,0.5355,0.5286,0.54,5.0,4,3,4.0
TS272,GromihaLab,0.7158000000000001,0.7678,0.3579,0.4099,TS272_v2_1,TS272_v1_3,0.4099,v2_v1,0.358,0.3579,0.4099,0.405,1.0,1,3,1.0
TS241,elofsson,0.6700000000000002,0.6890000000000001,0.354,0.335,TS241_v1_4,TS241_v2_1,0.354,v1_v1,0.354,0.3356,0.3511,0.335,4.0,1,4,1.0
TS304,AF3-server,0.6608000000000002,0.6648000000000001,0.3344,0.3304,TS304_v2_4,TS304_v1_1,0.3344,v1_v2,0.33,0.3344,0.3304,0.332,1.0,4,1,4.0
