Group,Group_Name,TSBI_Score,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS304,AF3-server,70.0230647292152,85.07910428835947,50.06757192375187,35.0115323646076,TS304_v1_3,TS304_v2_2,50.06757192375187,v1_v1,50.06757192375187,,,35.0115323646076,3.0,,,2.0
TS241,elofsson,70.0230647292152,85.07910428835947,50.06757192375187,35.0115323646076,TS241_v1_3,TS241_v2_2,50.06757192375187,v1_v1,50.06757192375187,,,35.0115323646076,3.0,,,2.0
TS235,isyslab-hust,74.35526669275488,83.59533367902824,46.4177003326508,37.17763334637744,TS235_v1_2,TS235_v2_5,46.4177003326508,v1_v1,46.4177003326508,,,37.17763334637744,2.0,,,5.0
TS435,RNAFOLDX,58.616844300284384,77.05318884094925,47.744766690807054,29.308422150142196,TS435_v1_5,TS435_v2_6,47.744766690807054,v1_v1,47.744766690807054,,,29.308422150142196,5.0,,,6.0
TS369,Bhattacharya,66.0350989206868,73.38723215053787,40.369682690194466,33.017549460343396,TS369_v1_2,TS369_v2_5,40.369682690194466,v1_v1,40.369682690194466,,,33.017549460343396,2.0,,,5.0
TS006,RNA_Dojo,61.60121479445993,70.31467780443037,30.80060739722996,39.51407040720041,TS006_v1_1,TS006_v2_3,39.51407040720041,v2_v2,30.80060739722996,,,39.51407040720041,1.0,,,3.0
TS272,GromihaLab,62.37786962497873,67.07513782403825,31.18893481248936,35.886203011548886,TS272_v1_4,TS272_v2_1,35.886203011548886,v2_v2,31.18893481248936,,,35.886203011548886,4.0,,,1.0
TS231,B-LAB,56.266543533325105,66.58284051155817,28.133271766662553,38.44956874489562,TS231_v1_1,TS231_v2_5,38.44956874489562,v2_v2,28.133271766662553,,,38.44956874489562,1.0,,,5.0
TS159,406,55.77481416491882,59.612433680846124,31.725026598386712,27.88740708245941,TS159_v1_2,TS159_v2_1,31.725026598386712,v1_v1,31.725026598386712,,,27.88740708245941,2.0,,,1.0
TS238,BRIQX,23.35936635053444,49.735868620654536,11.679683175267224,38.056185445387314,TS238_v1_2,TS238_v2_5,38.056185445387314,v2_v2,11.679683175267224,,,38.056185445387314,2.0,,,5.0
TS294,KiharaLab,21.44327316966237,42.715718448963116,10.721636584831186,31.994081864131932,TS294_v1_4,TS294_v2_1,31.994081864131932,v2_v2,10.721636584831186,,,31.994081864131932,4.0,,,1.0
TS267,kiharalab_server,38.04668791648312,42.25156132065793,19.02334395824156,23.22821736241637,TS267_v1_1,TS267_v2_3,23.22821736241637,v2_v2,19.02334395824156,,,23.22821736241637,1.0,,,3.0
TS167,OpenComplex,18.419172124911242,42.16435995046351,9.20958606245562,32.95477388800789,TS167_v1_5,TS167_v2_2,32.95477388800789,v2_v2,9.20958606245562,,,32.95477388800789,5.0,,,2.0
TS156,SoutheRNA,31.586113078864344,40.91283508512926,25.119778545697088,15.793056539432172,TS156_v1_1,TS156_v2_4,25.119778545697088,v1_v1,25.119778545697088,,,15.793056539432172,1.0,,,4.0
TS052,Yang-Server,39.85440266503326,39.88124122714747,19.927201332516635,19.95403989463084,TS052_v1_2,TS052_v2_4,19.95403989463084,v2_v2,19.927201332516635,,,19.95403989463084,2.0,,,4.0
TS028,NKRNA-s,24.100280200903835,36.505824207191836,24.455684106739916,12.050140100451916,TS028_v1_3,TS028_v2_2,24.455684106739916,v1_v1,24.455684106739916,,,12.050140100451916,3.0,,,2.0
TS165,dfr,22.4281247236642,35.44460681000392,11.214062361832102,24.23054444817182,TS165_v1_3,TS165_v2_5,24.23054444817182,v2_v2,11.214062361832102,,,24.23054444817182,3.0,,,5.0
TS400,OmniFold,-1.0,35.24252595410528,0.0,35.24252595410528,TS400_v1_None,TS400_v2_1,35.24252595410528,v2_v2,0.0,,,35.24252595410528,,,,1.0
TS110,MIEnsembles-Server,15.88684675456112,35.0625063340818,7.943423377280562,27.119082956801243,TS110_v1_2,TS110_v2_5,27.119082956801243,v2_v2,7.943423377280562,,,27.119082956801243,2.0,,,5.0
TS189,LCBio,22.87465158954539,34.88965167326845,23.452325878495756,11.437325794772695,TS189_v1_5,TS189_v2_1,23.452325878495756,v1_v1,23.452325878495756,,,11.437325794772695,5.0,,,1.0
TS417,GuangzhouRNA-meta,19.946470019623636,34.68146247174872,9.973235009811818,24.708227461936904,TS417_v1_5,TS417_v2_4,24.708227461936904,v2_v2,9.973235009811818,,,24.708227461936904,5.0,,,4.0
TS286,CSSB_experimental,30.621203327844643,34.082515633293355,18.77191396937103,15.310601663922322,TS286_v1_1,TS286_v2_3,18.77191396937103,v1_v1,18.77191396937103,,,15.310601663922322,1.0,,,3.0
TS276,FrederickFolding,-1.0,33.61630071176748,0.0,33.61630071176748,TS276_v1_None,TS276_v2_1,33.61630071176748,v2_v2,0.0,,,33.61630071176748,,,,1.0
TS317,GuangzhouRNA_AI,18.380447289489016,33.15883880686493,9.190223644744508,23.96861516212042,TS317_v1_5,TS317_v2_4,23.96861516212042,v2_v2,9.190223644744508,,,23.96861516212042,5.0,,,4.0
TS448,dNAfold,19.232925362446675,30.10766190155701,20.49119922033367,9.61646268122334,TS448_v1_1,TS448_v2_5,20.49119922033367,v1_v1,20.49119922033367,,,9.61646268122334,1.0,,,5.0
TS169,thermomaps,24.74021210444861,28.56890292321,12.370106052224305,16.198796870985696,TS169_v1_5,TS169_v2_2,16.198796870985696,v2_v2,12.370106052224305,,,16.198796870985696,5.0,,,2.0
TS462,Zheng,15.886846754561121,27.638488761156665,7.943423377280562,19.695065383876106,TS462_v1_2,TS462_v2_1,19.695065383876106,v2_v2,7.943423377280562,,,19.695065383876106,2.0,,,1.0
TS183,GuangzhouRNA-human,21.533393746350164,26.84151629792084,16.07481942474576,10.766696873175082,TS183_v1_5,TS183_v2_2,16.07481942474576,v1_v1,16.07481942474576,,,10.766696873175082,5.0,,,2.0
TS481,Vfold,19.235327092781446,26.72212786297736,9.617663546390723,17.104464316586636,TS481_v1_4,TS481_v2_5,17.104464316586636,v2_v2,9.617663546390723,,,17.104464316586636,4.0,,,5.0
TS358,PerezLab_Gators,23.09304404192897,25.812454281734443,11.546522020964485,14.265932260769958,TS358_v1_2,TS358_v2_1,14.265932260769958,v2_v2,11.546522020964485,,,14.265932260769958,2.0,,,1.0
TS261,UNRES,19.11520650746755,25.290060662933854,9.557603253733776,15.732457409200077,TS261_v1_1,TS261_v2_3,15.732457409200077,v2_v2,9.557603253733776,,,15.732457409200077,1.0,,,3.0
TS338,GeneSilico,21.33455997121211,25.140087520980593,10.667279985606054,14.47280753537454,TS338_v1_5,TS338_v2_3,14.47280753537454,v2_v2,10.667279985606054,,,14.47280753537454,5.0,,,3.0
TS456,Yang-Multimer,21.267747526949556,23.93972593429633,13.305852170821552,10.633873763474778,TS456_v1_2,TS456_v2_4,13.305852170821552,v1_v1,13.305852170821552,,,10.633873763474778,2.0,,,4.0
TS094,SimRNA-Server,18.56812646322632,22.531441281119253,13.247378049506093,9.28406323161316,TS094_v1_2,TS094_v2_3,13.247378049506093,v1_v1,13.247378049506093,,,9.28406323161316,2.0,,,3.0
TS063,RNApolis,20.414705010763193,22.33245358324002,10.207352505381596,12.125101077858425,TS063_v1_4,TS063_v2_3,12.125101077858425,v2_v2,10.207352505381596,,,12.125101077858425,4.0,,,3.0
TS450,OpenComplex_Server,17.7133620314125,18.830335054674013,9.973654038967762,8.85668101570625,TS450_v1_2,TS450_v2_4,9.973654038967762,v1_v1,9.973654038967762,,,8.85668101570625,2.0,,,4.0
TS298,ShanghaiTech-human,-1.0,9.180010177749208,9.180010177749208,0.0,TS298_v1_1,TS298_v2_None,9.180010177749208,v1_v1,9.180010177749208,,,0.0,1.0,,,
TS423,ShanghaiTech-server,-1.0,9.180010177749208,9.180010177749208,0.0,TS423_v1_1,TS423_v2_None,9.180010177749208,v1_v1,9.180010177749208,,,0.0,1.0,,,
TS367,AIR,-1.0,9.138576433687616,0.0,9.138576433687616,TS367_v1_None,TS367_v2_1,9.138576433687616,v2_v2,0.0,,,9.138576433687616,,,,1.0
TS306,GeneSilicoRNA-server,-1.0,6.350279051419512,0.0,6.350279051419512,TS306_v1_None,TS306_v2_1,6.350279051419512,v2_v2,0.0,,,6.350279051419512,,,,1.0
TS208,falcon2,-1.0,4.344377306302125,4.344377306302125,0.0,TS208_v1_1,TS208_v2_None,4.344377306302125,v1_v1,4.344377306302125,,,0.0,1.0,,,
TS403,mmagnus,-1.0,2.8563866923158505,0.0,2.8563866923158505,TS403_v1_None,TS403_v2_1,2.8563866923158505,v2_v2,0.0,,,2.8563866923158505,,,,1.0
