Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS272,GromihaLab,1.16418,0.5485099999999999,0.61567,TS272_v1_4,TS272_v2_1,0.61567,v2_v2,0.5485099999999999,,,0.61567,4.0,,,1.0
TS304,AF3-server,1.15485,0.55224,0.60261,TS304_v1_4,TS304_v2_2,0.60261,v2_v2,0.55224,,,0.60261,4.0,,,2.0
TS241,elofsson,1.15485,0.55224,0.60261,TS241_v1_4,TS241_v2_2,0.60261,v2_v2,0.55224,,,0.60261,4.0,,,2.0
TS159,406,1.15299,0.5056,0.64739,TS159_v1_2,TS159_v2_1,0.64739,v2_v2,0.5056,,,0.64739,2.0,,,1.0
TS369,Bhattacharya,1.1119400000000002,0.5373100000000001,0.57463,TS369_v1_5,TS369_v2_3,0.57463,v2_v2,0.5373100000000001,,,0.57463,5.0,,,3.0
TS235,isyslab-hust,1.09328,0.51306,0.58022,TS235_v1_5,TS235_v2_2,0.58022,v2_v2,0.51306,,,0.58022,5.0,,,2.0
TS006,RNA_Dojo,1.0914199999999998,0.53918,0.55224,TS006_v1_3,TS006_v2_1,0.55224,v2_v2,0.53918,,,0.55224,3.0,,,1.0
TS231,B-LAB,1.08769,0.45709,0.6306,TS231_v1_2,TS231_v2_5,0.6306,v2_v2,0.45709,,,0.6306,2.0,,,5.0
TS238,BRIQX,1.08209,0.59515,0.48694,TS238_v1_5,TS238_v2_2,0.59515,v1_v1,0.59515,,,0.48694,5.0,,,2.0
TS294,KiharaLab,1.08209,0.51679,0.5653,TS294_v1_2,TS294_v2_1,0.5653,v2_v2,0.51679,,,0.5653,2.0,,,1.0
TS448,dNAfold,1.07835,0.48507,0.59328,TS448_v1_3,TS448_v2_4,0.59328,v2_v2,0.48507,,,0.59328,3.0,,,4.0
TS165,dfr,1.07462,0.52052,0.5540999999999999,TS165_v1_3,TS165_v2_4,0.5540999999999999,v2_v2,0.52052,,,0.5540999999999999,3.0,,,4.0
TS417,GuangzhouRNA-meta,1.0671599999999999,0.52612,0.54104,TS417_v1_5,TS417_v2_3,0.54104,v2_v2,0.52612,,,0.54104,5.0,,,3.0
TS435,RNAFOLDX,1.04664,0.44403,0.60261,TS435_v1_1,TS435_v2_5,0.60261,v2_v2,0.44403,,,0.60261,1.0,,,5.0
TS317,GuangzhouRNA_AI,1.0261200000000001,0.51866,0.50746,TS317_v1_2,TS317_v2_3,0.51866,v1_v1,0.51866,,,0.50746,2.0,,,3.0
TS183,GuangzhouRNA-human,1.02239,0.52799,0.4943999999999999,TS183_v1_5,TS183_v2_2,0.52799,v1_v1,0.52799,,,0.4943999999999999,5.0,,,2.0
TS286,CSSB_experimental,0.9869399999999999,0.46269,0.52425,TS286_v1_3,TS286_v2_2,0.52425,v2_v2,0.46269,,,0.52425,3.0,,,2.0
TS456,Yang-Multimer,0.9869399999999999,0.4943999999999999,0.49254,TS456_v1_3,TS456_v2_1,0.4943999999999999,v1_v1,0.4943999999999999,,,0.49254,3.0,,,1.0
TS338,GeneSilico,0.9850699999999999,0.4943999999999999,0.49067,TS338_v1_5,TS338_v2_1,0.4943999999999999,v1_v1,0.4943999999999999,,,0.49067,5.0,,,1.0
TS063,RNApolis,0.97201,0.48694,0.48507,TS063_v1_4,TS063_v2_1,0.48694,v1_v1,0.48694,,,0.48507,4.0,,,1.0
TS052,Yang-Server,0.96455,0.47948,0.48507,TS052_v1_5,TS052_v2_1,0.48507,v2_v2,0.47948,,,0.48507,5.0,,,1.0
TS189,LCBio,0.9533599999999999,0.45896,0.4943999999999999,TS189_v1_5,TS189_v2_1,0.4943999999999999,v2_v2,0.45896,,,0.4943999999999999,5.0,,,1.0
TS267,kiharalab_server,0.9347099999999999,0.45896,0.47575,TS267_v1_4,TS267_v2_5,0.47575,v2_v2,0.45896,,,0.47575,4.0,,,5.0
TS028,NKRNA-s,0.9309700000000001,0.42351,0.50746,TS028_v1_4,TS028_v2_2,0.50746,v2_v2,0.42351,,,0.50746,4.0,,,2.0
TS481,Vfold,0.9160499999999999,0.4365699999999999,0.47948,TS481_v1_5,TS481_v2_4,0.47948,v2_v2,0.4365699999999999,,,0.47948,5.0,,,4.0
TS167,OpenComplex,0.8637999999999999,0.3395499999999999,0.52425,TS167_v1_1,TS167_v2_2,0.52425,v2_v2,0.3395499999999999,,,0.52425,1.0,,,2.0
TS156,SoutheRNA,0.83396,0.2556,0.57836,TS156_v1_4,TS156_v2_1,0.57836,v2_v2,0.2556,,,0.57836,4.0,,,1.0
TS462,Zheng,0.74254,0.36194,0.3806,TS462_v1_4,TS462_v2_5,0.3806,v2_v2,0.36194,,,0.3806,4.0,,,5.0
TS110,MIEnsembles-Server,0.7276100000000001,0.34515,0.38246,TS110_v1_3,TS110_v2_1,0.38246,v2_v2,0.34515,,,0.38246,3.0,,,1.0
TS276,FrederickFolding,0.58955,0.0,0.58955,TS276_v1_None,TS276_v2_1,0.58955,v2_v2,0.0,,,0.58955,,,,1.0
TS400,OmniFold,0.58396,0.0,0.58396,TS400_v1_None,TS400_v2_1,0.58396,v2_v2,0.0,,,0.58396,,,,1.0
TS403,mmagnus,0.50373,0.50373,0.0,TS403_v1_1,TS403_v2_None,0.50373,v1_v1,0.50373,,,0.0,1.0,,,
TS367,AIR,0.5,0.0,0.5,TS367_v1_None,TS367_v2_1,0.5,v2_v2,0.0,,,0.5,,,,1.0
TS306,GeneSilicoRNA-server,0.48321,0.48321,0.0,TS306_v1_1,TS306_v2_None,0.48321,v1_v1,0.48321,,,0.0,1.0,,,
TS358,PerezLab_Gators,0.47014999999999996,0.27425,0.1959,TS358_v1_3,TS358_v2_4,0.27425,v1_v1,0.27425,,,0.1959,3.0,,,4.0
