Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS304,AF3-server,1.65,0.829,0.821,TS304_v1_1,TS304_v2_3,0.829,v1_v1,0.829,,,0.821,1.0,,,3.0
TS241,elofsson,1.65,0.829,0.821,TS241_v1_1,TS241_v2_3,0.829,v1_v1,0.829,,,0.821,1.0,,,3.0
TS272,GromihaLab,1.648,0.824,0.824,TS272_v1_1,TS272_v2_5,0.824,v2_v2,0.824,,,0.824,1.0,,,5.0
TS369,Bhattacharya,1.636,0.821,0.815,TS369_v1_2,TS369_v2_3,0.821,v1_v1,0.821,,,0.815,2.0,,,3.0
TS235,isyslab-hust,1.626,0.819,0.807,TS235_v1_5,TS235_v2_2,0.819,v1_v1,0.819,,,0.807,5.0,,,2.0
TS006,RNA_Dojo,1.616,0.809,0.807,TS006_v1_3,TS006_v2_1,0.809,v1_v1,0.809,,,0.807,3.0,,,1.0
TS159,406,1.6,0.81,0.79,TS159_v1_2,TS159_v2_1,0.81,v1_v1,0.81,,,0.79,2.0,,,1.0
TS294,KiharaLab,1.596,0.829,0.767,TS294_v1_1,TS294_v2_2,0.829,v1_v1,0.829,,,0.767,1.0,,,2.0
TS238,BRIQX,1.5619999999999998,0.823,0.739,TS238_v1_5,TS238_v2_2,0.823,v1_v1,0.823,,,0.739,5.0,,,2.0
TS183,GuangzhouRNA-human,1.536,0.766,0.77,TS183_v1_2,TS183_v2_5,0.77,v2_v2,0.766,,,0.77,2.0,,,5.0
TS286,CSSB_experimental,1.5230000000000001,0.764,0.759,TS286_v1_1,TS286_v2_2,0.764,v1_v1,0.764,,,0.759,1.0,,,2.0
TS063,RNApolis,1.514,0.767,0.747,TS063_v1_3,TS063_v2_5,0.767,v1_v1,0.767,,,0.747,3.0,,,5.0
TS481,Vfold,1.5,0.75,0.75,TS481_v1_3,TS481_v2_4,0.75,v2_v2,0.75,,,0.75,3.0,,,4.0
TS435,RNAFOLDX,1.499,0.815,0.684,TS435_v1_5,TS435_v2_1,0.815,v1_v1,0.815,,,0.684,5.0,,,1.0
TS165,dfr,1.452,0.713,0.739,TS165_v1_2,TS165_v2_3,0.739,v2_v2,0.713,,,0.739,2.0,,,3.0
TS417,GuangzhouRNA-meta,1.4369999999999998,0.722,0.715,TS417_v1_2,TS417_v2_1,0.722,v1_v1,0.722,,,0.715,2.0,,,1.0
TS231,B-LAB,1.4340000000000002,0.807,0.627,TS231_v1_5,TS231_v2_2,0.807,v1_v1,0.807,,,0.627,5.0,,,2.0
