Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS494,ClusPro,156.47950829956613,57.81294164300847,98.66656665655768,TS494_v1_1,57.81294164300847,1,98.66656665655768,1
TS274,kozakovvajda,156.47950829956613,57.81294164300847,98.66656665655768,TS274_v1_1,57.81294164300847,1,98.66656665655768,1
TS059,DeepFold,156.25918568873846,62.48705248714316,93.7721332015953,TS059_v1_6,62.48705248714316,6,93.7721332015953,6
TS462,Zheng,155.68036071203636,84.51002740422817,71.17033330780819,TS462_v1_6,84.51002740422817,6,71.17033330780819,6
TS386,ShanghaiTech-Ligand,155.14251113657514,88.03846999930116,67.10404113727397,TS386_v1_4,88.03846999930116,4,67.10404113727397,4
TS298,ShanghaiTech-human,155.14251113657514,88.03846999930116,67.10404113727397,TS298_v1_4,88.03846999930116,4,67.10404113727397,4
TS204,Zou,155.13110989255392,62.00671785550228,93.12439203705163,TS204_v1_1,62.00671785550228,1,93.12439203705163,1
TS040,DELCLAB,155.08026658743012,58.04540676335979,97.03485982407034,TS040_v1_5,58.04540676335979,5,97.03485982407034,5
TS110,MIEnsembles-Server,154.39055541594234,81.67568664195346,72.71486877398888,TS110_v1_2,81.67568664195346,2,72.71486877398888,2
TS022,Yang,154.2702996249314,84.28047397306608,69.9898256518653,TS022_v1_4,84.28047397306608,4,69.9898256518653,4
TS015,PEZYFoldings,154.10509997561655,90.15854372533636,63.94655625028018,TS015_v1_5,90.15854372533636,5,63.94655625028018,5
TS208,falcon2,153.76909819034597,86.00597781981364,67.76312037053235,TS208_v1_4,86.00597781981364,4,67.76312037053235,4
TS456,Yang-Multimer,153.48179761983099,63.66065030295349,89.8211473168775,TS456_v1_5,63.66065030295349,5,89.8211473168775,5
TS269,CSSB_server,153.4409501691623,63.656154247084686,89.78479592207762,TS269_v1_3,63.656154247084686,3,89.78479592207762,3
TS221,CSSB_FAKER,153.430833703117,63.714433078918375,89.71640062419864,TS221_v1_3,63.714433078918375,3,89.71640062419864,3
TS419,CSSB-Human,153.430833703117,63.714433078918375,89.71640062419864,TS419_v1_3,63.714433078918375,3,89.71640062419864,3
TS052,Yang-Server,153.2151523505172,64.23227232081933,88.98288002969787,TS052_v1_1,64.23227232081933,1,88.98288002969787,1
TS145,colabfold_baseline,153.13305926938426,74.24053191898435,78.89252735039992,TS145_v1_5,74.24053191898435,5,78.89252735039992,5
TS017,Seder2024hard,153.13305926938426,74.24053191898435,78.89252735039992,TS017_v1_3,74.24053191898435,3,78.89252735039992,3
TS286,CSSB_experimental,152.84690317349148,60.776429165576694,92.0704740079148,TS286_v1_2,60.776429165576694,2,92.0704740079148,2
TS262,CoDock,152.70408867876324,61.916423848475205,90.78766483028804,TS262_v1_3,61.916423848475205,3,90.78766483028804,3
TS147,Zheng-Multimer,152.08310788601676,78.65580228275338,73.42730560326338,TS147_v1_1,78.65580228275338,1,73.42730560326338,1
TS019,Zheng-Server,152.05990952609892,76.55553082238967,75.50437870370926,TS019_v1_1,76.55553082238967,1,75.50437870370926,1
TS314,GuijunLab-PAthreader,151.7966537041838,78.12818003698607,73.66847366719773,TS314_v1_1,78.12818003698607,1,73.66847366719773,1
TS312,GuijunLab-Assembly,151.7966537041838,78.12818003698607,73.66847366719773,TS312_v1_1,78.12818003698607,1,73.66847366719773,1
TS148,Guijunlab-Complex,151.7966537041838,78.12818003698607,73.66847366719773,TS148_v1_5,78.12818003698607,5,73.66847366719773,5
TS393,GuijunLab-QA,151.7966537041838,78.12818003698607,73.66847366719773,TS393_v1_1,78.12818003698607,1,73.66847366719773,1
TS264,GuijunLab-Human,151.7966537041838,78.12818003698607,73.66847366719773,TS264_v1_1,78.12818003698607,1,73.66847366719773,1
TS388,DeepFold-server,151.20201950137647,79.8818476159752,71.32017188540127,TS388_v1_4,79.8818476159752,4,71.32017188540127,4
TS102,Psi-Phi,151.1736571964001,78.38098732565584,72.79266987074426,TS102_v1_1,78.38098732565584,1,72.79266987074426,1
TS196,HYU_MLLAB,151.0775118700966,76.32439837817067,74.75311349192592,TS196_v1_4,76.32439837817067,4,74.75311349192592,4
TS311,RAGfold_Prot1,151.00304232101212,77.4360809048105,73.56696141620164,TS311_v1_4,77.4360809048105,4,73.56696141620164,4
