Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS015,PEZYFoldings,94.44164394119,94.44164394119,TS015_v1_5,94.44164394119,v1_v1,94.44164394119,5
TS298,ShanghaiTech-human,93.0131407552387,93.0131407552387,TS298_v1_4,93.0131407552387,v1_v1,93.0131407552387,4
TS386,ShanghaiTech-Ligand,93.0131407552387,93.0131407552387,TS386_v1_4,93.0131407552387,v1_v1,93.0131407552387,4
TS208,falcon2,91.664564300854,91.664564300854,TS208_v1_4,91.664564300854,v1_v1,91.664564300854,4
TS462,Zheng,91.10429682041048,91.10429682041048,TS462_v1_6,91.10429682041048,v1_v1,91.10429682041048,6
TS408,SNU-CHEM-lig,90.61451102123688,90.61451102123688,TS408_v1_1,90.61451102123688,v1_v1,90.61451102123688,1
TS055,LCDD-team,90.39562715007756,90.39562715007756,TS055_v1_5,90.39562715007756,v1_v1,90.39562715007756,5
TS022,Yang,90.1626568576454,90.1626568576454,TS022_v1_4,90.1626568576454,v1_v1,90.1626568576454,4
TS465,Wallner,89.56840300681213,89.56840300681213,TS465_v1_3,89.56840300681213,v1_v1,89.56840300681213,3
TS202,test001,89.37716954614855,89.37716954614855,TS202_v1_5,89.37716954614855,v1_v1,89.37716954614855,5
TS110,MIEnsembles-Server,88.22568918864184,88.22568918864184,TS110_v1_2,88.22568918864184,v1_v1,88.22568918864184,2
TS388,DeepFold-server,86.5285286380621,86.5285286380621,TS388_v1_4,86.5285286380621,v1_v1,86.5285286380621,4
TS423,ShanghaiTech-server,85.97045150045659,85.97045150045659,TS423_v1_1,85.97045150045659,v1_v1,85.97045150045659,1
TS147,Zheng-Multimer,85.95951801859967,85.95951801859967,TS147_v1_1,85.95951801859967,v1_v1,85.95951801859967,1
TS091,Huang-HUST,85.80194773252894,85.80194773252894,TS091_v1_2,85.80194773252894,v1_v1,85.80194773252894,2
TS102,Psi-Phi,85.59082868494508,85.59082868494508,TS102_v1_2,85.59082868494508,v1_v1,85.59082868494508,2
TS287,plmfold,85.58412406657682,85.58412406657682,TS287_v1_1,85.58412406657682,v1_v1,85.58412406657682,1
TS375,milliseconds,85.40252773297235,85.40252773297235,TS375_v1_3,85.40252773297235,v1_v1,85.40252773297235,3
TS312,GuijunLab-Assembly,85.3690762876378,85.3690762876378,TS312_v1_1,85.3690762876378,v1_v1,85.3690762876378,1
TS393,GuijunLab-QA,85.3690762876378,85.3690762876378,TS393_v1_1,85.3690762876378,v1_v1,85.3690762876378,1
TS314,GuijunLab-PAthreader,85.3690762876378,85.3690762876378,TS314_v1_1,85.3690762876378,v1_v1,85.3690762876378,1
TS264,GuijunLab-Human,85.3690762876378,85.3690762876378,TS264_v1_1,85.3690762876378,v1_v1,85.3690762876378,1
TS148,Guijunlab-Complex,85.3690762876378,85.3690762876378,TS148_v1_5,85.3690762876378,v1_v1,85.3690762876378,5
TS227,KUMC,85.28128736627471,85.28128736627471,TS227_v1_3,85.28128736627471,v1_v1,85.28128736627471,3
TS425,MULTICOM_GATE,85.12056319046432,85.12056319046432,TS425_v1_2,85.12056319046432,v1_v1,85.12056319046432,2
TS319,MULTICOM_LLM,85.12056319046432,85.12056319046432,TS319_v1_3,85.12056319046432,v1_v1,85.12056319046432,3
TS014,Cool-PSP,84.8497069491668,84.8497069491668,TS014_v1_5,84.8497069491668,v1_v1,84.8497069491668,5
TS311,RAGfold_Prot1,84.80090811496493,84.80090811496493,TS311_v1_4,84.80090811496493,v1_v1,84.80090811496493,4
