Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS052,Yang-Server,190.082,93.49499999999999,96.587,TS052_v1_3,93.49499999999999,3,96.587,3
TS456,Yang-Multimer,189.519,92.625,96.894,TS456_v1_3,92.625,3,96.894,3
TS262,CoDock,189.48399999999998,92.43599999999999,97.048,TS262_v1_5,92.43599999999999,5,97.048,5
TS059,DeepFold,189.428,90.923,98.505,TS059_v1_6,90.923,6,98.505,6
TS139,DeepFold-refine,189.428,90.923,98.505,TS139_v1_6,90.923,6,98.505,6
TS204,Zou,189.244,90.318,98.926,TS204_v1_3,90.318,3,98.926,3
TS022,Yang,189.178,95.045,94.133,TS022_v1_4,95.045,4,94.133,4
TS110,MIEnsembles-Server,188.877,94.667,94.21000000000001,TS110_v1_1,94.667,1,94.21000000000001,1
TS020,comppharmunibas,188.529,92.133,96.396,TS020_v1_3,92.133,3,96.396,3
TS286,CSSB_experimental,187.90900000000002,89.788,98.12100000000001,TS286_v1_4,89.788,4,98.12100000000001,4
TS221,CSSB_FAKER,187.746,90.545,97.20100000000001,TS221_v1_3,90.545,3,97.20100000000001,3
TS419,CSSB-Human,187.746,90.545,97.20100000000001,TS419_v1_3,90.545,3,97.20100000000001,3
TS345,MULTICOM_human,187.655,94.327,93.328,TS345_v1_4,94.327,4,93.328,4
TS450,OpenComplex_Server,187.653,94.44,93.21300000000001,TS450_v1_5,94.44,5,93.21300000000001,5
TS167,OpenComplex,187.653,94.44,93.21300000000001,TS167_v1_2,94.44,2,93.21300000000001,2
TS269,CSSB_server,187.596,90.318,97.27799999999999,TS269_v1_3,90.318,3,97.27799999999999,3
TS386,ShanghaiTech-Ligand,187.565,95.272,92.293,TS386_v1_1,95.272,1,92.293,1
TS298,ShanghaiTech-human,187.565,95.272,92.293,TS298_v1_1,95.272,1,92.293,1
TS040,DELCLAB,187.55200000000002,87.935,99.617,TS040_v1_2,87.935,2,99.617,2
TS293,MRAH,187.465,94.175,93.28999999999999,TS293_v1_5,94.175,5,93.28999999999999,5
TS423,ShanghaiTech-server,187.457,94.781,92.676,TS423_v1_5,94.781,5,92.676,5
TS079,MRAFold,187.42600000000002,94.21300000000001,93.21300000000001,TS079_v1_5,94.21300000000001,5,93.21300000000001,5
TS311,RAGfold_Prot1,187.391,94.024,93.367,TS311_v1_2,94.024,2,93.367,2
TS235,isyslab-hust,187.355,93.87299999999999,93.482,TS235_v1_3,93.87299999999999,3,93.482,3
TS267,kiharalab_server,187.125,93.797,93.328,TS267_v1_1,93.797,1,93.328,1
TS312,GuijunLab-Assembly,186.971,93.87299999999999,93.098,TS312_v1_1,93.87299999999999,1,93.098,1
TS314,GuijunLab-PAthreader,186.971,93.87299999999999,93.098,TS314_v1_1,93.87299999999999,1,93.098,1
TS148,Guijunlab-Complex,186.971,93.87299999999999,93.098,TS148_v1_5,93.87299999999999,5,93.098,5
TS196,HYU_MLLAB,186.93900000000002,93.45700000000001,93.482,TS196_v1_2,93.45700000000001,2,93.482,2
TS393,GuijunLab-QA,186.93200000000002,93.949,92.983,TS393_v1_5,93.949,5,92.983,5
TS264,GuijunLab-Human,186.93200000000002,93.949,92.983,TS264_v1_3,93.949,3,92.983,3
TS014,Cool-PSP,186.9,93.49499999999999,93.405,TS014_v1_3,93.49499999999999,3,93.405,3
TS102,Psi-Phi,186.859,93.684,93.175,TS102_v1_2,93.684,2,93.175,2
TS145,colabfold_baseline,186.828,93.116,93.71199999999999,TS145_v1_2,93.116,2,93.71199999999999,2
TS017,Seder2024hard,186.828,93.116,93.71199999999999,TS017_v1_4,93.116,4,93.71199999999999,4
TS164,McGuffin,186.827,93.192,93.635,TS164_v1_3,93.192,3,93.635,3
TS163,MultiFOLD2,186.827,93.192,93.635,TS163_v1_3,93.192,3,93.635,3
TS464,PocketTracer,186.824,93.381,93.443,TS464_v1_5,93.381,5,93.443,5
TS388,DeepFold-server,186.722,95.234,91.488,TS388_v1_4,95.234,4,91.488,4
TS319,MULTICOM_LLM,186.691,94.781,91.91,TS319_v1_3,94.781,3,91.91,3
TS425,MULTICOM_GATE,186.691,94.781,91.91,TS425_v1_2,94.781,2,91.91,2
TS494,ClusPro,186.649,86.649,100.0,TS494_v1_1,86.649,1,100.0,1
TS274,kozakovvajda,186.649,86.649,100.0,TS274_v1_1,86.649,1,100.0,1
TS272,GromihaLab,186.59599999999998,93.306,93.28999999999999,TS272_v1_3,93.306,3,93.28999999999999,3
