Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS091,Huang-HUST,1.6922,0.9469501958589815,1.787,0.8461,0.9409,TS091_v1_2,TS091_v2_1,0.9409,v2_v2,0.8461,,,0.9409,2.0,,,1.0
TS110,MIEnsembles-Server,1.7006,0.9559302979201798,1.779,0.8503,0.9287,TS110_v1_2,TS110_v2_5,0.9287,v2_v2,0.8503,,,0.9287,2.0,,,5.0
TS147,Zheng-Multimer,1.6988,0.9556705670567057,1.7776,0.8494,0.9282,TS147_v1_1,TS147_v2_3,0.9282,v2_v2,0.8494,,,0.9282,1.0,,,3.0
TS462,Zheng,1.6988,0.9556705670567057,1.7776,0.8494,0.9282,TS462_v1_1,TS462_v2_3,0.9282,v2_v2,0.8494,,,0.9282,1.0,,,3.0
TS375,milliseconds,1.7064,0.9616771866546437,1.7744,0.8532,0.9212,TS375_v1_3,TS375_v2_4,0.9212,v2_v2,0.8532,,,0.9212,3.0,,,4.0
TS319,MULTICOM_LLM,1.7072,0.9645742697327533,1.7699,0.8536,0.9163,TS319_v1_3,TS319_v2_4,0.9163,v2_v2,0.8536,,,0.9163,3.0,,,4.0
TS198,colabfold,1.6778000000000002,0.9480167250536784,1.7698,0.8389,0.9309,TS198_v1_5,TS198_v2_1,0.9309,v2_v2,0.8389,,,0.9309,5.0,,,1.0
TS425,MULTICOM_GATE,1.7072,0.9654470395294916,1.7683,0.8536,0.9147,TS425_v1_2,TS425_v2_4,0.9147,v2_v2,0.8536,,,0.9147,2.0,,,4.0
TS148,Guijunlab-Complex,1.6986,0.961018387553041,1.7675,0.8493,0.9182,TS148_v1_5,TS148_v2_2,0.9182,v2_v2,0.8493,,,0.9182,5.0,,,2.0
TS388,DeepFold-server,1.711,0.9686367753623188,1.7664,0.8555,0.9109,TS388_v1_4,TS388_v2_1,0.9109,v2_v2,0.8555,,,0.9109,4.0,,,1.0
TS017,Seder2024hard,1.6712,0.9465337562301767,1.7656,0.8356,0.93,TS017_v1_4,TS017_v2_1,0.93,v2_v2,0.8356,,,0.93,4.0,,,1.0
TS145,colabfold_baseline,1.6712,0.9465337562301767,1.7656,0.8356,0.93,TS145_v1_2,TS145_v2_1,0.93,v2_v2,0.8356,,,0.93,2.0,,,1.0
TS015,PEZYFoldings,1.7458,0.9975429975429976,1.7501,0.8729,0.8772,TS015_v1_5,TS015_v2_1,0.8772,v2_v2,0.8729,,,0.8772,5.0,,,1.0
TS494,ClusPro,1.4997999999999998,0.8636913331413762,1.7365,0.7499,0.9866,TS494_v1_4,TS494_v2_1,0.9866,v2_v2,0.7499,,,0.9866,4.0,,,1.0
TS274,kozakovvajda,1.4997999999999998,0.8636913331413762,1.7365,0.7499,0.9866,TS274_v1_4,TS274_v2_1,0.9866,v2_v2,0.7499,,,0.9866,4.0,,,1.0
TS204,Zou,1.6116000000000001,0.9299480669359492,1.733,0.8058,0.9272,TS204_v1_5,TS204_v2_3,0.9272,v2_v2,0.8058,,,0.9272,5.0,,,3.0
TS055,LCDD-team,1.6492,0.9579460966542751,1.7216,0.8246,0.897,TS055_v1_3,TS055_v2_2,0.897,v2_v2,0.8246,,,0.897,3.0,,,2.0
TS039,arosko,1.4978,0.8721322930010481,1.7174,0.7489,0.9685,TS039_v1_2,TS039_v2_3,0.9685,v2_v2,0.7489,,,0.9685,2.0,,,3.0
TS022,Yang,1.709,0.9967339321124461,1.7146,0.8545,0.8601,TS022_v1_4,TS022_v2_2,0.8601,v2_v2,0.8545,,,0.8601,4.0,,,2.0
TS052,Yang-Server,1.676,0.985998352747382,1.6998,0.838,0.8618,TS052_v1_3,TS052_v2_2,0.8618,v2_v2,0.838,,,0.8618,3.0,,,2.0
TS456,Yang-Multimer,1.6684,0.9823941588647471,1.6983000000000001,0.8342,0.8641,TS456_v1_5,TS456_v2_4,0.8641,v2_v2,0.8342,,,0.8641,5.0,,,4.0
TS019,Zheng-Server,1.6928,0.9975838293358478,1.6969,0.8505,0.8464,TS019_v1_2,TS019_v2_1,0.8505,v1_v1,0.8505,,,0.8464,2.0,,,1.0
TS040,DELCLAB,1.5028,0.8860326631684452,1.6961,0.7514,0.9447,TS040_v1_2,TS040_v2_5,0.9447,v2_v2,0.7514,,,0.9447,2.0,,,5.0
TS059,DeepFold,1.5677999999999999,0.9253925156416007,1.6942,0.7839,0.9103,TS059_v1_5,TS059_v2_6,0.9103,v2_v2,0.7839,,,0.9103,5.0,,,6.0
TS269,CSSB_server,1.6262,0.961565752128666,1.6912,0.8131,0.8781,TS269_v1_5,TS269_v2_1,0.8781,v2_v2,0.8131,,,0.8781,5.0,,,1.0
TS221,CSSB_FAKER,1.6232,0.9604165433997989,1.6901,0.8116,0.8785,TS221_v1_3,TS221_v2_4,0.8785,v2_v2,0.8116,,,0.8785,3.0,,,4.0
TS419,CSSB-Human,1.6232,0.9604165433997989,1.6901,0.8116,0.8785,TS419_v1_3,TS419_v2_4,0.8785,v2_v2,0.8116,,,0.8785,3.0,,,4.0
TS262,CoDock,1.6536,0.98119029252952,1.6853,0.8268,0.8585,TS262_v1_1,TS262_v2_2,0.8585,v2_v2,0.8268,,,0.8585,1.0,,,2.0
TS208,falcon2,1.656,0.9827309951931636,1.6850999999999998,0.8571,0.828,TS208_v1_4,TS208_v2_1,0.8571,v1_v1,0.8571,,,0.828,4.0,,,1.0
TS386,ShanghaiTech-Ligand,1.6393999999999997,0.9731109396331691,1.6846999999999999,0.865,0.8197,TS386_v1_4,TS386_v2_5,0.865,v1_v1,0.865,,,0.8197,4.0,,,5.0
TS298,ShanghaiTech-human,1.6393999999999997,0.9731109396331691,1.6846999999999999,0.865,0.8197,TS298_v1_4,TS298_v2_5,0.865,v1_v1,0.865,,,0.8197,4.0,,,5.0
TS267,kiharalab_server,1.6634,0.9904138136350105,1.6795,0.8478,0.8317,TS267_v1_1,TS267_v2_3,0.8478,v1_v1,0.8478,,,0.8317,1.0,,,3.0
TS465,Wallner,1.6548,0.9855279614078971,1.6791,0.8517,0.8274,TS465_v1_2,TS465_v2_1,0.8517,v1_v1,0.8517,,,0.8274,2.0,,,1.0
TS393,GuijunLab-QA,1.6568000000000003,0.9875424688561721,1.6777000000000002,0.8493,0.8284,TS393_v1_1,TS393_v2_2,0.8493,v1_v1,0.8493,,,0.8284,1.0,,,2.0
TS312,GuijunLab-Assembly,1.6568000000000003,0.9875424688561721,1.6777000000000002,0.8493,0.8284,TS312_v1_1,TS312_v2_4,0.8493,v1_v1,0.8493,,,0.8284,1.0,,,4.0
TS314,GuijunLab-PAthreader,1.6568000000000003,0.9875424688561721,1.6777000000000002,0.8493,0.8284,TS314_v1_1,TS314_v2_4,0.8493,v1_v1,0.8493,,,0.8284,1.0,,,4.0
TS264,GuijunLab-Human,1.6568000000000003,0.9875424688561721,1.6777000000000002,0.8493,0.8284,TS264_v1_1,TS264_v2_6,0.8493,v1_v1,0.8493,,,0.8284,1.0,,,6.0
TS287,plmfold,1.6568,0.9877779765098671,1.6773,0.8489,0.8284,TS287_v1_2,TS287_v2_4,0.8489,v1_v1,0.8489,,,0.8284,2.0,,,4.0
TS235,isyslab-hust,1.6664,0.9944500805633467,1.6757,0.8425,0.8332,TS235_v1_3,TS235_v2_2,0.8425,v1_v1,0.8425,,,0.8332,3.0,,,2.0
TS102,Psi-Phi,1.6494,0.9844813178942342,1.6754,0.8507,0.8247,TS102_v1_5,TS102_v2_2,0.8507,v1_v1,0.8507,,,0.8247,5.0,,,2.0
TS207,MULTICOM_ligand,1.6509999999999998,0.9863783008722666,1.6738,0.8483,0.8255,TS207_v1_2,TS207_v2_3,0.8483,v1_v1,0.8483,,,0.8255,2.0,,,3.0
TS139,DeepFold-refine,1.5258,0.9119053311020798,1.6732,0.7629,0.9103,TS139_v1_3,TS139_v2_6,0.9103,v2_v2,0.7629,,,0.9103,3.0,,,6.0
TS304,AF3-server,1.6562,0.990254110612855,1.6724999999999999,0.8444,0.8281,TS304_v1_4,TS304_v2_1,0.8444,v1_v1,0.8444,,,0.8281,4.0,,,1.0
TS241,elofsson,1.6562,0.990254110612855,1.6724999999999999,0.8444,0.8281,TS241_v1_4,TS241_v2_1,0.8444,v1_v1,0.8444,,,0.8281,4.0,,,1.0
TS272,GromihaLab,1.6551999999999998,0.9897745619805058,1.6723,0.8447,0.8276,TS272_v1_3,TS272_v2_2,0.8447,v1_v1,0.8447,,,0.8276,3.0,,,2.0
TS345,MULTICOM_human,1.6463999999999999,0.9858682634730539,1.67,0.8468,0.8232,TS345_v1_4,TS345_v2_6,0.8468,v1_v1,0.8468,,,0.8232,4.0,,,6.0
TS122,MQA_server,1.6506,0.9886792452830189,1.6695,0.8442,0.8253,TS122_v1_5,TS122_v2_4,0.8442,v1_v1,0.8442,,,0.8253,5.0,,,4.0
TS311,RAGfold_Prot1,1.6439999999999997,0.9849619555449044,1.6690999999999998,0.8471,0.822,TS311_v1_4,TS311_v2_5,0.8471,v1_v1,0.8471,,,0.822,4.0,,,5.0
TS464,PocketTracer,1.6542,0.9911918029840014,1.6688999999999998,0.8418,0.8271,TS464_v1_1,TS464_v2_3,0.8418,v1_v1,0.8418,,,0.8271,1.0,,,3.0
TS051,MULTICOM,1.6426,0.984595096805131,1.6683,0.847,0.8213,TS051_v1_1,TS051_v2_6,0.847,v1_v1,0.847,,,0.8213,1.0,,,6.0
TS369,Bhattacharya,1.6414,0.9846430713857228,1.667,0.8463,0.8207,TS369_v1_1,TS369_v2_2,0.8463,v1_v1,0.8463,,,0.8207,1.0,,,2.0
TS227,KUMC,1.6373999999999997,0.9824792991719669,1.6665999999999999,0.8479,0.8187,TS227_v1_3,TS227_v2_5,0.8479,v1_v1,0.8479,,,0.8187,3.0,,,5.0
