Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS091,Huang-HUST,1.9866,0.9873,0.9993,TS091_v1_2,TS091_v2_4,0.9993,v2_v2,0.9873,,,0.9993,2.0,,,4.0
TS462,Zheng,1.9846,0.9888,0.9958,TS462_v1_6,TS462_v2_3,0.9958,v2_v2,0.9888,,,0.9958,6.0,,,3.0
TS015,PEZYFoldings,1.9845000000000002,0.9926,0.9919,TS015_v1_2,TS015_v2_1,0.9926,v1_v1,0.9926,,,0.9919,2.0,,,1.0
TS388,DeepFold-server,1.984,0.9889,0.9951,TS388_v1_4,TS388_v2_1,0.9951,v2_v2,0.9889,,,0.9951,4.0,,,1.0
TS110,MIEnsembles-Server,1.9837,0.9878,0.9959,TS110_v1_2,TS110_v2_5,0.9959,v2_v2,0.9878,,,0.9959,2.0,,,5.0
TS319,MULTICOM_LLM,1.9832,0.9882,0.995,TS319_v1_3,TS319_v2_4,0.995,v2_v2,0.9882,,,0.995,3.0,,,4.0
TS425,MULTICOM_GATE,1.9830999999999999,0.9882,0.9949,TS425_v1_2,TS425_v2_4,0.9949,v2_v2,0.9882,,,0.9949,2.0,,,4.0
TS375,milliseconds,1.9830999999999999,0.9873,0.9958,TS375_v1_3,TS375_v2_4,0.9958,v2_v2,0.9873,,,0.9958,3.0,,,4.0
TS147,Zheng-Multimer,1.9819,0.9861,0.9958,TS147_v1_4,TS147_v2_3,0.9958,v2_v2,0.9861,,,0.9958,4.0,,,3.0
TS022,Yang,1.9809999999999999,0.9892,0.9918,TS022_v1_4,TS022_v2_2,0.9918,v2_v2,0.9892,,,0.9918,4.0,,,2.0
TS148,Guijunlab-Complex,1.9806,0.9864,0.9942,TS148_v1_5,TS148_v2_2,0.9942,v2_v2,0.9864,,,0.9942,5.0,,,2.0
TS198,colabfold,1.9802,0.9841,0.9961,TS198_v1_5,TS198_v2_1,0.9961,v2_v2,0.9841,,,0.9961,5.0,,,1.0
TS017,Seder2024hard,1.9798,0.9837,0.9961,TS017_v1_4,TS017_v2_1,0.9961,v2_v2,0.9837,,,0.9961,4.0,,,1.0
TS145,colabfold_baseline,1.9798,0.9837,0.9961,TS145_v1_2,TS145_v2_1,0.9961,v2_v2,0.9837,,,0.9961,2.0,,,1.0
TS055,LCDD-team,1.9761,0.9889,0.9872,TS055_v1_3,TS055_v2_1,0.9889,v1_v1,0.9889,,,0.9872,3.0,,,1.0
TS465,Wallner,1.9748999999999999,0.9892,0.9857,TS465_v1_3,TS465_v2_1,0.9892,v1_v1,0.9892,,,0.9857,3.0,,,1.0
TS208,falcon2,1.9738,0.9894,0.9844,TS208_v1_4,TS208_v2_2,0.9894,v1_v1,0.9894,,,0.9844,4.0,,,2.0
TS287,plmfold,1.9716,0.9865,0.9851,TS287_v1_2,TS287_v2_5,0.9865,v1_v1,0.9865,,,0.9851,2.0,,,5.0
TS408,SNU-CHEM-lig,1.9710999999999999,0.9889,0.9822,TS408_v1_1,TS408_v2_2,0.9889,v1_v1,0.9889,,,0.9822,1.0,,,2.0
