Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,Combined_Score,Best_v1_ref,Best_v2_ref
TS462,0.63109,v1_v1,0.63109,0.60674,0.50936,0.52294,1.1540300000000001,0.63109,0.52294
TS147,0.6231300000000001,v1_v1,0.6231300000000001,0.5032800000000001,0.55337,0.52809,1.15122,0.6231300000000001,0.52809
TS264,0.58942,v2_v2,0.55946,0.52715,0.47519,0.58942,1.1488800000000001,0.55946,0.58942
TS481,0.61798,v1_v1,0.61798,0.55665,0.46395,0.52856,1.14654,0.61798,0.52856
TS022,0.5721,v1_v1,0.5721,0.5721,0.57022,0.57022,1.14232,0.5721,0.57022
TS148,0.58942,v2_v1,0.48408,0.54448,0.58942,0.4700399999999999,1.1339000000000001,0.54448,0.58942
TS450,0.57069,v1_v1,0.57069,0.44991,0.48174,0.5632,1.13389,0.57069,0.5632
TS167,0.57069,v1_v1,0.57069,0.44991,0.48174,0.5632,1.13389,0.57069,0.5632
TS052,0.59504,v1_v1,0.59504,0.59504,0.5309,0.5309,1.12594,0.59504,0.5309
TS456,0.58333,v1_v1,0.58333,0.58333,0.5309,0.5309,1.11423,0.58333,0.5309
TS241,0.58567,v1_v2,0.5519700000000001,0.58567,0.52434,0.46723,1.11001,0.58567,0.52434
TS091,0.54541,v1_v1,0.54541,0.54541,0.54448,0.54448,1.08989,0.54541,0.54448
TS204,0.6217199999999999,v1_v1,0.6217199999999999,0.62032,0.46348,0.46582,1.08754,0.6217199999999999,0.46582
TS262,0.55899,v1_v1,0.55899,0.51077,0.52294,0.52762,1.0866099999999999,0.55899,0.52762
TS375,0.5941,v1_v2,0.55431,0.5941,0.49064,0.49438,1.08474,0.5941,0.49064
TS033,0.56882,v1_v2,0.5557099999999999,0.56882,0.50936,0.48174,1.0781800000000001,0.56882,0.50936
TS301,0.55946,v1_v1,0.55946,0.42556,0.44991,0.5159199999999999,1.07538,0.55946,0.5159199999999999
TS294,0.59972,v1_v2,0.55665,0.59972,0.47519,0.48081,1.07491,0.59972,0.47519
TS110,0.5496300000000001,v2_v2,0.52247,0.4386699999999999,0.4648899999999999,0.5496300000000001,1.0721,0.52247,0.5496300000000001
TS028,0.55852,v2_v2,0.51311,0.44148,0.48876,0.55852,1.0716299999999999,0.51311,0.55852
TS212,0.55103,v1_v2,0.4471,0.55103,0.5191899999999999,0.42743,1.07022,0.55103,0.5191899999999999
TS345,0.56648,v1_v1,0.56648,0.56648,0.49345,0.49345,1.05993,0.56648,0.49345
TS051,0.56648,v1_v1,0.56648,0.56648,0.49345,0.49345,1.05993,0.56648,0.49345
TS304,0.57725,v1_v1,0.57725,0.54167,0.46442,0.47519,1.05244,0.57725,0.47519
TS221,0.5557099999999999,v1_v2,0.5519700000000001,0.5557099999999999,0.48268,0.4648899999999999,1.03839,0.5557099999999999,0.48268
TS419,0.55524,v1_v2,0.55478,0.55524,0.4831499999999999,0.46816,1.03839,0.55524,0.4831499999999999
TS319,0.56648,v1_v1,0.56648,0.55852,0.47051,0.47051,1.0369899999999999,0.56648,0.47051
TS331,0.56648,v1_v1,0.56648,0.56648,0.47051,0.47051,1.0369899999999999,0.56648,0.47051
TS274,0.5632,v1_v1,0.5632,0.5632,0.47331,0.47331,1.03651,0.5632,0.47331
