Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Combined_Score,Best_v1_ref,Best_v2_ref
TS314,0.7728,v1_v1,0.7728,0.7728,0.7388,0.7407,4,3,2,5,1.5135,0.7728,0.7407
TS028,0.766,v1_v1,0.766,0.7592,0.7372,0.7462,5,4,4,4,1.5122,0.766,0.7462
TS110,0.7658,v1_v1,0.7658,0.7574,0.7387,0.7462,3,3,3,3,1.512,0.7658,0.7462
TS051,0.772,v1_v1,0.772,0.772,0.7394,0.7394,1,3,1,3,1.5114,0.772,0.7394
TS345,0.772,v1_v1,0.772,0.772,0.7394,0.7394,1,3,1,3,1.5114,0.772,0.7394
TS331,0.772,v1_v1,0.772,0.772,0.7394,0.7394,1,2,1,2,1.5114,0.772,0.7394
TS319,0.772,v1_v1,0.772,0.772,0.7394,0.7394,1,2,1,2,1.5114,0.772,0.7394
TS147,0.768,v1_v2,0.761,0.768,0.7418,0.7376,1,4,5,4,1.5098,0.768,0.7418
TS425,0.772,v1_v2,0.7659,0.772,0.7323,0.7394,4,4,4,4,1.5043,0.772,0.7323
TS462,0.7711,v1_v2,0.763,0.7711,0.7324,0.7454,3,2,2,2,1.5035,0.7711,0.7324
TS022,0.7668,v1_v1,0.7668,0.7668,0.7358,0.7358,3,3,1,5,1.5026000000000002,0.7668,0.7358
TS204,0.7642,v1_v1,0.7642,0.7639,0.737,0.7361,4,5,5,5,1.5003,0.7642,0.7361
TS075,0.7621,v1_v1,0.7621,0.7568,0.7349,0.7366,2,4,1,4,1.4987,0.7621,0.7366
TS122,0.7621,v1_v1,0.7621,0.7568,0.7349,0.7366,2,4,1,4,1.4987,0.7621,0.7366
TS284,0.7621,v1_v1,0.7621,0.7568,0.7349,0.7366,2,4,1,4,1.4987,0.7621,0.7366
TS145,0.7663,v1_v1,0.7663,0.7662,0.7322,0.7321,3,3,3,3,1.4984,0.7663,0.7321
TS450,0.7635,v1_v1,0.7635,0.7538,0.7314,0.7338,1,3,1,5,1.4973,0.7635,0.7338
