Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS462,Zheng,119.79,70.805,48.985,TS462_v2_2,TS462_v1_1,70.805,v1_v2,65.212,70.805,48.985,43.105,4.0,2.0,1.0,4.0
TS235,isyslab-hust,114.16499999999999,71.314,42.851,TS235_v2_4,TS235_v1_1,71.314,v1_v2,66.356,71.314,42.851,44.501,3.0,4.0,1.0,4.0
TS419,CSSB-Human,114.03800000000001,71.102,42.936,TS419_v2_1,TS419_v1_5,71.102,v1_v2,61.271,71.102,42.936,59.052,2.0,1.0,5.0,4.0
TS221,CSSB_FAKER,114.03800000000001,71.102,42.936,TS221_v2_1,TS221_v1_5,71.102,v1_v2,61.271,71.102,42.936,59.052,2.0,1.0,5.0,4.0
TS028,NKRNA-s,113.488,71.356,42.132,TS028_v2_2,TS028_v1_2,71.356,v1_v2,70.805,71.356,42.132,43.486,4.0,2.0,2.0,2.0
TS345,MULTICOM_human,113.319,71.229,42.09,TS345_v1_4,TS345_v2_5,71.229,v1_v1,71.229,71.229,42.09,42.09,4.0,4.0,5.0,5.0
TS051,MULTICOM,113.319,71.229,42.09,TS051_v1_4,TS051_v2_5,71.229,v1_v1,71.229,71.229,42.09,42.09,4.0,4.0,5.0,5.0
TS286,CSSB_experimental,112.63900000000001,69.873,42.766,TS286_v2_1,TS286_v1_2,69.873,v1_v2,53.602,69.873,42.766,44.67,5.0,1.0,2.0,3.0
TS208,falcon2,108.53200000000001,66.992,41.54,TS208_v1_4,TS208_v2_4,66.992,v1_v1,66.992,53.729,41.963,41.54,4.0,4.0,4.0,4.0
TS425,MULTICOM_GATE,107.679,63.22,44.459,TS425_v1_2,TS425_v2_4,63.22,v1_v1,63.22,63.22,44.459,44.459,2.0,2.0,4.0,4.0
TS019,Zheng-Server,106.225,54.025,52.2,TS019_v1_5,TS019_v2_5,54.025,v1_v1,54.025,51.907,52.2,52.2,5.0,2.0,4.0,5.0
TS022,Yang,105.136,60.72,44.416,TS022_v1_5,TS022_v2_4,60.72,v1_v1,60.72,57.203,46.024,44.416,5.0,4.0,5.0,4.0
TS204,Zou,104.757,61.229,43.528,TS204_v1_5,TS204_v2_2,61.229,v1_v1,61.229,55.127,43.528,43.528,5.0,2.0,1.0,2.0
TS110,MIEnsembles-Server,104.71700000000001,63.008,41.709,TS110_v1_1,TS110_v2_2,63.008,v1_v1,63.008,56.186,43.57,41.709,1.0,5.0,1.0,2.0
TS456,Yang-Multimer,104.501,60.212,44.289,TS456_v1_3,TS456_v2_2,60.212,v1_v1,60.212,60.212,44.289,44.289,3.0,3.0,2.0,2.0
TS147,Zheng-Multimer,103.352,56.271,47.081,TS147_v1_3,TS147_v2_5,56.271,v1_v1,56.271,50.932,42.851,47.081,3.0,1.0,4.0,5.0
TS167,OpenComplex,102.58699999999999,54.068,48.519,TS167_v1_5,TS167_v2_3,54.068,v1_v1,54.068,41.61,41.836,48.519,5.0,3.0,1.0,3.0
TS450,OpenComplex_Server,102.58699999999999,54.068,48.519,TS450_v1_5,TS450_v2_3,54.068,v1_v1,54.068,41.61,41.836,48.519,5.0,3.0,1.0,3.0
TS294,KiharaLab,101.708,59.576,42.132,TS294_v1_1,TS294_v2_2,59.576,v1_v1,59.576,55.297,42.555,42.132,1.0,2.0,1.0,2.0
TS314,GuijunLab-PAthreader,101.537,58.771,42.766,TS314_v2_5,TS314_v1_2,58.771,v1_v2,54.915,58.771,42.766,45.431,5.0,5.0,2.0,2.0
TS052,Yang-Server,100.05199999999999,55.932,44.12,TS052_v1_5,TS052_v2_2,55.932,v1_v1,55.932,55.763,44.12,44.12,5.0,3.0,2.0,2.0
TS481,Vfold,99.673,56.568,43.105,TS481_v2_5,TS481_v1_2,56.568,v1_v2,56.229,56.568,43.105,47.124,4.0,5.0,2.0,4.0
TS091,Huang-HUST,99.24199999999999,52.076,47.166,TS091_v1_5,TS091_v2_3,52.076,v1_v1,52.076,52.076,47.166,47.166,5.0,5.0,1.0,3.0
TS319,MULTICOM_LLM,98.529,55.636,42.893,TS319_v1_2,TS319_v2_5,55.636,v1_v1,55.636,55.636,42.893,42.893,2.0,2.0,1.0,5.0
TS262,CoDock,98.363,57.627,40.736,TS262_v1_2,TS262_v2_1,57.627,v1_v1,57.627,55.0,41.794,40.736,2.0,2.0,2.0,1.0
TS033,Diff,97.934,53.941,43.993,TS033_v2_2,TS033_v1_1,53.941,v1_v2,52.458,53.941,43.993,43.909,2.0,2.0,1.0,2.0
TS331,MULTICOM_AI,97.726,55.636,42.09,TS331_v1_2,TS331_v2_2,55.636,v1_v1,55.636,55.636,42.09,42.09,2.0,2.0,2.0,2.0
TS325,405,97.471,55.212,42.259,TS325_v1_2,TS325_v2_2,55.212,v1_v1,55.212,55.212,42.259,42.259,2.0,2.0,2.0,2.0
TS159,406,97.471,55.212,42.259,TS159_v1_2,TS159_v2_2,55.212,v1_v1,55.212,55.212,42.259,42.259,2.0,2.0,2.0,2.0
TS369,Bhattacharya,97.173,54.068,43.105,TS369_v1_4,TS369_v2_4,54.068,v1_v1,54.068,54.068,43.105,43.105,4.0,4.0,4.0,4.0
TS489,Fernandez-Recio,96.709,54.958,41.751,TS489_v1_3,TS489_v2_4,54.958,v1_v1,54.958,54.11,41.794,41.751,3.0,4.0,3.0,4.0
TS298,ShanghaiTech-human,96.001,61.737,34.264,TS298_v1_1,TS298_v2_1,61.737,v1_v1,61.737,39.195,41.794,34.264,1.0,1.0,1.0,1.0
TS212,PIEFold_human,95.906,55.212,40.694,TS212_v2_1,TS212_v1_3,55.212,v1_v2,46.737,55.212,40.694,41.794,4.0,1.0,3.0,5.0
TS241,elofsson,95.143,54.322,40.821,TS241_v1_1,TS241_v2_5,54.322,v1_v1,54.322,53.814,45.347,40.821,1.0,5.0,1.0,5.0
TS231,B-LAB,94.339,54.068,40.271,TS231_v2_1,TS231_v1_2,54.068,v1_v2,46.483,54.068,40.271,44.416,1.0,1.0,2.0,1.0
TS304,AF3-server,94.037,50.89,43.147,TS304_v2_5,TS304_v1_2,50.89,v1_v2,47.966,50.89,43.147,42.597,4.0,5.0,2.0,5.0
TS465,Wallner,92.975,48.136,44.839,TS465_v1_4,TS465_v2_2,48.136,v1_v1,48.136,42.373,42.555,44.839,4.0,4.0,3.0,2.0
TS358,PerezLab_Gators,92.775,54.958,37.817,TS358_v2_2,TS358_v1_4,54.958,v1_v2,47.542,54.958,37.817,43.105,4.0,2.0,4.0,2.0
TS293,MRAH,91.92,49.915,42.005,TS293_v1_2,TS293_v2_3,49.915,v1_v1,49.915,49.915,42.005,42.005,2.0,2.0,3.0,3.0
TS079,MRAFold,91.92,49.915,42.005,TS079_v1_2,TS079_v2_3,49.915,v1_v1,49.915,49.915,42.005,42.005,2.0,2.0,3.0,3.0
TS272,GromihaLab,91.32900000000001,50.085,41.244,TS272_v1_1,TS272_v2_1,50.085,v1_v1,50.085,50.085,41.244,41.244,1.0,1.0,1.0,1.0
TS423,ShanghaiTech-server,91.078,51.907,39.171,TS423_v2_4,TS423_v1_1,51.907,v1_v2,51.695,51.907,39.171,39.594,4.0,4.0,1.0,5.0
TS267,kiharalab_server,89.298,50.0,39.298,TS267_v1_1,TS267_v2_4,50.0,v1_v1,50.0,44.831,41.455,39.298,1.0,4.0,4.0,4.0
TS148,Guijunlab-Complex,88.535,48.941,39.594,TS148_v2_5,TS148_v1_4,48.941,v1_v2,44.873,48.941,39.594,39.721,2.0,5.0,4.0,3.0
TS287,plmfold,88.493,49.322,39.171,TS287_v1_3,TS287_v2_4,49.322,v1_v1,49.322,46.102,42.343,39.171,3.0,4.0,3.0,4.0
TS198,colabfold,88.114,50.339,37.775,TS198_v1_2,TS198_v2_1,50.339,v1_v1,50.339,41.314,39.805,37.775,2.0,1.0,2.0,1.0
TS375,milliseconds,87.72800000000001,47.161,40.567,TS375_v2_3,TS375_v1_4,47.161,v1_v2,46.907,47.161,40.567,38.832,4.0,3.0,4.0,3.0
TS112,Seder2024easy,86.88300000000001,48.093,38.79,TS112_v1_4,TS112_v2_5,48.093,v1_v1,48.093,42.585,38.198,38.79,4.0,5.0,5.0,5.0
TS014,Cool-PSP,86.844,49.492,37.352,TS014_v2_3,TS014_v1_3,49.492,v1_v2,45.72,49.492,37.352,39.721,5.0,3.0,3.0,3.0
TS301,GHZ-MAN,86.839,46.653,40.186,TS301_v2_4,TS301_v1_1,46.653,v1_v2,45.89,46.653,40.186,39.129,4.0,4.0,1.0,2.0
TS163,MultiFOLD2,86.715,48.39,38.325,TS163_v1_3,TS163_v2_3,48.39,v1_v1,48.39,42.373,38.579,38.325,3.0,2.0,3.0,3.0
TS040,DELCLAB,86.50200000000001,48.093,38.409,TS040_v1_3,TS040_v2_3,48.093,v1_v1,48.093,48.093,38.409,38.409,3.0,3.0,3.0,3.0
TS145,colabfold_baseline,86.459,47.669,38.79,TS145_v1_2,TS145_v2_1,47.669,v1_v1,47.669,42.712,38.283,38.79,2.0,1.0,5.0,1.0
TS023,FTBiot0119,86.459,47.669,38.79,TS023_v1_2,TS023_v2_1,47.669,v1_v1,47.669,42.712,38.283,38.79,2.0,1.0,5.0,1.0
TS264,GuijunLab-Human,86.205,47.542,38.663,TS264_v2_2,TS264_v1_5,47.542,v1_v2,43.517,47.542,38.663,40.482,2.0,2.0,5.0,1.0
TS312,GuijunLab-Assembly,85.86500000000001,46.271,39.594,TS312_v2_4,TS312_v1_4,46.271,v1_v2,44.873,46.271,39.594,38.621,2.0,4.0,4.0,4.0
TS122,MQA_server,85.782,46.653,39.129,TS122_v1_3,TS122_v2_2,46.653,v1_v1,46.653,46.653,39.129,39.129,3.0,3.0,2.0,2.0
TS139,DeepFold-refine,84.76400000000001,45.932,38.832,TS139_v1_6,TS139_v2_6,45.932,v1_v1,45.932,42.797,37.31,38.832,6.0,6.0,6.0,6.0
TS059,DeepFold,84.76400000000001,45.932,38.832,TS059_v1_6,TS059_v2_6,45.932,v1_v1,45.932,42.797,37.31,38.832,6.0,6.0,3.0,6.0
TS017,Seder2024hard,84.515,48.051,36.464,TS017_v1_5,TS017_v2_4,48.051,v1_v1,48.051,39.237,38.283,36.464,5.0,5.0,5.0,4.0
TS397,smg_ulaval,84.12899999999999,45.0,39.129,TS397_v1_1,TS397_v2_1,45.0,v1_v1,45.0,44.407,38.621,39.129,1.0,1.0,1.0,1.0
TS164,McGuffin,83.833,45.466,38.367,TS164_v2_2,TS164_v1_3,45.466,v1_v2,44.958,45.466,38.367,38.409,2.0,2.0,3.0,2.0
TS015,PEZYFoldings,83.78999999999999,45.0,38.79,TS015_v1_4,TS015_v2_1,45.0,v1_v1,45.0,44.788,39.382,38.79,4.0,3.0,4.0,1.0
TS196,HYU_MLLAB,78.408,38.941,39.467,TS196_v1_2,TS196_v2_2,39.467,v2_v2,38.941,38.941,39.467,39.467,2.0,2.0,2.0,2.0
TS388,DeepFold-server,75.91,37.924,37.986,TS388_v1_3,TS388_v2_2,37.986,v2_v2,37.924,37.797,37.986,37.986,3.0,1.0,3.0,2.0
TS120,Cerebra,61.432,31.483,29.949,TS120_v1_3,TS120_v2_2,31.483,v1_v1,31.483,31.398,29.822,29.949,3.0,2.0,4.0,2.0
TS475,ptq,49.195,49.195,0.0,TS475_v2_1,TS475_v1_None,49.195,v1_v2,0.0,49.195,0.0,41.624,,1.0,,1.0
TS351,digiwiser-ensemble,48.730000000000004,24.449,24.281,TS351_v1_1,TS351_v2_1,24.449,v1_v1,24.449,24.449,24.281,24.281,1.0,1.0,1.0,1.0
TS269,CSSB_server,48.178,48.178,0.0,TS269_v2_4,TS269_v1_None,48.178,v1_v2,0.0,48.178,0.0,37.775,,4.0,,1.0
TS075,GHZ-ISM,46.653,46.653,0.0,TS075_v2_4,TS075_v1_None,46.653,v1_v2,0.0,46.653,0.0,39.129,,4.0,,2.0
TS284,Unicorn,46.653,46.653,0.0,TS284_v2_4,TS284_v1_None,46.653,v1_v2,0.0,46.653,0.0,39.129,,4.0,,2.0
TS311,RAGfold_Prot1,42.246,42.246,0.0,TS311_v1_1,TS311_v2_None,42.246,v1_v1,42.246,0.0,41.582,0.0,1.0,,1.0,
TS361,Cerebra_server,31.398,31.398,0.0,TS361_v1_2,TS361_v2_None,31.398,v1_v1,31.398,0.0,29.949,0.0,2.0,,2.0,
TS105,PFSC-PFVM,4.195,4.195,0.0,TS105_v1_3,TS105_v2_None,4.195,v1_v1,4.195,0.0,4.146,0.0,3.0,,3.0,
