Group,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,Combined_Score,Best_v1_ref,Best_v2_ref
TS393,0.498,v2_v2,0.475,0.455,0.213,0.498,0.973,0.475,0.498
TS304,0.511,v2_v2,0.43,0.338,0.414,0.511,0.9410000000000001,0.43,0.511
TS314,0.516,v2_v2,0.366,0.458,0.124,0.516,0.882,0.366,0.516
TS345,0.685,v1_v2,0.457,0.685,0.188,0.188,0.873,0.685,0.188
TS397,0.653,v1_v2,0.569,0.653,0.213,0.175,0.866,0.653,0.213
TS015,0.713,v1_v1,0.713,0.713,0.145,0.145,0.858,0.713,0.145
TS456,0.654,v1_v1,0.654,0.654,0.156,0.152,0.806,0.654,0.152
TS051,0.608,v1_v1,0.608,0.608,0.182,0.182,0.79,0.608,0.182
TS293,0.623,v1_v1,0.623,0.562,0.164,0.156,0.779,0.623,0.156
TS079,0.623,v1_v1,0.623,0.562,0.164,0.156,0.779,0.623,0.156
TS014,0.648,v1_v1,0.648,0.397,0.161,0.122,0.77,0.648,0.122
TS322,0.493,v1_v1,0.493,0.493,0.263,0.263,0.756,0.493,0.263
TS219,0.493,v1_v1,0.493,0.493,0.263,0.263,0.756,0.493,0.263
TS465,0.583,v1_v1,0.583,0.583,0.148,0.148,0.731,0.583,0.148
TS241,0.547,v1_v2,0.427,0.547,0.18,0.268,0.7270000000000001,0.547,0.18
TS052,0.46,v1_v1,0.46,0.46,0.196,0.259,0.7190000000000001,0.46,0.259
TS091,0.487,v1_v2,0.427,0.487,0.225,0.225,0.712,0.487,0.225
TS462,0.45,v1_v2,0.392,0.45,0.257,0.257,0.7070000000000001,0.45,0.257
TS290,0.46,v1_v1,0.46,0.46,0.204,0.247,0.7070000000000001,0.46,0.247
TS167,0.483,v1_v2,0.456,0.483,0.218,0.198,0.701,0.483,0.218
TS450,0.483,v1_v2,0.456,0.483,0.218,0.198,0.701,0.483,0.218
TS008,0.457,v1_v1,0.457,0.446,0.298,0.239,0.696,0.457,0.239
TS059,0.468,v1_v2,0.452,0.468,0.209,0.197,0.677,0.468,0.209
TS369,0.444,v1_v1,0.444,0.444,0.22,0.22,0.664,0.444,0.22
TS022,0.461,v1_v1,0.461,0.461,0.183,0.183,0.644,0.461,0.183
TS425,0.457,v1_v2,0.426,0.457,0.182,0.182,0.639,0.457,0.182
TS331,0.457,v1_v2,0.426,0.457,0.182,0.182,0.639,0.457,0.182
TS319,0.457,v1_v2,0.426,0.457,0.182,0.182,0.639,0.457,0.182
TS301,0.5,v1_v1,0.5,0.43,0.138,0.139,0.639,0.5,0.139
TS267,0.482,v1_v1,0.482,0.454,0.158,0.154,0.636,0.482,0.154
TS375,0.453,v1_v2,0.445,0.453,0.182,0.206,0.635,0.453,0.182
TS423,0.487,v1_v1,0.487,0.444,0.147,0.145,0.632,0.487,0.145
TS294,0.46,v1_v2,0.424,0.46,0.165,0.182,0.625,0.46,0.165
TS204,0.508,v1_v2,0.202,0.508,0.114,0.254,0.622,0.508,0.114
TS145,0.376,v1_v1,0.376,0.374,0.236,0.242,0.618,0.376,0.242
TS380,0.376,v1_v1,0.376,0.374,0.236,0.242,0.618,0.376,0.242
TS311,0.472,v1_v1,0.472,0.472,0.144,0.144,0.616,0.472,0.144
TS148,0.582,v1_v2,0.009,0.582,0.034,0.194,0.616,0.582,0.034
TS264,0.582,v1_v2,0.01,0.582,0.026,0.194,0.608,0.582,0.026
TS312,0.582,v1_v2,0.01,0.582,0.026,0.194,0.608,0.582,0.026
TS287,0.474,v1_v2,0.363,0.474,0.124,0.398,0.598,0.474,0.124
TS198,0.386,v1_v2,0.376,0.386,0.21,0.21,0.596,0.386,0.21
TS122,0.566,v1_v2,0.01,0.566,0.024,0.408,0.59,0.566,0.024
TS075,0.566,v1_v2,0.01,0.566,0.024,0.408,0.59,0.566,0.024
TS475,0.566,v1_v2,0.01,0.566,0.024,0.408,0.59,0.566,0.024
TS284,0.566,v1_v2,0.01,0.566,0.024,0.408,0.59,0.566,0.024
TS031,0.425,v1_v2,0.413,0.425,0.139,0.141,0.5640000000000001,0.425,0.139
TS163,0.362,v1_v1,0.362,0.362,0.192,0.192,0.554,0.362,0.192
TS494,0.351,v1_v1,0.351,0.351,0.198,0.198,0.5489999999999999,0.351,0.198
TS261,0.289,v1_v1,0.289,0.289,0.273,0.257,0.546,0.289,0.257
TS187,0.362,v1_v2,0.36,0.362,0.167,0.166,0.529,0.362,0.167
TS274,0.365,v1_v2,0.322,0.365,0.154,0.136,0.519,0.365,0.154
TS272,0.46,v2_v1,0.43,0.056,0.46,0.231,0.516,0.056,0.46
TS164,0.393,v1_v2,0.183,0.393,0.122,0.163,0.515,0.393,0.122
TS028,0.457,v1_v2,0.009,0.457,0.032,0.225,0.489,0.457,0.032
TS208,0.374,v1_v2,0.205,0.374,0.104,0.15,0.478,0.374,0.104
TS110,0.45,v1_v2,0.009,0.45,0.027,0.194,0.47700000000000004,0.45,0.027
TS147,0.45,v1_v2,0.009,0.45,0.026,0.194,0.47600000000000003,0.45,0.026
TS117,0.39,v2_v2,0.018,0.356,0.026,0.39,0.40800000000000003,0.018,0.39
TS040,0.391,v1_v2,0.0,0.391,0.0,0.155,0.391,0.391,0.0
TS419,0.262,v1_v1,0.262,0.245,0.156,0.124,0.386,0.262,0.124
TS221,0.262,v1_v1,0.262,0.245,0.156,0.124,0.386,0.262,0.124
TS286,0.262,v1_v1,0.262,0.245,0.152,0.124,0.386,0.262,0.124
TS323,0.31,v1_v2,0.01,0.31,0.024,0.139,0.334,0.31,0.024
TS262,0.245,v1_v2,0.121,0.245,0.085,0.094,0.33,0.245,0.085
TS489,0.15,v1_v1,0.15,0.014,0.075,0.052,0.20199999999999999,0.15,0.052
TS196,0.052,v2_v2,0.014,0.016,0.04,0.052,0.066,0.014,0.052
TS114,0.021,v1_v1,0.021,0.021,0.014,0.014,0.035,0.021,0.014
TS337,0.017,v2_v2,0.016,0.016,0.017,0.017,0.033,0.016,0.017
TS139,0.018,v2_v2,0.013,0.015,0.015,0.018,0.031,0.013,0.018
TS300,0.015,v1_v1,0.015,0.015,0.014,0.014,0.028999999999999998,0.015,0.014
TS085,0.014,v2_v2,0.012,0.011,0.014,0.014,0.026000000000000002,0.012,0.014
TS023,0.014,v1_v1,0.014,0.014,0.01,0.01,0.024,0.014,0.01
