Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS393,GuijunLab-QA,1.434,0.9484126984126984,1.512,79.5,71.7,TS393_v1_2,TS393_v2_6,0.795,v1_v1,0.795,0.795,0.717,0.717,2,2,6,6
TS314,GuijunLab-PAthreader,1.376,0.9398907103825136,1.464,68.8,77.60000000000001,TS314_v1_2,TS314_v2_1,0.776,v2_v2,0.688,0.688,0.776,0.776,2,2,1,1
TS304,AF3-server,1.416,0.9711934156378601,1.458,70.8,75.0,TS304_v1_2,TS304_v2_1,0.75,v2_v2,0.708,0.708,0.75,0.75,2,2,1,1
TS059,DeepFold,1.18,0.8205841446453408,1.438,84.8,59.0,TS059_v1_3,TS059_v2_5,0.848,v1_v1,0.848,0.848,0.59,0.59,3,3,5,5
TS345,MULTICOM_human,1.072,0.7570621468926554,1.416,88.0,53.6,TS345_v1_4,TS345_v2_2,0.88,v1_v1,0.88,0.88,0.536,0.536,4,4,2,2
TS204,Zou,1.14,0.8085106382978723,1.41,84.0,56.99999999999999,TS204_v1_4,TS204_v2_2,0.84,v1_v1,0.84,0.84,0.57,0.57,4,4,2,2
TS075,GHZ-ISM,1.338,0.9496096522356281,1.409,74.0,66.9,TS075_v1_2,TS075_v2_4,0.74,v1_v1,0.74,0.74,0.669,0.669,2,2,4,4
TS284,Unicorn,1.338,0.9496096522356281,1.409,74.0,66.9,TS284_v1_2,TS284_v2_4,0.74,v1_v1,0.74,0.74,0.669,0.669,2,2,4,4
TS122,MQA_server,1.338,0.9496096522356281,1.409,74.0,66.9,TS122_v1_3,TS122_v2_1,0.74,v1_v1,0.74,0.74,0.669,0.669,3,3,1,1
TS475,ptq,1.338,0.9496096522356281,1.409,74.0,66.9,TS475_v1_2,TS475_v2_4,0.74,v1_v1,0.74,0.74,0.669,0.669,2,2,4,4
TS052,Yang-Server,1.166,0.828125,1.408,82.5,58.3,TS052_v1_3,TS052_v2_1,0.825,v1_v1,0.825,0.825,0.583,0.583,3,3,1,1
TS293,MRAH,1.064,0.7621776504297995,1.396,86.4,53.2,TS293_v1_1,TS293_v2_4,0.864,v1_v1,0.864,0.864,0.532,0.532,1,1,4,4
TS091,Huang-HUST,1.2159999999999997,0.8710601719197707,1.396,78.8,60.8,TS091_v1_1,TS091_v2_1,0.788,v1_v1,0.788,0.788,0.608,0.608,1,1,1,1
TS079,MRAFold,1.064,0.7621776504297995,1.396,86.4,53.2,TS079_v1_1,TS079_v2_4,0.864,v1_v1,0.864,0.864,0.532,0.532,1,1,4,4
TS290,Pierce,1.138,0.8151862464183381,1.396,82.69999999999999,56.89999999999999,TS290_v1_3,TS290_v2_4,0.827,v1_v1,0.827,0.827,0.569,0.569,3,3,4,4
TS264,GuijunLab-Human,1.062,0.7612903225806452,1.395,86.4,53.1,TS264_v1_2,TS264_v2_5,0.864,v1_v1,0.864,0.864,0.531,0.531,2,2,5,5
TS312,GuijunLab-Assembly,1.062,0.7612903225806452,1.395,86.4,53.1,TS312_v1_2,TS312_v2_5,0.864,v1_v1,0.864,0.864,0.531,0.531,2,2,5,5
TS148,Guijunlab-Complex,1.062,0.7612903225806452,1.395,86.4,53.1,TS148_v1_2,TS148_v2_5,0.864,v1_v1,0.864,0.864,0.531,0.531,2,2,5,5
TS015,PEZYFoldings,1.0439999999999998,0.7521613832853026,1.388,86.6,52.2,TS015_v1_2,TS015_v2_5,0.866,v1_v1,0.866,0.866,0.522,0.522,2,2,5,5
TS456,Yang-Multimer,1.02,0.737527114967462,1.383,87.3,51.0,TS456_v1_1,TS456_v2_2,0.873,v1_v1,0.873,0.873,0.51,0.51,1,1,2,2
TS397,smg_ulaval,1.114,0.8066618392469226,1.381,82.39999999999999,55.7,TS397_v1_1,TS397_v2_1,0.824,v1_v1,0.824,0.824,0.557,0.557,1,1,1,1
TS014,Cool-PSP,1.046,0.7585206671501088,1.379,85.6,52.300000000000004,TS014_v1_1,TS014_v2_6,0.856,v1_v1,0.856,0.856,0.523,0.523,1,1,6,6
TS241,elofsson,1.168,0.8494545454545455,1.375,79.10000000000001,58.4,TS241_v1_3,TS241_v2_4,0.791,v1_v1,0.791,0.791,0.584,0.584,3,3,4,4
TS375,milliseconds,1.1379999999999997,0.8318713450292397,1.3679999999999999,79.9,56.89999999999999,TS375_v1_3,TS375_v2_2,0.799,v1_v1,0.799,0.799,0.569,0.569,3,3,2,2
TS423,ShanghaiTech-server,1.044,0.7631578947368421,1.3679999999999999,84.6,52.2,TS423_v1_2,TS423_v2_4,0.846,v1_v1,0.846,0.846,0.522,0.522,2,2,4,4
TS008,HADDOCK,1.174,0.858814923189466,1.367,78.0,58.699999999999996,TS008_v1_4,TS008_v2_5,0.78,v1_v1,0.78,0.78,0.587,0.587,4,4,5,5
TS294,KiharaLab,1.05,0.7686676427525623,1.366,84.1,52.5,TS294_v1_4,TS294_v2_1,0.841,v1_v1,0.841,0.841,0.525,0.525,4,4,1,1
TS267,kiharalab_server,1.0680000000000003,0.7818448023426062,1.366,83.2,53.400000000000006,TS267_v1_3,TS267_v2_2,0.832,v1_v1,0.832,0.832,0.534,0.534,3,3,2,2
TS462,Zheng,1.1619999999999997,0.8519061583577712,1.3639999999999999,78.3,58.099999999999994,TS462_v1_3,TS462_v2_6,0.783,v1_v1,0.783,0.783,0.581,0.581,3,3,6,6
TS167,OpenComplex,1.1720000000000002,0.8604992657856094,1.362,77.60000000000001,58.599999999999994,TS167_v1_2,TS167_v2_5,0.776,v1_v1,0.776,0.776,0.586,0.586,2,2,5,5
TS450,OpenComplex_Server,1.1720000000000002,0.8604992657856094,1.362,77.60000000000001,58.599999999999994,TS450_v1_2,TS450_v2_5,0.776,v1_v1,0.776,0.776,0.586,0.586,2,2,5,5
TS380,mialab_prediction,1.288,0.9477557027225901,1.359,71.5,64.4,TS380_v1_4,TS380_v2_5,0.715,v1_v1,0.715,0.715,0.644,0.644,4,4,5,5
TS145,colabfold_baseline,1.288,0.9477557027225901,1.359,71.5,64.4,TS145_v1_2,TS145_v2_5,0.715,v1_v1,0.715,0.715,0.644,0.644,2,2,5,5
TS198,colabfold,1.212,0.8924889543446244,1.358,75.2,60.6,TS198_v1_2,TS198_v2_3,0.752,v1_v1,0.752,0.752,0.606,0.606,2,2,3,3
TS301,GHZ-MAN,1.03,0.7607090103397341,1.354,83.89999999999999,51.5,TS301_v1_2,TS301_v2_1,0.839,v1_v1,0.839,0.839,0.515,0.515,2,2,1,1
TS287,plmfold,1.298,0.9586410635155096,1.354,70.5,64.9,TS287_v1_1,TS287_v2_5,0.705,v1_v1,0.705,0.705,0.649,0.649,1,1,5,5
TS031,MassiveFold,1.054,0.779009608277901,1.353,82.6,52.7,TS031_v1_3,TS031_v2_4,0.826,v1_v1,0.826,0.826,0.527,0.527,3,3,4,4
TS022,Yang,1.044,0.7750556792873051,1.347,82.5,52.2,TS022_v1_3,TS022_v2_5,0.825,v1_v1,0.825,0.825,0.522,0.522,3,3,5,5
TS051,MULTICOM,1.0720000000000003,0.7994034302759135,1.3410000000000002,80.5,53.6,TS051_v1_6,TS051_v2_2,0.805,v1_v1,0.805,0.805,0.536,0.536,6,6,2,2
TS028,NKRNA-s,1.066,0.8069644208932627,1.3210000000000002,78.8,53.300000000000004,TS028_v1_1,TS028_v2_3,0.788,v1_v1,0.788,0.788,0.533,0.533,1,1,3,3
TS110,MIEnsembles-Server,1.074,0.8136363636363637,1.32,78.3,53.7,TS110_v1_4,TS110_v2_1,0.783,v1_v1,0.783,0.783,0.537,0.537,4,4,1,1
TS147,Zheng-Multimer,1.074,0.8136363636363637,1.32,78.3,53.7,TS147_v1_3,TS147_v2_1,0.783,v1_v1,0.783,0.783,0.537,0.537,3,3,1,1
TS311,RAGfold_Prot1,1.078,0.8222730739893211,1.311,77.2,53.900000000000006,TS311_v1_2,TS311_v2_1,0.772,v1_v1,0.772,0.772,0.539,0.539,2,2,1,1
TS163,MultiFOLD2,1.186,0.9088122605363984,1.305,71.2,59.3,TS163_v1_3,TS163_v2_5,0.712,v1_v1,0.712,0.712,0.593,0.593,3,3,5,5
TS319,MULTICOM_LLM,1.046,0.8033794162826421,1.302,77.9,52.300000000000004,TS319_v1_3,TS319_v2_5,0.779,v1_v1,0.779,0.779,0.523,0.523,3,3,5,5
TS425,MULTICOM_GATE,1.046,0.8033794162826421,1.302,77.9,52.300000000000004,TS425_v1_3,TS425_v2_5,0.779,v1_v1,0.779,0.779,0.523,0.523,3,3,5,5
TS331,MULTICOM_AI,1.046,0.8033794162826421,1.302,77.9,52.300000000000004,TS331_v1_3,TS331_v2_5,0.779,v1_v1,0.779,0.779,0.523,0.523,3,3,5,5
TS219,XGroup-Server,1.164,0.894696387394312,1.301,71.89999999999999,58.199999999999996,TS219_v1_3,TS219_v2_2,0.719,v1_v1,0.719,0.719,0.582,0.582,3,3,2,2
TS322,XGroup,1.164,0.894696387394312,1.301,71.89999999999999,58.199999999999996,TS322_v1_3,TS322_v2_2,0.719,v1_v1,0.719,0.719,0.582,0.582,3,3,2,2
TS369,Bhattacharya,1.0880000000000003,0.8414539829853056,1.2930000000000001,74.9,54.400000000000006,TS369_v1_3,TS369_v2_2,0.749,v1_v1,0.749,0.749,0.544,0.544,3,3,2,2
TS272,GromihaLab,1.216,0.9411764705882353,1.292,60.8,68.4,TS272_v1_3,TS272_v2_2,0.684,v2_v2,0.608,0.608,0.684,0.684,3,3,2,2
TS187,Ayush,1.104,0.8761904761904763,1.26,70.8,55.2,TS187_v1_1,TS187_v2_1,0.708,v1_v1,0.708,0.708,0.552,0.552,1,1,1,1
TS494,ClusPro,1.16,0.9213661636219221,1.259,67.9,57.99999999999999,TS494_v1_3,TS494_v2_4,0.679,v1_v1,0.679,0.679,0.58,0.58,3,3,4,4
TS040,DELCLAB,1.03,0.8326596604688763,1.237,72.2,51.5,TS040_v1_3,TS040_v2_3,0.722,v1_v1,0.722,0.722,0.515,0.515,3,3,3,3
TS117,Vakser,1.212,0.9942575881870386,1.2189999999999999,60.6,61.3,TS117_v1_2,TS117_v2_4,0.613,v2_v2,0.606,0.606,0.613,0.613,2,2,4,4
