Group,Group_Name,TSBI_Score,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS304,AF3-server,1.578,1.6,0.789,0.811,TS304_v1_2o,TS304_v2_1o,0.811,v2_v2,0.789,0.77,0.786,0.811,2o,2o,3o,1o
TS393,GuijunLab-QA,1.56,1.574,0.78,0.794,TS393_v1_6o,TS393_v2_6o,0.794,v2_v2,0.78,0.779,0.756,0.794,6o,5o,3o,6o
TS462,Zheng,1.562,1.5710000000000002,0.79,0.781,TS462_v1_6o,TS462_v2_6o,0.79,v1_v1,0.79,0.79,0.781,0.781,6o,6o,6o,6o
TS314,GuijunLab-PAthreader,1.516,1.5630000000000002,0.758,0.805,TS314_v1_2o,TS314_v2_1o,0.805,v2_v2,0.758,0.786,0.749,0.805,2o,5o,2o,1o
TS241,elofsson,1.516,1.552,0.794,0.758,TS241_v2_5o,TS241_v1_3o,0.794,v1_v2,0.786,0.794,0.758,0.765,3o,5o,3o,5o
TS015,PEZYFoldings,1.49,1.55,0.805,0.745,TS015_v1_2o,TS015_v2_1o,0.805,v1_v1,0.805,0.805,0.745,0.745,2o,1o,2o,1o
TS345,MULTICOM_human,1.522,1.549,0.788,0.761,TS345_v1_5o,TS345_v2_5o,0.788,v1_v1,0.788,0.788,0.761,0.761,5o,5o,5o,5o
TS272,GromihaLab,1.488,1.5470000000000002,0.744,0.803,TS272_v2_1o,TS272_v1_2o,0.803,v2_v1,0.78,0.744,0.803,0.778,3o,1o,2o,2o
TS375,milliseconds,1.52,1.5470000000000002,0.787,0.76,TS375_v1_3o,TS375_v2_2o,0.787,v1_v1,0.787,0.78,0.758,0.76,3o,1o,3o,2o
TS284,Unicorn,1.4939999999999998,1.545,0.798,0.747,TS284_v2_1o,TS284_v1_4o,0.798,v1_v2,0.732,0.798,0.747,0.787,4o,1o,4o,4o
TS475,ptq,1.4939999999999998,1.545,0.798,0.747,TS475_v2_1o,TS475_v1_4o,0.798,v1_v2,0.732,0.798,0.747,0.787,2o,1o,4o,4o
TS075,GHZ-ISM,1.4939999999999998,1.545,0.798,0.747,TS075_v2_1o,TS075_v1_4o,0.798,v1_v2,0.732,0.798,0.747,0.787,2o,1o,4o,4o
TS110,MIEnsembles-Server,1.512,1.545,0.789,0.756,TS110_v2_5o,TS110_v1_3o,0.789,v1_v2,0.742,0.789,0.756,0.758,3o,5o,3o,1o
TS122,MQA_server,1.4939999999999998,1.545,0.798,0.747,TS122_v2_2o,TS122_v1_5o,0.798,v1_v2,0.732,0.798,0.747,0.787,5o,2o,5o,1o
TS052,Yang-Server,1.5239999999999998,1.545,0.783,0.762,TS052_v1_1o,TS052_v2_1o,0.783,v1_v1,0.783,0.783,0.76,0.762,1o,2o,1o,1o
TS051,MULTICOM,1.518,1.544,0.785,0.759,TS051_v1_3o,TS051_v2_5o,0.785,v1_v1,0.785,0.785,0.759,0.759,3o,4o,5o,5o
TS290,Pierce,1.52,1.544,0.784,0.76,TS290_v1_5o,TS290_v2_1o,0.784,v1_v1,0.784,0.784,0.76,0.76,5o,1o,5o,1o
TS319,MULTICOM_LLM,1.52,1.5430000000000001,0.783,0.76,TS319_v1_4o,TS319_v2_2o,0.783,v1_v1,0.783,0.783,0.76,0.76,4o,1o,5o,2o
TS425,MULTICOM_GATE,1.52,1.5430000000000001,0.783,0.76,TS425_v1_4o,TS425_v2_2o,0.783,v1_v1,0.783,0.783,0.76,0.76,4o,1o,5o,2o
TS331,MULTICOM_AI,1.52,1.5430000000000001,0.783,0.76,TS331_v1_4o,TS331_v2_2o,0.783,v1_v1,0.783,0.783,0.76,0.76,4o,1o,5o,2o
TS028,NKRNA-s,1.5140000000000002,1.5430000000000001,0.786,0.757,TS028_v2_4o,TS028_v1_2o,0.786,v1_v2,0.743,0.786,0.757,0.757,2o,4o,2o,3o
TS287,plmfold,1.502,1.5430000000000001,0.792,0.751,TS287_v2_1o,TS287_v1_4o,0.792,v1_v2,0.764,0.792,0.751,0.783,5o,1o,4o,4o
TS147,Zheng-Multimer,1.5119999999999998,1.541,0.785,0.756,TS147_v2_3o,TS147_v1_1o,0.785,v1_v2,0.742,0.785,0.756,0.758,1o,3o,1o,1o
TS397,smg_ulaval,1.492,1.54,0.794,0.746,TS397_v2_1o,TS397_v1_1o,0.794,v1_v2,0.78,0.794,0.746,0.745,1o,1o,1o,1o
TS167,OpenComplex,1.512,1.5390000000000001,0.783,0.756,TS167_v2_2o,TS167_v1_5o,0.783,v1_v2,0.775,0.783,0.756,0.755,1o,2o,5o,2o
TS450,OpenComplex_Server,1.512,1.5390000000000001,0.783,0.756,TS450_v2_2o,TS450_v1_5o,0.783,v1_v2,0.775,0.783,0.756,0.755,1o,2o,5o,2o
TS293,MRAH,1.4759999999999998,1.537,0.799,0.738,TS293_v1_2o,TS293_v2_5o,0.799,v1_v1,0.799,0.764,0.754,0.738,2o,5o,2o,5o
TS079,MRAFold,1.4759999999999998,1.537,0.799,0.738,TS079_v1_2o,TS079_v2_5o,0.799,v1_v1,0.799,0.764,0.754,0.738,2o,5o,2o,5o
TS369,Bhattacharya,1.516,1.536,0.778,0.758,TS369_v1_3o,TS369_v2_2o,0.778,v1_v1,0.778,0.778,0.758,0.758,3o,3o,2o,2o
