Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS304,AF3-server,1.894,0.9900679560899112,1.9129999999999998,0.947,0.966,TS304_v1_2o,TS304_v2_1o,0.966,v2_v2,0.947,0.932,0.954,0.966,2o,2o,3o,1o
TS393,GuijunLab-QA,1.908,0.9973863042341872,1.9129999999999998,0.959,0.954,TS393_v1_2o,TS393_v2_6o,0.959,v1_v1,0.959,0.952,0.9,0.954,2o,1o,3o,6o
TS314,GuijunLab-PAthreader,1.87,0.9847288046340179,1.899,0.935,0.964,TS314_v1_2o,TS314_v2_1o,0.964,v2_v2,0.935,0.944,0.863,0.964,2o,5o,2o,1o
TS145,colabfold_baseline,1.864,0.9904357066950054,1.8820000000000001,0.95,0.932,TS145_v2_1o,TS145_v1_5o,0.95,v1_v2,0.949,0.95,0.932,0.932,1o,1o,5o,5o
TS380,mialab_prediction,1.864,0.9904357066950054,1.8820000000000001,0.95,0.932,TS380_v2_3o,TS380_v1_5o,0.95,v1_v2,0.949,0.95,0.932,0.932,3o,3o,5o,5o
TS091,Huang-HUST,1.84,0.979765708200213,1.8780000000000001,0.958,0.92,TS091_v2_4o,TS091_v1_1o,0.958,v1_v2,0.95,0.958,0.92,0.911,5o,4o,1o,5o
TS052,Yang-Server,1.824,0.9728,1.875,0.963,0.912,TS052_v1_3o,TS052_v2_1o,0.963,v1_v1,0.963,0.963,0.89,0.912,3o,3o,1o,1o
TS059,DeepFold,1.824,0.9733191035218783,1.874,0.962,0.912,TS059_v2_3o,TS059_v1_5o,0.962,v1_v2,0.959,0.962,0.912,0.909,1o,3o,5o,6o
TS198,colabfold,1.834,0.9802244788882951,1.871,0.954,0.917,TS198_v1_2o,TS198_v2_3o,0.954,v1_v1,0.954,0.953,0.917,0.917,2o,2o,3o,3o
TS450,OpenComplex_Server,1.822,0.97381079636558,1.871,0.96,0.911,TS450_v2_2o,TS450_v1_5o,0.96,v1_v2,0.955,0.96,0.911,0.895,1o,2o,5o,3o
TS167,OpenComplex,1.822,0.97381079636558,1.871,0.96,0.911,TS167_v2_2o,TS167_v1_5o,0.96,v1_v2,0.955,0.96,0.911,0.895,1o,2o,5o,3o
TS462,Zheng,1.82,0.9748259239421532,1.867,0.957,0.91,TS462_v2_3o,TS462_v1_6o,0.957,v1_v2,0.937,0.957,0.91,0.91,6o,3o,6o,6o
TS008,HADDOCK,1.818,0.9742765273311897,1.866,0.957,0.909,TS008_v2_1o,TS008_v1_5o,0.957,v1_v2,0.956,0.957,0.909,0.905,4o,1o,5o,5o
TS345,MULTICOM_human,1.772,0.9501340482573727,1.865,0.979,0.886,TS345_v2_4o,TS345_v1_2o,0.979,v1_v2,0.959,0.979,0.886,0.886,3o,4o,2o,2o
TS322,XGroup,1.8379999999999999,0.9860515021459227,1.8639999999999999,0.945,0.919,TS322_v1_3o,TS322_v2_4o,0.945,v1_v1,0.945,0.945,0.919,0.919,3o,2o,2o,4o
TS219,XGroup-Server,1.8379999999999999,0.9860515021459227,1.8639999999999999,0.945,0.919,TS219_v1_3o,TS219_v2_4o,0.945,v1_v1,0.945,0.945,0.919,0.919,3o,2o,2o,4o
TS015,PEZYFoldings,1.7640000000000002,0.9473684210526316,1.862,0.98,0.882,TS015_v1_2o,TS015_v2_3o,0.98,v1_v1,0.98,0.98,0.882,0.882,2o,1o,3o,3o
TS293,MRAH,1.768,0.949516648764769,1.862,0.978,0.884,TS293_v1_2o,TS293_v2_5o,0.978,v1_v1,0.978,0.974,0.886,0.884,2o,4o,4o,5o
TS079,MRAFold,1.768,0.949516648764769,1.862,0.978,0.884,TS079_v1_2o,TS079_v2_5o,0.978,v1_v1,0.978,0.974,0.886,0.884,2o,4o,4o,5o
TS163,MultiFOLD2,1.824,0.9806451612903226,1.8599999999999999,0.948,0.912,TS163_v1_3o,TS163_v2_5o,0.948,v1_v1,0.948,0.948,0.912,0.912,3o,3o,5o,5o
TS311,RAGfold_Prot1,1.784,0.9601722282023681,1.858,0.966,0.892,TS311_v1_2o,TS311_v2_1o,0.966,v1_v1,0.966,0.966,0.892,0.892,2o,2o,1o,1o
TS375,milliseconds,1.798,0.968228325255789,1.857,0.958,0.899,TS375_v1_3o,TS375_v2_2o,0.958,v1_v1,0.958,0.954,0.89,0.899,3o,1o,4o,2o
TS290,Pierce,1.784,0.9612068965517242,1.8559999999999999,0.964,0.892,TS290_v2_2o,TS290_v1_5o,0.964,v1_v2,0.957,0.964,0.892,0.902,5o,2o,5o,4o
TS494,ClusPro,1.8240000000000003,0.9838187702265373,1.854,0.942,0.912,TS494_v1_4o,TS494_v2_4o,0.942,v1_v1,0.942,0.942,0.912,0.912,4o,4o,4o,4o
TS397,smg_ulaval,1.768,0.9551593733117234,1.851,0.967,0.884,TS397_v2_1o,TS397_v1_1o,0.967,v1_v2,0.96,0.967,0.884,0.886,1o,1o,1o,1o
TS456,Yang-Multimer,1.744,0.9421934089681253,1.851,0.979,0.872,TS456_v1_2o,TS456_v2_2o,0.979,v1_v1,0.979,0.979,0.885,0.872,2o,2o,4o,2o
TS051,MULTICOM,1.772,0.9573203673689897,1.851,0.965,0.886,TS051_v1_6o,TS051_v2_2o,0.965,v1_v1,0.965,0.965,0.886,0.886,6o,6o,2o,2o
TS241,elofsson,1.786,0.9648838465694219,1.851,0.958,0.893,TS241_v2_1o,TS241_v1_1o,0.958,v1_v2,0.953,0.958,0.893,0.91,3o,1o,1o,4o
TS369,Bhattacharya,1.796,0.9713358572201191,1.849,0.951,0.898,TS369_v1_3o,TS369_v2_2o,0.951,v1_v1,0.951,0.951,0.898,0.898,3o,3o,2o,2o
TS267,kiharalab_server,1.7659999999999998,0.9556277056277056,1.8479999999999999,0.965,0.883,TS267_v2_3o,TS267_v1_1o,0.965,v1_v2,0.96,0.965,0.883,0.885,3o,3o,1o,2o
TS022,Yang,1.7660000000000002,0.9566630552546046,1.846,0.963,0.883,TS022_v1_3o,TS022_v2_5o,0.963,v1_v1,0.963,0.963,0.885,0.883,3o,3o,4o,5o
TS294,KiharaLab,1.7640000000000002,0.9555796316359697,1.846,0.964,0.882,TS294_v2_4o,TS294_v1_5o,0.964,v1_v2,0.961,0.964,0.882,0.884,4o,4o,5o,1o
TS187,Ayush,1.792,0.9712737127371274,1.845,0.949,0.896,TS187_v1_1o,TS187_v2_1o,0.949,v1_v1,0.949,0.949,0.896,0.896,1o,1o,1o,1o
TS014,Cool-PSP,1.7339999999999998,0.940347071583514,1.8439999999999999,0.977,0.867,TS014_v1_1o,TS014_v2_1o,0.977,v1_v1,0.977,0.958,0.88,0.867,1o,1o,6o,1o
TS423,ShanghaiTech-server,1.75,0.9495387954422138,1.843,0.968,0.875,TS423_v1_2o,TS423_v2_4o,0.968,v1_v1,0.968,0.964,0.873,0.875,2o,5o,4o,4o
TS319,MULTICOM_LLM,1.766,0.9587404994571118,1.842,0.959,0.883,TS319_v2_3o,TS319_v1_5o,0.959,v1_v2,0.958,0.959,0.883,0.883,4o,3o,5o,2o
TS425,MULTICOM_GATE,1.766,0.9587404994571118,1.842,0.959,0.883,TS425_v2_3o,TS425_v1_5o,0.959,v1_v2,0.958,0.959,0.883,0.883,4o,3o,5o,2o
TS331,MULTICOM_AI,1.766,0.9587404994571118,1.842,0.959,0.883,TS331_v2_3o,TS331_v1_5o,0.959,v1_v2,0.958,0.959,0.883,0.883,4o,3o,5o,2o
TS301,GHZ-MAN,1.7439999999999998,0.9478260869565217,1.8399999999999999,0.968,0.872,TS301_v1_5o,TS301_v2_1o,0.968,v1_v1,0.968,0.963,0.871,0.872,5o,2o,4o,1o
TS261,UNRES,1.82,0.989668297988037,1.839,0.91,0.929,TS261_v1_1o,TS261_v2_5o,0.929,v2_v2,0.91,0.911,0.929,0.929,1o,4o,3o,5o
TS031,MassiveFold,1.7439999999999998,0.9498910675381264,1.8359999999999999,0.964,0.872,TS031_v2_5o,TS031_v1_5o,0.964,v1_v2,0.962,0.964,0.872,0.877,5o,5o,5o,4o
TS274,kozakovvajda,1.7659999999999998,0.9682017543859649,1.8239999999999998,0.941,0.883,TS274_v2_1o,TS274_v1_4o,0.941,v1_v2,0.923,0.941,0.883,0.868,3o,1o,4o,5o
TS287,plmfold,1.738,0.9570484581497798,1.8159999999999998,0.947,0.869,TS287_v2_1o,TS287_v1_5o,0.947,v1_v2,0.934,0.947,0.869,0.937,5o,1o,5o,4o
TS204,Zou,1.688,0.9331122166943062,1.809,0.965,0.844,TS204_v2_3o,TS204_v1_2o,0.965,v1_v2,0.85,0.965,0.844,0.908,2o,3o,2o,2o
TS465,Wallner,1.69,0.9394107837687604,1.799,0.954,0.845,TS465_v1_1o,TS465_v2_3o,0.954,v1_v1,0.954,0.954,0.845,0.845,1o,3o,1o,3o
TS164,McGuffin,1.684,0.9428891377379619,1.786,0.944,0.842,TS164_v2_5o,TS164_v1_4o,0.944,v1_v2,0.829,0.944,0.842,0.887,5o,5o,4o,2o
TS208,falcon2,1.668,0.9386606640405177,1.777,0.943,0.834,TS208_v2_4o,TS208_v1_5o,0.943,v1_v2,0.85,0.943,0.834,0.88,5o,4o,5o,1o
TS286,CSSB_experimental,1.642,0.9750593824228029,1.684,0.863,0.821,TS286_v1_3o,TS286_v2_3o,0.863,v1_v1,0.863,0.854,0.863,0.821,3o,3o,3o,3o
