Group,best_GDT_TS_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_GDT_TS_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
159,0.52,R1203v1TS159_1,v1,R1203v2TS159_1,v2,0.64,0.52,0.64,1.1600000000000001
272,0.55,R1203v1TS272_1,v1,R1203v2TS272_1,v2,0.6,0.55,0.6,1.15
231,0.52,R1203v1TS231_5,v1,R1203v2TS231_5,v2,0.62,0.52,0.62,1.1400000000000001
304,0.55,R1203v1TS304_1,v1,R1203v2TS304_2,v2,0.59,0.55,0.59,1.1400000000000001
241,0.55,R1203v1TS241_4,v1,R1203v2TS241_2,v2,0.59,0.55,0.59,1.1400000000000001
435,0.54,R1203v1TS435_5,v1,R1203v2TS435_5,v2,0.6,0.54,0.6,1.1400000000000001
294,0.55,R1203v1TS294_1,v1,R1203v2TS294_1,v2,0.56,0.55,0.56,1.11
276,0.53,R1203v1TS276_1,v1,R1203v2TS276_1,v2,0.58,0.53,0.58,1.1099999999999999
238,0.59,R1203v1TS238_5,v1,R1203v2TS238_5,v2,0.52,0.59,0.52,1.1099999999999999
369,0.54,R1203v1TS369_4,v1,R1203v2TS369_3,v2,0.57,0.54,0.57,1.1099999999999999
235,0.52,R1203v1TS235_2,v1,R1203v2TS235_2,v2,0.58,0.52,0.58,1.1
006,0.54,R1203v1TS006_3,v1,R1203v2TS006_1,v2,0.55,0.54,0.55,1.09
400,0.5,R1203v1TS400_1,v1,R1203v2TS400_1,v2,0.59,0.5,0.59,1.0899999999999999
156,0.51,R1203v1TS156_1,v1,R1203v2TS156_1,v2,0.57,0.51,0.57,1.08
448,0.48,R1203v1TS448_3,v1,R1203v2TS448_4,v2,0.59,0.48,0.59,1.0699999999999998
417,0.52,R1203v1TS417_2,v1,R1203v2TS417_3,v2,0.54,0.52,0.54,1.06
165,0.51,R1203v1TS165_3,v1,R1203v2TS165_4,v2,0.55,0.51,0.55,1.06
167,0.52,R1203v1TS167_2,v1,R1203v2TS167_2,v2,0.53,0.52,0.53,1.05
317,0.52,R1203v1TS317_2,v1,R1203v2TS317_3,v2,0.51,0.52,0.51,1.03
183,0.52,R1203v1TS183_5,v1,R1203v2TS183_3,v2,0.49,0.52,0.49,1.01
403,0.51,R1203v1TS403_1,v1,R1203v2TS403_1,v2,0.5,0.51,0.5,1.01
028,0.5,R1203v1TS028_2,v1,R1203v2TS028_2,v2,0.5,0.5,0.5,1.0
286,0.45,R1203v1TS286_3,v1,R1203v2TS286_2,v2,0.52,0.45,0.52,0.97
338,0.49,R1203v1TS338_5,v1,R1203v2TS338_1,v2,0.48,0.49,0.48,0.97
063,0.48,R1203v1TS063_4,v1,R1203v2TS063_1,v2,0.49,0.48,0.49,0.97
456,0.47,R1203v1TS456_3,v1,R1203v2TS456_1,v2,0.49,0.47,0.49,0.96
367,0.46,R1203v1TS367_1,v1,R1203v2TS367_1,v2,0.5,0.46,0.5,0.96
189,0.45,R1203v1TS189_5,v1,R1203v2TS189_1,v2,0.49,0.45,0.49,0.94
052,0.46,R1203v1TS052_3,v1,R1203v2TS052_5,v2,0.47,0.46,0.47,0.9299999999999999
267,0.45,R1203v1TS267_5,v1,R1203v2TS267_3,v2,0.47,0.45,0.47,0.9199999999999999
481,0.44,R1203v1TS481_4,v1,R1203v2TS481_4,v2,0.48,0.44,0.48,0.9199999999999999
306,0.46,R1203v1TS306_1,v1,R1203v2TS306_1,v2,0.44,0.46,0.44,0.9
208,0.43,R1203v1TS208_1,v1,R1203v2TS208_1,v2,0.39,0.43,0.39,0.8200000000000001
423,0.37,R1203v1TS423_1,v1,R1203v2TS423_1,v2,0.4,0.37,0.4,0.77
298,0.37,R1203v1TS298_1,v1,R1203v2TS298_1,v2,0.4,0.37,0.4,0.77
462,0.36,R1203v1TS462_4,v1,R1203v2TS462_3,v2,0.38,0.36,0.38,0.74
110,0.35,R1203v1TS110_1,v1,R1203v2TS110_1,v2,0.38,0.35,0.38,0.73
358,0.27,R1203v1TS358_3,v1,R1203v2TS358_3,v2,0.25,0.27,0.25,0.52
094,0.26,R1203v1TS094_5,v1,R1203v2TS094_5,v2,0.23,0.26,0.23,0.49
169,0.19,R1203v1TS169_4,v1,R1203v2TS169_2,v2,0.17,0.19,0.17,0.36
261,0.13,R1203v1TS261_5,v1,R1203v2TS261_4,v2,0.15,0.13,0.15,0.28
450,0.11,R1203v1TS450_4,v1,R1203v2TS450_3,v2,0.12,0.11,0.12,0.22999999999999998
033,0.02,R1203v1TS033_1,v1,R1203v2TS033_4,v2,0.02,0.02,0.02,0.04
