Group_ID,Global_LDDT_normalized_V1,Global_LDDT_normalized_V2,Global_LDDT_normalized_both
304,82.89999999999999,82.1,165.0
241,82.89999999999999,82.1,165.0
272,82.39999999999999,82.39999999999999,164.79999999999998
369,82.1,81.5,163.6
235,81.89999999999999,80.7,162.6
006,80.9,80.7,161.60000000000002
159,81.0,79.0,160.0
294,82.89999999999999,76.7,159.6
238,82.3,73.9,156.2
183,76.6,77.0,153.6
286,76.4,75.9,152.3
063,76.7,74.7,151.4
481,75.0,75.0,150.0
435,81.5,68.4,149.9
165,71.3,73.9,145.2
417,72.2,71.5,143.7
231,80.7,62.7,143.4
189,71.8,71.0,142.8
338,71.0,71.2,142.2
456,72.89999999999999,67.2,140.1
052,70.0,69.3,139.3
448,66.10000000000001,71.7,137.8
167,81.39999999999999,56.10000000000001,137.5
267,67.9,68.8,136.7
317,63.3,71.89999999999999,135.2
028,70.1,64.60000000000001,134.7
450,56.7,56.10000000000001,112.80000000000001
462,55.3,57.3,112.6
110,54.50000000000001,57.8,112.30000000000001
156,59.5,51.7,111.2
358,51.1,59.4,110.5
169,38.1,46.8,84.9
276,82.3,0.0,82.3
400,81.8,0.0,81.8
261,37.8,40.400000000000006,78.2
367,0.0,62.6,62.6
298,53.8,0.0,53.8
423,53.8,0.0,53.8
403,0.0,48.8,48.8
208,39.3,0.0,39.3
094,8.6,11.6,20.2
306,0.8,0.0,0.8
033,0.0,0.0,0.0
