Model,Global_LDDT_normalized
R1203TS241_1 v1,82.89999999999999
R1203TS294_1 v1,82.89999999999999
R1203TS304_1 v1,82.89999999999999
R1203TS241_3 v1,82.39999999999999
R1203TS272_1 v1,82.39999999999999
R1203TS272_5 v2,82.39999999999999
R1203TS304_3 v1,82.39999999999999
R1203TS235_5 v1,81.89999999999999
R1203TS235_5 v2,81.69999999999999
R1203TS241_4 v2,81.69999999999999
R1203TS304_4 v2,81.69999999999999
R1203TS369_2 v2,81.69999999999999
R1203TS167_2 v1,81.39999999999999
R1203TS272_1 v2,81.39999999999999
R1203TS231_5 v2,80.60000000000001
R1203TS006_5 v2,78.10000000000001
R1203TS006_2 v2,77.60000000000001
R1203TS241_5 v2,77.60000000000001
R1203TS304_5 v2,77.60000000000001
R1203TS456_1 v1,72.89999999999999
R1203TS317_4 v2,71.89999999999999
R1203TS417_1 v1,71.89999999999999
R1203TS456_1 v2,71.89999999999999
R1203TS317_4 v1,71.39999999999999
R1203TS417_5 v1,71.39999999999999
R1203TS189_4 v1,70.39999999999999
R1203TS417_4 v2,70.39999999999999
R1203TS052_1 v2,69.39999999999999
R1203TS052_5 v1,69.19999999999999
R1203TS338_1 v2,69.19999999999999
R1203TS165_1 v2,68.89999999999999
R1203TS165_1 v1,68.60000000000001
R1203TS338_4 v2,68.60000000000001
R1203TS267_3 v1,67.10000000000001
R1203TS448_1 v1,66.10000000000001
R1203TS028_3 v2,64.60000000000001
R1203TS165_5 v2,64.60000000000001
R1203TS456_4 v2,61.199999999999996
R1203TS235_4 v2,59.699999999999996
R1203TS317_2 v1,59.699999999999996
R1203TS159_3 v2,59.599999999999994
R1203TS358_3 v1,59.099999999999994
R1203TS052_4 v1,58.699999999999996
R1203TS156_1 v2,58.699999999999996
R1203TS235_3 v2,58.099999999999994
R1203TS052_3 v2,57.699999999999996
R1203TS235_1 v2,57.199999999999996
R1203TS462_1 v1,57.199999999999996
R1203TS052_3 v1,57.099999999999994
R1203TS235_1 v1,56.89999999999999
R1203TS450_2 v1,56.699999999999996
R1203TS450_2 v2,56.49999999999999
R1203TS110_1 v1,56.39999999999999
R1203TS167_3 v2,56.10000000000001
R1203TS450_3 v2,56.10000000000001
R1203TS272_2 v1,56.00000000000001
R1203TS450_3 v1,55.900000000000006
R1203TS167_3 v1,55.800000000000004
R1203TS462_4 v1,55.300000000000004
R1203TS110_3 v2,54.900000000000006
R1203TS462_5 v2,54.900000000000006
R1203TS110_5 v1,54.50000000000001
R1203TS450_1 v1,54.50000000000001
R1203TS462_3 v1,53.900000000000006
R1203TS110_3 v1,53.800000000000004
R1203TS298_1 v1,53.800000000000004
R1203TS423_1 v1,53.800000000000004
R1203TS450_4 v2,53.800000000000004
R1203TS462_5 v1,53.800000000000004
R1203TS298_1 v2,52.800000000000004
R1203TS423_1 v2,52.800000000000004
