Group,Model,Composite_Score
TS298,T1214TS298_4,93.05806132976464
TS386,T1214TS386_4,93.05806132976464
TS208,T1214TS208_4,91.86564455933944
TS408,T1214TS408_1,91.27497578777373
TS465,T1214TS465_3,90.37489688777438
TS022,T1214TS022_4,90.33772491555024
TS202,T1214TS202_5,89.84893385097892
TS110,T1214TS110_2,88.31874742476715
TS388,T1214TS388_4,86.98040051667304
TS091,T1214TS091_2,86.29161987370438
TS462,T1214TS462_1,86.18033296847183
TS147,T1214TS147_1,86.18033296847183
TS287,T1214TS287_1,85.99684939026004
TS102,T1214TS102_1,85.96368525076448
TS375,T1214TS375_3,85.86993620117276
TS425,T1214TS425_2,85.49861373102563
TS319,T1214TS319_3,85.49861373102563
TS014,T1214TS014_5,85.20655545961566
TS207,T1214TS207_3,85.03897855823001
TS164,T1214TS164_1,84.85758298399551
TS225,T1214TS225_1,84.85758298399551
TS163,T1214TS163_1,84.85758298399551
TS294,T1214TS294_2,84.66789157915136
TS196,T1214TS196_4,84.52205737201649
TS475,T1214TS475_3,84.44690082492339
TS019,T1214TS019_1,84.22594061916092
TS267,T1214TS267_2,84.18239227521795
TS304,T1214TS304_2,84.16917569425337
TS241,T1214TS241_2,84.16917569425337
TS167,T1214TS167_2,83.89273113581949
TS450,T1214TS450_5,83.89273113581949
TS345,T1214TS345_4,83.66955358173757
TS075,T1214TS075_2,83.64360851250034
TS284,T1214TS284_2,83.64360851250034
TS369,T1214TS369_1,83.48823219847715
TS122,T1214TS122_4,83.37880878339189
TS017,T1214TS017_3,83.34789480677304
TS145,T1214TS145_5,83.34789480677304
TS051,T1214TS051_3,83.25215576181263
TS331,T1214TS331_3,83.25215576181263
TS272,T1214TS272_3,82.12652226958281
TS464,T1214TS464_2,81.89719674232984
TS221,T1214TS221_3,71.91094340273314
TS419,T1214TS419_3,71.91094340273314
TS020,T1214TS020_3,71.71948059205556
TS052,T1214TS052_1,71.63232565859957
TS204,T1214TS204_5,70.19867619499044
TS139,T1214TS139_3,60.45165956227246
TS132,T1214TS132_1,6.574422229303548
TS039,T1214TS039_3,50.57315928354461
TS059,T1214TS059_3,49.80543887201914
TS286,T1214TS286_2,49.36694841293523
TS274,T1214TS274_3,47.91848367529208
TS494,T1214TS494_3,47.91848367529208
TS040,T1214TS040_3,47.443620386991455
TS275,T1214TS275_1,39.89068625418189
TS461,T1214TS461_2,36.41704304966803
TS361,T1214TS361_1,32.73893192246381
TS015,T1214TS015_5,94.56703935
TS055,T1214TS055_4,91.08262428
TS423,T1214TS423_1,86.43914552
TS393,T1214TS393_1,85.76433747
TS148,T1214TS148_5,85.76433747
TS312,T1214TS312_1,85.76433747
TS264,T1214TS264_1,85.76233747
TS314,T1214TS314_1,85.76233747
TS227,T1214TS227_3,85.67423229
TS311,T1214TS311_4,85.13902906
TS079,T1214TS079_5,83.95755815
TS293,T1214TS293_2,83.93824719
TS301,T1214TS301_2,83.89081327
TS235,T1214TS235_3,82.77049177
TS198,T1214TS198_4,82.72404751
TS400,T1214TS400_1,82.42023363
TS269,T1214TS269_3,71.93756558
TS456,T1214TS456_5,70.90630226
TS262,T1214TS262_3,69.28397009
TS120,T1214TS120_1,32.73893192
