Group,V1A,V1A_version,V1B,V1B_version,V1A_final_fit,V1B_final_fit,V1A_final_model_name,V1B_final_model_name,Combined_Score
TS462,63.109,v1,52.294,v2,63.109,52.294,,T1228v2TS462_5,115.40299999999999
TS147,62.313,v1,55.337,v2,62.313,52.809,,T1228v2TS147_1,115.122
TS481,61.798,v1,52.856,v2,61.798,52.856,,T1228v2TS481_5,114.654
TS022,57.21,v2,57.022,v1,57.21,57.022,,T1228v1TS022_1,114.232
TS148,54.448,v2,58.942,v1,54.448,58.942,T1228v2TS148_3,,113.39
TS167,57.069,v1,56.32,v2,57.069,56.32,,T1228v2TS167_4,113.38900000000001
TS450,57.069,v1,56.32,v2,57.069,56.32,,T1228v2TS450_4,113.38900000000001
TS264,54.213,v1,58.942,v2,54.213,58.942,T1228v1TS264_3,,113.155
TS052,59.504,v2,53.09,v1,59.504,53.09,,T1228v1TS052_2,112.594
TS456,58.333,v2,53.09,v1,58.333,53.09,,T1228v1TS456_2,111.423
TS241,58.567,v2,52.434,v1,58.567,52.434,,T1228v1TS241_2,111.001
TS091,54.541,v2,54.448,v1,54.541,54.448,,T1228v1TS091_4,108.989
TS204,62.172,v1,46.582,v2,62.172,46.582,,T1228v2TS204_3,108.75399999999999
TS262,55.899,v1,52.762,v2,55.899,52.762,,T1228v2TS262_4,108.661
TS375,59.41,v2,49.438,v1,59.41,49.064,,T1228v1TS375_5,108.47399999999999
TS033,56.882,v2,50.936,v1,56.882,50.936,,T1228v1TS033_4,107.818
TS301,55.946,v1,51.592,v2,55.946,51.592,,T1228v2TS301_4,107.538
TS294,59.972,v2,48.081,v1,59.972,47.519,,T1228v1TS294_4,107.491
TS110,52.247,v1,54.963,v2,52.247,54.963,T1228v1TS110_2,,107.21000000000001
TS028,51.311,v1,55.852,v2,51.311,55.852,T1228v1TS028_2,,107.163
TS212,55.103,v2,51.919,v1,55.103,51.919,,T1228v1TS212_2,107.02199999999999
TS345,56.648,v2,49.345,v1,56.648,49.345,,T1228v1TS345_5,105.993
TS051,56.648,v2,49.345,v1,56.648,49.345,,T1228v1TS051_5,105.993
TS304,57.725,v1,47.519,v2,57.725,47.519,,T1228v2TS304_4,105.244
TS419,55.524,v2,48.315,v1,55.524,48.315,,T1228v1TS419_2,103.839
TS221,55.571,v2,48.268,v1,55.571,48.268,,T1228v1TS221_2,103.839
TS331,56.648,v2,47.051,v1,56.648,47.051,,T1228v1TS331_1,103.69900000000001
TS319,56.648,v1,47.051,v2,56.648,47.051,,T1228v2TS319_2,103.69900000000001
TS274,56.32,v2,47.331,v1,56.32,47.331,,T1228v1TS274_2,103.65100000000001
TS494,56.32,v2,47.331,v1,56.32,47.331,,T1228v1TS494_2,103.65100000000001
TS314,49.345,v2,54.635,v1,48.549,54.635,T1228v2TS314_3,,103.184
TS425,55.852,v2,47.191,v1,55.852,47.191,,T1228v1TS425_4,103.043
TS286,56.133,v1,46.723,v2,56.133,46.629,,T1228v2TS286_2,102.762
TS231,56.273,v2,47.378,v1,56.273,46.255,,T1228v1TS231_2,102.528
TS019,51.685,v1,50.702,v2,51.685,50.702,,T1228v2TS019_1,102.387
TS014,58.567,v2,47.893,v1,58.567,43.539,,T1228v1TS014_5,102.106
TS369,54.822,v2,47.097,v1,54.822,47.097,,T1228v1TS369_1,101.91900000000001
TS198,56.414,v2,44.85,v1,56.414,44.757,,T1228v1TS198_2,101.17099999999999
TS267,54.682,v1,47.425,v2,54.682,46.395,,T1228v2TS267_4,101.077
TS208,54.541,v2,46.442,v1,54.541,46.442,,T1228v1TS208_1,100.983
TS475,58.427,v2,46.114,v1,58.427,42.135,,T1228v1TS475_1,100.562
TS293,54.822,v2,45.693,v1,54.822,45.693,,T1228v1TS293_2,100.515
TS079,54.822,v2,45.693,v1,54.822,45.693,,T1228v1TS079_2,100.515
TS489,55.478,v1,45.178,v2,55.478,44.85,,T1228v2TS489_2,100.328
TS465,50.0,v1,48.923,v2,50.0,48.923,,T1228v2TS465_1,98.923
TS287,54.073,v1,44.897,v2,54.073,44.616,,T1228v2TS287_3,98.689
TS159,49.345,v2,48.361,v1,49.345,48.361,,T1228v1TS159_1,97.70599999999999
TS325,49.345,v2,48.361,v1,49.345,48.361,,T1228v1TS325_1,97.70599999999999
TS312,53.839,v1,46.957,v2,53.839,43.539,,T1228v2TS312_2,97.378
TS122,44.195,v2,54.588,v1,42.556,54.588,T1228v2TS122_4,,97.144
TS075,44.195,v2,54.588,v1,42.556,54.588,T1228v2TS075_4,,97.144
TS284,44.195,v2,54.588,v1,42.556,54.588,T1228v2TS284_4,,97.144
TS196,53.371,v2,43.727,v1,53.371,43.727,,T1228v1TS196_5,97.098
TS145,54.354,v2,42.088,v1,54.354,42.088,,T1228v1TS145_3,96.44200000000001
TS112,54.354,v2,42.041,v1,54.354,42.041,,T1228v1TS112_4,96.395
TS017,54.354,v2,42.041,v1,54.354,42.041,,T1228v1TS017_5,96.395
TS311,49.86,v2,45.506,v1,49.86,45.506,,T1228v1TS311_1,95.366
TS015,51.124,v2,44.242,v1,51.124,44.242,,T1228v1TS015_5,95.366
TS298,54.354,v1,47.472,v2,54.354,40.918,,T1228v2TS298_3,95.27199999999999
TS163,53.23,v2,41.62,v1,53.23,41.62,,T1228v1TS163_2,94.85
TS235,50.796,v2,43.493,v1,50.796,43.493,,T1228v1TS235_3,94.289
TS164,48.034,v1,45.927,v2,48.034,45.927,,T1228v2TS164_3,93.961
TS269,50.702,v2,42.275,v1,50.702,42.275,,T1228v1TS269_1,92.977
TS059,46.91,v2,43.727,v1,46.91,42.603,,T1228v1TS059_3,89.513
TS388,44.569,v2,44.382,v1,44.569,43.914,,T1228v1TS388_3,88.483
TS023,45.787,v2,40.309,v1,45.787,40.309,,T1228v1TS023_3,86.096
TS139,40.59,v1,38.436,v2,40.59,38.436,,T1228v2TS139_3,79.02600000000001
TS120,38.343,v1,36.142,v2,38.343,36.142,,T1228v2TS120_1,74.48500000000001
TS361,32.818,v2,32.397,v1,32.818,32.163,,T1228v1TS361_2,64.981
