Group,V1A,V1A_version,V1B,V1B_version,V1A_final_fit,V1B_final_fit,Combined_Score
TS462,60.674,v2,65.309,v2,63.109,65.309,128.418
TS204,62.032,v2,62.875,v2,62.172,62.875,125.047
TS456,58.333,v2,63.155,v2,58.333,63.155,121.488
TS481,55.665,v2,58.708,v2,61.798,58.708,120.506
TS052,59.504,v2,60.955,v2,59.504,60.955,120.459
TS294,59.972,v2,63.249,v2,55.665,63.249,118.914
TS494,56.32,v2,60.674,v2,56.32,60.674,116.994
TS274,56.32,v2,60.674,v2,56.32,60.674,116.994
TS033,56.882,v2,61.283,v2,55.571,61.283,116.854
TS375,59.41,v2,61.423,v2,55.431,61.423,116.854
TS051,56.648,v2,59.925,v2,56.648,59.925,116.57300000000001
TS345,56.648,v2,59.925,v2,56.648,59.925,116.57300000000001
TS331,56.648,v2,59.925,v2,56.648,59.925,116.57300000000001
TS022,57.21,v2,59.129,v2,57.21,59.129,116.339
TS319,55.852,v2,59.223,v2,56.648,59.223,115.87100000000001
TS241,58.567,v2,56.929,v2,58.567,56.554,115.12100000000001
TS425,55.852,v2,59.223,v2,55.852,59.223,115.07499999999999
TS147,50.328,v2,52.294,v2,62.313,52.294,114.607
TS304,54.167,v2,56.507,v2,57.725,56.507,114.232
TS198,56.414,v2,56.976,v2,56.32,56.976,113.29599999999999
TS091,54.541,v2,57.584,v2,54.541,57.584,112.125
TS231,56.273,v2,58.333,v2,53.324,58.333,111.657
TS262,51.077,v2,55.618,v2,55.899,55.618,111.517
TS419,55.524,v2,55.056,v2,55.524,55.712,111.236
TS221,55.571,v2,54.822,v2,55.571,55.431,111.002
TS489,53.184,v2,55.431,v2,55.478,55.431,110.90899999999999
TS286,55.758,v2,55.009,v2,55.758,55.056,110.814
TS264,52.715,v2,56.18,v2,54.213,56.18,110.393
TS079,54.822,v2,55.478,v2,54.822,55.478,110.30000000000001
TS293,54.822,v2,55.478,v2,54.822,55.478,110.30000000000001
TS014,58.567,v2,58.567,v2,51.592,58.567,110.15899999999999
TS369,54.822,v2,54.775,v2,54.822,54.775,109.59700000000001
TS287,52.996,v2,52.575,v2,52.996,56.039,109.035
TS475,58.427,v2,59.738,v2,48.502,59.738,108.24000000000001
TS267,50.047,v2,52.341,v2,54.682,52.341,107.023
TS017,54.354,v2,52.481,v2,54.354,52.481,106.83500000000001
TS112,54.354,v2,52.481,v2,54.354,52.481,106.83500000000001
TS145,54.354,v2,52.388,v2,54.354,52.388,106.74199999999999
TS208,54.541,v2,54.728,v2,51.311,54.728,106.039
TS163,53.23,v2,52.341,v2,53.23,52.341,105.571
TS196,53.371,v2,51.311,v2,53.371,51.311,104.682
TS148,54.448,v2,56.18,v2,48.408,56.18,104.588
TS167,44.991,v2,47.238,v2,57.069,47.238,104.307
TS450,44.991,v2,47.238,v2,57.069,47.238,104.307
TS019,49.251,v2,52.388,v2,51.685,52.388,104.07300000000001
TS325,49.345,v2,53.605,v2,49.345,53.605,102.94999999999999
TS159,49.345,v2,53.605,v2,49.345,53.605,102.94999999999999
TS269,50.702,v2,51.966,v2,50.702,51.966,102.668
TS235,50.796,v2,51.264,v2,50.796,51.264,102.06
TS298,47.472,v2,47.659,v2,54.354,47.659,102.013
TS301,42.556,v2,45.88,v2,55.946,45.88,101.826
TS212,55.103,v2,52.715,v2,55.103,46.723,101.826
TS015,51.124,v2,51.077,v2,51.124,49.86,100.98400000000001
TS312,46.067,v2,47.144,v2,53.839,47.144,100.983
TS465,49.579,v2,50.843,v2,50.0,50.843,100.843
TS110,43.867,v2,47.051,v2,52.247,47.051,99.298
TS028,44.148,v2,47.846,v2,51.311,47.846,99.157
TS314,48.549,v2,49.719,v2,49.345,49.719,99.064
TS311,49.86,v2,47.238,v2,49.86,47.238,97.098
TS164,45.927,v2,48.455,v2,48.034,48.455,96.489
TS023,45.787,v2,47.331,v2,45.787,47.331,93.118
TS059,46.91,v2,45.318,v2,46.91,44.991,91.901
TS075,42.556,v2,45.88,v2,44.195,45.88,90.075
TS122,42.556,v2,45.88,v2,44.195,45.88,90.075
TS284,42.556,v2,45.88,v2,44.195,45.88,90.075
TS388,44.569,v2,45.131,v2,44.101,45.131,89.232
TS139,40.403,v2,40.403,v2,40.59,40.403,80.993
TS120,38.249,v2,36.47,v2,38.249,36.704,74.953
TS361,32.818,v2,31.273,v2,32.818,31.18,63.998
