Group,V1A,V1A_version,V1B,V1B_version,V1A_final_fit,V1B_final_fit
TS019,52.2,v1,53.983,v1,0.0,0.0
TS462,48.985,v1,65.254,v1,0.0,0.0
TS091,47.166,v1,52.119,v1,0.0,0.0
TS022,46.024,v1,60.72,v1,0.0,0.0
TS241,45.347,v1,54.322,v1,0.0,0.0
TS425,44.459,v1,63.305,v1,0.0,0.0
TS456,44.289,v1,60.254,v1,0.0,0.0
TS052,44.12,v1,55.89,v1,0.0,0.0
TS033,43.993,v1,52.458,v1,0.0,0.0
TS110,43.57,v1,62.881,v1,0.0,0.0
TS204,43.528,v1,61.144,v1,0.0,0.0
TS304,43.147,v1,47.966,v1,0.0,0.0
TS369,43.105,v1,54.153,v1,0.0,0.0
TS481,43.105,v1,56.271,v1,0.0,0.0
TS221,42.936,v1,61.271,v1,0.0,0.0
TS419,42.936,v1,61.271,v1,0.0,0.0
TS319,42.893,v1,55.72,v1,0.0,0.0
TS235,42.851,v1,66.271,v1,0.0,0.0
TS147,42.851,v1,56.271,v1,0.0,0.0
TS314,42.766,v1,55.0,v1,0.0,0.0
TS286,42.766,v1,53.644,v1,0.0,0.0
TS294,42.555,v1,59.661,v1,0.0,0.0
TS465,42.555,v1,48.136,v1,0.0,0.0
TS287,42.343,v1,49.28,v1,0.0,0.0
TS159,42.259,v1,55.339,v1,0.0,0.0
TS325,42.259,v1,55.339,v1,0.0,0.0
TS028,42.132,v1,70.89,v1,0.0,0.0
TS331,42.09,v1,55.72,v1,0.0,0.0
TS345,42.09,v1,71.271,v1,0.0,0.0
TS051,42.09,v1,71.271,v1,0.0,0.0
TS293,42.005,v1,49.873,v1,0.0,0.0
TS079,42.005,v1,49.873,v1,0.0,0.0
TS208,41.963,v1,66.992,v1,0.0,0.0
TS450,41.836,v1,54.025,v1,0.0,0.0
TS167,41.836,v1,54.025,v1,0.0,0.0
TS298,41.794,v1,61.737,v1,0.0,0.0
TS489,41.794,v1,54.958,v1,0.0,0.0
TS262,41.794,v1,57.881,v1,0.0,0.0
TS311,41.582,v1,42.246,v1,0.0,0.0
TS267,41.455,v1,49.915,v1,0.0,0.0
TS272,41.244,v1,50.127,v1,0.0,0.0
TS212,40.694,v1,46.737,v1,0.0,0.0
TS375,40.567,v1,47.076,v1,0.0,0.0
TS231,40.271,v1,46.398,v1,0.0,0.0
TS301,40.186,v1,45.89,v1,0.0,0.0
TS198,39.805,v1,50.254,v1,0.0,0.0
TS312,39.594,v1,44.915,v1,0.0,0.0
TS148,39.594,v1,44.915,v1,0.0,0.0
TS196,39.467,v1,38.941,v1,0.0,0.0
TS015,39.382,v1,45.0,v1,0.0,0.0
TS423,39.171,v1,51.61,v1,0.0,0.0
TS122,39.129,v1,46.653,v1,0.0,0.0
TS264,38.663,v1,43.39,v1,0.0,0.0
TS397,38.621,v1,44.915,v1,0.0,0.0
TS163,38.579,v1,48.39,v1,0.0,0.0
TS040,38.409,v1,48.093,v1,0.0,0.0
TS164,38.367,v1,44.958,v1,0.0,0.0
TS145,38.283,v1,47.669,v1,0.0,0.0
TS017,38.283,v1,48.051,v1,0.0,0.0
TS023,38.283,v1,47.669,v1,0.0,0.0
TS112,38.198,v1,47.881,v1,0.0,0.0
TS388,37.986,v1,38.093,v1,0.0,0.0
TS358,37.817,v1,47.288,v1,0.0,0.0
TS014,37.352,v1,45.678,v1,0.0,0.0
TS059,37.31,v1,37.5,v1,0.0,0.0
TS139,36.971,v1,36.229,v1,0.0,0.0
TS361,29.949,v1,31.441,v1,0.0,0.0
TS120,29.822,v1,31.568,v1,0.0,0.0
TS351,24.281,v1,24.492,v1,0.0,0.0
TS105,4.146,v1,4.195,v1,0.0,0.0
TS475,41.624,v2,49.237,v2,0.0,0.0
TS075,39.129,v2,46.653,v2,0.0,0.0
TS284,39.129,v2,46.653,v2,0.0,0.0
TS269,37.775,v2,48.178,v2,0.0,0.0
