Group,V1A,V1A_version,V1B,V1B_version,V1A_final_fit,V1B_final_fit,Combined_Score
TS019,52.2,v1,53.983,v1,52.2,53.983,106.18299999999999
TS462,48.985,v1,65.254,v1,43.105,65.254,108.35900000000001
TS091,47.166,v1,52.119,v1,47.166,52.119,99.285
TS022,46.024,v1,60.72,v1,44.416,60.72,105.136
TS241,45.347,v1,54.322,v1,40.821,54.322,95.143
TS425,44.459,v1,63.305,v1,44.459,63.305,107.76400000000001
TS456,44.289,v1,60.254,v1,44.289,60.254,104.543
TS052,44.12,v1,55.89,v1,44.12,55.89,100.00999999999999
TS033,43.993,v1,52.458,v1,43.909,52.458,96.36699999999999
TS110,43.57,v1,62.881,v1,41.709,62.881,104.59
TS204,43.528,v1,61.144,v1,43.528,61.144,104.672
TS304,43.147,v1,47.966,v1,42.597,47.966,90.563
TS369,43.105,v1,54.153,v1,43.105,54.153,97.258
TS481,43.105,v1,56.271,v1,47.124,56.271,103.39500000000001
TS221,42.936,v1,61.271,v1,59.052,61.271,120.32300000000001
TS419,42.936,v1,61.271,v1,59.052,61.271,120.32300000000001
TS319,42.893,v1,55.72,v1,42.893,55.72,98.613
TS235,42.851,v1,66.271,v1,44.501,66.271,110.77199999999999
TS147,42.851,v1,56.271,v1,47.081,56.271,103.352
TS314,42.766,v1,55.0,v1,45.431,55.0,100.431
TS286,42.766,v1,53.644,v1,44.67,53.644,98.314
TS294,42.555,v1,59.661,v1,42.132,59.661,101.793
TS465,42.555,v1,48.136,v1,44.839,48.136,92.975
TS287,42.343,v1,49.28,v1,39.171,49.28,88.451
TS159,42.259,v1,55.339,v1,42.259,55.339,97.598
TS325,42.259,v1,55.339,v1,42.259,55.339,97.598
TS028,42.132,v1,70.89,v1,43.486,70.89,114.376
TS331,42.09,v1,55.72,v1,42.09,55.72,97.81
TS345,42.09,v1,71.271,v1,42.09,71.271,113.361
TS051,42.09,v1,71.271,v1,42.09,71.271,113.361
TS293,42.005,v1,49.873,v1,42.005,49.873,91.878
TS079,42.005,v1,49.873,v1,42.005,49.873,91.878
TS208,41.963,v1,66.992,v1,41.54,66.992,108.53200000000001
TS450,41.836,v1,54.025,v1,48.519,54.025,102.544
TS167,41.836,v1,54.025,v1,48.519,54.025,102.544
TS298,41.794,v1,61.737,v1,34.264,61.737,96.001
TS489,41.794,v1,54.958,v1,41.751,54.958,96.709
TS262,41.794,v1,57.881,v1,40.736,57.881,98.61699999999999
TS311,41.582,v1,42.246,v1,0.0,42.246,42.246
TS267,41.455,v1,49.915,v1,39.298,49.915,89.213
TS272,41.244,v1,50.127,v1,41.244,50.127,91.37100000000001
TS212,40.694,v1,46.737,v1,41.794,46.737,88.531
TS375,40.567,v1,47.076,v1,38.832,47.076,85.908
TS231,40.271,v1,46.398,v1,44.416,46.398,90.814
TS301,40.186,v1,45.89,v1,39.129,45.89,85.019
TS198,39.805,v1,50.254,v1,37.775,50.254,88.029
TS312,39.594,v1,44.915,v1,38.621,44.915,83.536
TS148,39.594,v1,44.915,v1,39.721,44.915,84.636
TS196,39.467,v1,38.941,v1,39.467,38.941,78.408
TS015,39.382,v1,45.0,v1,38.79,45.0,83.78999999999999
TS423,39.171,v1,51.61,v1,39.594,51.61,91.20400000000001
TS122,39.129,v1,46.653,v1,39.129,46.653,85.782
TS264,38.663,v1,43.39,v1,40.482,43.39,83.872
TS397,38.621,v1,44.915,v1,39.129,44.915,84.044
TS163,38.579,v1,48.39,v1,38.325,48.39,86.715
TS040,38.409,v1,48.093,v1,38.409,48.093,86.50200000000001
TS164,38.367,v1,44.958,v1,38.409,44.958,83.36699999999999
TS145,38.283,v1,47.669,v1,38.79,47.669,86.459
TS017,38.283,v1,48.051,v1,36.464,48.051,84.515
TS023,38.283,v1,47.669,v1,38.79,47.669,86.459
TS112,38.198,v1,47.881,v1,38.79,47.881,86.67099999999999
TS388,37.986,v1,38.093,v1,37.986,38.093,76.07900000000001
TS358,37.817,v1,47.288,v1,43.105,47.288,90.393
TS014,37.352,v1,45.678,v1,39.721,45.678,85.399
TS059,37.31,v1,37.5,v1,36.887,37.5,74.387
TS139,36.971,v1,36.229,v1,36.971,35.763,72.734
TS361,29.949,v1,31.441,v1,0.0,31.441,31.441
TS120,29.822,v1,31.568,v1,29.949,31.568,61.517
TS351,24.281,v1,24.492,v1,24.281,24.492,48.772999999999996
TS105,4.146,v1,4.195,v1,0.0,4.195,4.195
TS475,41.624,v2,49.237,v2,0.0,0.0,0.0
TS075,39.129,v2,46.653,v2,0.0,0.0,0.0
TS284,39.129,v2,46.653,v2,0.0,0.0,0.0
TS269,37.775,v2,48.178,v2,0.0,0.0,0.0
,,,,,0.0,49.237,49.237
,,,,,0.0,46.653,46.653
,,,,,0.0,46.653,46.653
,,,,,0.0,48.178,48.178
