Group,best_Global LDDT_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Global LDDT_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS028,0.8482,T1239v1TS028_3,v1,T1239v2TS028_2,v2,0.813,0.8482,0.813,1.6612
TS345,0.8454,T1239v1TS345_2,v1,T1239v2TS345_3,v2,0.8129,0.8454,0.8129,1.6583
TS051,0.8454,T1239v1TS051_2,v1,T1239v2TS051_1,v2,0.8129,0.8454,0.8129,1.6583
TS425,0.8454,T1239v1TS425_5,v1,T1239v2TS425_2,v2,0.8074,0.8454,0.8074,1.6528
TS456,0.8421,T1239v1TS456_1,v1,T1239v2TS456_3,v2,0.8101,0.8421,0.8101,1.6522000000000001
TS462,0.8358,T1239v1TS462_4,v1,T1239v2TS462_2,v2,0.8117,0.8358,0.8117,1.6475
TS235,0.839,T1239v1TS235_2,v1,T1239v2TS235_4,v2,0.8084,0.839,0.8084,1.6474
TS110,0.8472,T1239v1TS110_2,v1,T1239v2TS110_5,v2,0.7994,0.8472,0.7994,1.6465999999999998
TS019,0.8505,T1239v1TS019_4,v1,T1239v2TS019_2,v2,0.793,0.8505,0.793,1.6435
TS331,0.8454,T1239v1TS331_5,v1,T1239v2TS331_2,v2,0.7961,0.8454,0.7961,1.6415000000000002
TS319,0.8454,T1239v1TS319_5,v1,T1239v2TS319_2,v2,0.7961,0.8454,0.7961,1.6415000000000002
TS052,0.8423,T1239v1TS052_1,v1,T1239v2TS052_4,v2,0.7942,0.8423,0.7942,1.6365
TS022,0.8421,T1239v1TS022_2,v1,T1239v2TS022_1,v2,0.7934,0.8421,0.7934,1.6355
TS419,0.8294,T1239v1TS419_3,v1,T1239v2TS419_1,v2,0.8042,0.8294,0.8042,1.6336
TS221,0.8294,T1239v1TS221_3,v1,T1239v2TS221_1,v2,0.8042,0.8294,0.8042,1.6336
TS489,0.8355,T1239v1TS489_3,v1,T1239v2TS489_5,v2,0.7978,0.8355,0.7978,1.6333
TS208,0.8312,T1239v1TS208_1,v1,T1239v2TS208_4,v2,0.7998,0.8312,0.7998,1.631
TS314,0.8323,T1239v1TS314_5,v1,T1239v2TS314_2,v2,0.7963,0.8323,0.7963,1.6286
TS294,0.8377,T1239v1TS294_4,v1,T1239v2TS294_1,v2,0.7893,0.8377,0.7893,1.627
TS325,0.8371,T1239v1TS325_1,v1,T1239v2TS325_2,v2,0.7894,0.8371,0.7894,1.6265
