Model,Global_GDT,g_RMS,Version,Group
T1239v2TS028_2.lga,71.441,2.7,v2,TS028
T1239v2TS345_4.lga,71.271,2.84,v2,TS345
T1239v2TS051_4.lga,71.271,2.84,v2,TS051
T1239v2TS419_1.lga,71.186,2.79,v2,TS419
T1239v2TS221_1.lga,71.186,2.79,v2,TS221
T1239v2TS235_4.lga,71.144,3.12,v2,TS235
T1239v2TS462_2.lga,70.89,2.89,v2,TS462
T1239v2TS286_1.lga,69.873,2.91,v2,TS286
T1239v2TS425_2.lga,63.305,3.45,v2,TS425
T1239v2TS456_3.lga,60.254,3.78,v2,TS456
T1239v2TS314_5.lga,58.898,4.24,v2,TS314
T1239v2TS022_4.lga,57.246,23.56,v2,TS022
T1239v2TS481_5.lga,56.568,27.12,v2,TS481
T1239v2TS110_5.lga,56.144,4.63,v2,TS110
T1239v2TS052_3.lga,55.763,16.82,v2,TS052
T1239v2TS331_2.lga,55.72,4.49,v2,TS331
T1239v2TS319_2.lga,55.72,4.49,v2,TS319
T1239v2TS159_2.lga,55.339,4.59,v2,TS159
T1239v2TS325_2.lga,55.339,4.59,v2,TS325
T1239v2TS294_2.lga,55.297,4.94,v2,TS294
T1239v2TS212_2.lga,55.169,4.53,v2,TS212
T1239v2TS204_2.lga,55.169,25.71,v2,TS204
T1239v2TS262_4.lga,54.958,26.75,v2,TS262
T1239v2TS358_2.lga,54.873,26.66,v2,TS358
T1239v2TS369_4.lga,54.153,22.46,v2,TS369
T1239v2TS489_4.lga,54.153,7.09,v2,TS489
T1239v2TS231_1.lga,54.025,25.88,v2,TS231
T1239v2TS033_2.lga,53.941,27.42,v2,TS033
T1239v2TS241_5.lga,53.686,22.31,v2,TS241
T1239v2TS208_4.lga,53.644,5.3,v2,TS208
T1239v2TS091_5.lga,52.119,22.13,v2,TS091
T1239v2TS019_2.lga,52.034,5.28,v2,TS019
T1239v2TS423_4.lga,51.949,26.66,v2,TS423
T1239v2TS147_1.lga,50.975,23.27,v2,TS147
T1239v2TS304_5.lga,50.847,25.92,v2,TS304
T1239v2TS272_4.lga,50.127,7.46,v2,TS272
T1239v2TS079_2.lga,49.873,24.92,v2,TS079
T1239v2TS293_2.lga,49.873,24.92,v2,TS293
T1239v2TS014_3.lga,49.492,25.32,v2,TS014
T1239v2TS475_1.lga,49.237,25.52,v2,TS475
T1239v2TS148_5.lga,48.898,26.17,v2,TS148
T1239v2TS269_4.lga,48.178,25.03,v2,TS269
T1239v2TS040_3.lga,48.093,26.58,v2,TS040
T1239v2TS264_2.lga,47.712,28.6,v2,TS264
T1239v2TS375_3.lga,47.203,27.14,v2,TS375
T1239v2TS122_3.lga,46.653,28.45,v2,TS122
T1239v2TS284_4.lga,46.653,28.45,v2,TS284
T1239v2TS075_4.lga,46.653,28.45,v2,TS075
T1239v2TS301_4.lga,46.653,28.45,v2,TS301
T1239v2TS312_4.lga,46.356,26.06,v2,TS312
T1239v2TS287_4.lga,46.059,28.32,v2,TS287
T1239v2TS164_2.lga,45.297,26.4,v2,TS164
T1239v2TS267_4.lga,44.958,26.07,v2,TS267
T1239v2TS015_3.lga,44.746,28.9,v2,TS015
T1239v2TS397_1.lga,44.195,28.06,v2,TS397
T1239v2TS059_1.lga,37.5,27.47,v2,TS059
T1239v2TS023_1.lga,42.797,27.48,v2,TS023
T1239v2TS139_3.lga,35.763,27.47,v2,TS139
T1239v2TS145_1.lga,42.797,27.48,v2,TS145
T1239v2TS112_5.lga,42.585,27.47,v2,TS112
T1239v2TS465_4.lga,42.458,34.04,v2,TS465
T1239v2TS163_2.lga,42.373,26.23,v2,TS163
T1239v2TS450_3.lga,41.568,38.54,v2,TS450
T1239v2TS167_3.lga,41.568,38.54,v2,TS167
T1239v2TS198_1.lga,41.356,27.95,v2,TS198
T1239v2TS298_1.lga,39.237,19.41,v2,TS298
T1239v2TS017_5.lga,39.237,19.41,v2,TS017
T1239v2TS196_2.lga,38.941,35.71,v2,TS196
T1239v2TS388_1.lga,37.924,35.07,v2,TS388
T1239v2TS120_2.lga,31.441,25.12,v2,TS120
T1239v2TS351_1.lga,24.492,38.49,v2,TS351
