Group,V1A,V1A_model,V1A_version,V1B,V1B_version,V1B_model,V1A_final_fit,V1B_final_fit,V1A_final_model,V1B_final_model,Combined_Score
TS462,70.805,T1239v2TS462_2.lga,v2,48.985,v1,T1239v1TS462_1.lga,70.805,48.985,T1239v2TS462_2.lga,T1239v1TS462_1.lga,119.79
TS235,71.314,T1239v2TS235_4.lga,v2,44.501,v2,T1239v2TS235_4.lga,71.314,42.851,T1239v2TS235_4.lga,T1239v1TS235_1.lga,114.16499999999999
TS419,71.102,T1239v2TS419_1.lga,v2,59.052,v2,T1239v2TS419_4.lga,71.102,42.936,T1239v2TS419_1.lga,T1239v1TS419_5.lga,114.03800000000001
TS221,71.102,T1239v2TS221_1.lga,v2,59.052,v2,T1239v2TS221_4.lga,71.102,42.936,T1239v2TS221_1.lga,T1239v1TS221_5.lga,114.03800000000001
TS028,71.356,T1239v2TS028_2.lga,v2,43.486,v2,T1239v2TS028_2.lga,71.356,42.132,T1239v2TS028_2.lga,T1239v1TS028_2.lga,113.488
TS051,71.229,T1239v1TS051_4.lga,v1,42.09,v1,T1239v1TS051_5.lga,71.229,42.09,T1239v1TS051_4.lga,T1239v2TS051_5.lga,113.319
TS345,71.229,T1239v1TS345_4.lga,v1,42.09,v1,T1239v1TS345_5.lga,71.229,42.09,T1239v1TS345_4.lga,T1239v2TS345_5.lga,113.319
TS286,69.873,T1239v2TS286_1.lga,v2,44.67,v2,T1239v2TS286_3.lga,69.873,42.766,T1239v2TS286_1.lga,T1239v1TS286_2.lga,112.63900000000001
TS208,66.992,T1239v1TS208_4.lga,v1,41.963,v1,T1239v1TS208_4.lga,66.992,41.54,T1239v1TS208_4.lga,T1239v2TS208_4.lga,108.53200000000001
TS425,63.22,T1239v1TS425_2.lga,v1,44.459,v1,T1239v1TS425_4.lga,63.22,44.459,T1239v1TS425_2.lga,T1239v2TS425_4.lga,107.679
TS019,54.025,T1239v1TS019_5.lga,v1,52.2,v1,T1239v1TS019_4.lga,54.025,52.2,T1239v1TS019_5.lga,T1239v2TS019_5.lga,106.225
TS022,60.72,T1239v1TS022_5.lga,v1,46.024,v1,T1239v1TS022_5.lga,60.72,44.416,T1239v1TS022_5.lga,T1239v2TS022_4.lga,105.136
TS204,61.229,T1239v1TS204_5.lga,v1,43.528,v1,T1239v1TS204_1.lga,61.229,43.528,T1239v1TS204_5.lga,T1239v2TS204_2.lga,104.757
TS110,63.008,T1239v1TS110_1.lga,v1,43.57,v1,T1239v1TS110_1.lga,63.008,41.709,T1239v1TS110_1.lga,T1239v2TS110_2.lga,104.71700000000001
TS456,60.212,T1239v1TS456_3.lga,v1,44.289,v1,T1239v1TS456_2.lga,60.212,44.289,T1239v1TS456_3.lga,T1239v2TS456_2.lga,104.501
TS147,56.271,T1239v1TS147_3.lga,v1,47.081,v2,T1239v2TS147_5.lga,56.271,47.081,T1239v1TS147_3.lga,T1239v2TS147_5.lga,103.352
TS450,54.068,T1239v1TS450_5.lga,v1,48.519,v2,T1239v2TS450_3.lga,54.068,48.519,T1239v1TS450_5.lga,T1239v2TS450_3.lga,102.58699999999999
TS167,54.068,T1239v1TS167_5.lga,v1,48.519,v2,T1239v2TS167_3.lga,54.068,48.519,T1239v1TS167_5.lga,T1239v2TS167_3.lga,102.58699999999999
TS294,59.576,T1239v1TS294_1.lga,v1,42.555,v1,T1239v1TS294_1.lga,59.576,42.132,T1239v1TS294_1.lga,T1239v2TS294_2.lga,101.708
TS314,58.771,T1239v2TS314_5.lga,v2,45.431,v2,T1239v2TS314_2.lga,58.771,42.766,T1239v2TS314_5.lga,T1239v1TS314_2.lga,101.537
