Gr.Code,Model,DockQ_Avg
8,T1249v1TS008_1o,0.457
14,T1249v1TS014_1o,0.648
15,T1249v2TS015_1o,0.713
22,T1249v1TS022_5o,0.461
23,T1249v1TS023_3o,0.014
31,T1249v2TS031_4o,0.425
40,T1249v2TS040_3o,0.391
51,T1249v1TS051_2o,0.428
59,T1249v2TS059_3o,0.468
85,T1249v1TS085_5o,0.012
91,T1249v2TS091_5o,0.487
117,T1249v2TS117_2o,0.356
139,T1249v2TS139_3o,0.015
164,T1249v2TS164_5o,0.393
167,T1249v2TS167_2o,0.483
187,T1249v2TS187_1o,0.362
196,T1249v2TS196_5o,0.016
204,T1249v2TS204_5o,0.508
221,T1249v1TS221_3o,0.262
241,T1249v2TS241_5o,0.547
261,T1249v1TS261_1o,0.289
262,T1249v2TS262_5o,0.245
264,T1249v2TS264_2o,0.582
272,T1249v1TS272_3o,0.43
274,T1249v2TS274_1o,0.365
286,T1249v1TS286_3o,0.262
287,T1249v2TS287_2o,0.474
290,T1249v2TS290_1o,0.46
293,T1249v1TS293_2o,0.623
294,T1249v2TS294_4o,0.46
301,T1249v1TS301_4o,0.5
311,T1249v1TS311_2o,0.472
322,T1249v2TS322_1o,0.493
323,T1249v2TS323_1o,0.31
345,T1249v2TS345_4o,0.685
369,T1249v1TS369_3o,0.444
380,T1249v1TS380_4o,0.376
393,T1249v1TS393_3o,0.475
397,T1249v2TS397_1o,0.653
419,T1249v1TS419_3o,0.262
462,T1249v2TS462_1o,0.45
465,T1249v2TS465_3o,0.583
489,T1249v1TS489_1o,0.15
494,T1249v1TS494_4o,0.351
