Gr.Code,Model,lDDT
008,T1249v1TS008_5o,0.749
014,T1249v1TS014_1o,0.75
015,T1249v2TS015_1o,0.745
022,T1249v1TS022_1o,0.754
023,T1249v2TS023_3o,0.159
028s,T1249v2TS028_3o,0.757
031,T1249v2TS031_5o,0.73
040,T1249v2TS040_3o,0.692
051,T1249v2TS051_5o,0.759
052s,T1249v2TS052_1o,0.762
059,T1249v1TS059_5o,0.749
075s,T1249v2TS075_4o,0.787
079s,T1249v1TS079_2o,0.754
085,T1249v2TS085_5o,0.547
091,T1249v1TS091_1o,0.756
110s,T1249v2TS110_1o,0.758
114s,T1249v2TS114_4o,0.182
117,T1249v2TS117_2o,0.642
122s,T1249v2TS122_1o,0.787
139,T1249v1TS139_5o,0.4
145s,T1249v2TS145_5o,0.755
147s,T1249v2TS147_1o,0.758
148s,T1249v2TS148_5o,0.751
163s,T1249v2TS163_3o,0.745
164,T1249v2TS164_2o,0.752
167,T1249v1TS167_5o,0.756
187,T1249v1TS187_1o,0.737
196,T1249v1TS196_1o,0.557
198s,T1249v2TS198_2o,0.747
204,T1249v2TS204_3o,0.757
208s,T1249v2TS208_1o,0.75
219s,T1249v2TS219_1o,0.738
221,T1249v1TS221_1o,0.639
241,T1249v2TS241_5o,0.765
261,T1249v2TS261_1o,0.723
262,T1249v1TS262_5o,0.717
264,T1249v1TS264_5o,0.76
267s,T1249v2TS267_2o,0.747
272,T1249v1TS272_2o,0.803
274,T1249v1TS274_5o,0.73
284s,T1249v2TS284_4o,0.787
286,T1249v1TS286_1o,0.639
287,T1249v2TS287_4o,0.783
290,T1249v1TS290_5o,0.76
293,T1249v1TS293_2o,0.754
294,T1249v2TS294_1o,0.756
300s,T1249v1TS300_1o,0.17
301,T1249v2TS301_1o,0.74
304s,T1249v2TS304_1o,0.811
311,T1249v2TS311_1o,0.747
312s,T1249v1TS312_5o,0.76
314s,T1249v2TS314_1o,0.805
319s,T1249v1TS319_5o,0.76
322,T1249v2TS322_1o,0.738
323,T1249v2TS323_1o,0.746
331s,T1249v2TS331_2o,0.76
337s,T1249v1TS337_1o,0.177
345,T1249v2TS345_5o,0.761
369,T1249v1TS369_2o,0.758
375s,T1249v2TS375_2o,0.76
380,T1249v2TS380_5o,0.755
393,T1249v2TS393_5o,0.773
397,T1249v1TS397_1o,0.746
419,T1249v1TS419_1o,0.639
423s,T1249v2TS423_2o,0.725
425s,T1249v1TS425_5o,0.76
450s,T1249v1TS450_5o,0.756
456s,T1249v1TS456_4o,0.749
462,T1249v1TS462_1o,0.756
465,T1249v2TS465_3o,0.69
475s,T1249v2TS475_4o,0.787
489,T1249v1TS489_3o,0.546
494,T1249v1TS494_2o,0.745
