Group,best_Average_dockq_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_Average_dockq_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS304,0.4303333333333333,T1249v1TS304_2o,v1,T1249v2TS304_1o,v2,0.5113333333333333,0.4303333333333333,0.5113333333333333,0.9416666666666667
TS314,0.3659999999999999,T1249v1TS314_2o,v1,T1249v2TS314_1o,v2,0.516,0.3659999999999999,0.516,0.8819999999999999
TS345,0.6846666666666668,T1249v2TS345_4o,v2,T1249v1TS345_5o,v1,0.1876666666666666,0.6846666666666668,0.1876666666666666,0.8723333333333334
TS397,0.6526666666666667,T1249v2TS397_1o,v2,T1249v1TS397_1o,v1,0.2126666666666666,0.6526666666666667,0.2126666666666666,0.8653333333333333
TS015,0.7126666666666667,T1249v1TS015_2o,v1,T1249v2TS015_1o,v2,0.1446666666666666,0.7126666666666667,0.1446666666666666,0.8573333333333333
TS456,0.654,T1249v1TS456_2o,v1,T1249v2TS456_2o,v2,0.1516666666666666,0.654,0.1516666666666666,0.8056666666666666
TS393,0.4753333333333333,T1249v1TS393_3o,v1,T1249v2TS393_5o,v2,0.325,0.4753333333333333,0.325,0.8003333333333333
TS293,0.6226666666666667,T1249v1TS293_2o,v1,T1249v2TS293_5o,v2,0.1556666666666666,0.6226666666666667,0.1556666666666666,0.7783333333333333
TS079,0.6226666666666667,T1249v1TS079_2o,v1,T1249v2TS079_5o,v2,0.1556666666666666,0.6226666666666667,0.1556666666666666,0.7783333333333333
TS014,0.6476666666666667,T1249v1TS014_1o,v1,T1249v2TS014_1o,v2,0.1216666666666666,0.6476666666666667,0.1216666666666666,0.7693333333333333
TS322,0.4926666666666666,T1249v1TS322_4o,v1,T1249v2TS322_1o,v2,0.263,0.4926666666666666,0.263,0.7556666666666666
TS219,0.4926666666666666,T1249v1TS219_4o,v1,T1249v2TS219_1o,v2,0.263,0.4926666666666666,0.263,0.7556666666666666
TS465,0.5826666666666667,T1249v1TS465_1o,v1,T1249v2TS465_3o,v2,0.1476666666666666,0.5826666666666667,0.1476666666666666,0.7303333333333333
TS241,0.5473333333333334,T1249v2TS241_5o,v2,T1249v1TS241_1o,v1,0.1803333333333333,0.5473333333333334,0.1803333333333333,0.7276666666666667
TS052,0.4596666666666666,T1249v1TS052_3o,v1,T1249v2TS052_1o,v2,0.259,0.4596666666666666,0.259,0.7186666666666666
TS091,0.4866666666666666,T1249v2TS091_5o,v2,T1249v1TS091_1o,v1,0.2246666666666666,0.4866666666666666,0.2246666666666666,0.7113333333333332
TS290,0.4603333333333333,T1249v1TS290_5o,v1,T1249v2TS290_4o,v2,0.2466666666666666,0.4603333333333333,0.2466666666666666,0.7069999999999999
TS167,0.4829999999999999,T1249v2TS167_2o,v2,T1249v1TS167_5o,v1,0.2176666666666666,0.4829999999999999,0.2176666666666666,0.7006666666666664
