Model,Gr.Code,lDDT
T1249v2TS345_4o,345,0.782
T1249v2TS397_1o,397,0.794
T1249v2TS465_3o,465,0.737
T1249v1TS465_1o,465,0.737
T1249v2TS015_1o,15,0.805
T1249v1TS015_2o,15,0.805
T1249v1TS014_1o,14,0.797
T1249v1TS079_2o,079s,0.799
T1249v1TS293_2o,293,0.799
T1249v1TS456_2o,456s,0.79
T1249v2TS456_2o,456s,0.79
T1249v2TS122_2o,122s,0.798
T1249v2TS075_1o,075s,0.798
T1249v2TS475_1o,475s,0.798
T1249v2TS284_1o,284s,0.798
T1249v2TS204_5o,204,0.776
T1249v2TS393_5o,393,0.779
T1249v2TS079_4o,079s,0.711
T1249v2TS293_4o,293,0.711
T1249v1TS293_1o,293,0.778
T1249v1TS079_1o,079s,0.778
T1249v2TS241_5o,241,0.794
T1249v1TS397_1o,397,0.78
T1249v1TS014_2o,14,0.782
T1249v2TS264_2o,264,0.769
T1249v2TS312_2o,312s,0.769
T1249v2TS148_2o,148s,0.769
T1249v2TS204_2o,204,0.776
T1249v2TS219_1o,219s,0.744
T1249v2TS322_1o,322,0.744
T1249v1TS219_4o,219s,0.744
T1249v1TS322_4o,322,0.744
T1249v1TS272_3o,272,0.78
T1249v1TS393_3o,393,0.779
T1249v2TS052_2o,052s,0.783
T1249v1TS052_1o,052s,0.783
T1249v2TS287_2o,287,0.789
T1249v2TS314_5o,314s,0.786
T1249v1TS304_2o,304s,0.789
T1249v1TS022_5o,22,0.777
T1249v2TS290_1o,290,0.784
T1249v2TS425_3o,425s,0.782
T1249v1TS345_3o,345,0.782
T1249v2TS319_3o,319s,0.782
T1249v2TS331_3o,331s,0.782
T1249v2TS022_5o,22,0.777
T1249v1TS290_5o,290,0.784
T1249v2TS345_5o,345,0.788
T1249v1TS345_5o,345,0.788
T1249v2TS241_1o,241,0.785
T1249v2TS167_2o,167,0.783
T1249v2TS450_2o,450s,0.783
T1249v1TS369_3o,369,0.778
T1249v2TS369_3o,369,0.778
T1249v2TS287_1o,287,0.792
T1249v2TS375_1o,375s,0.78
T1249v2TS028_4o,028s,0.786
T1249v2TS091_5o,91,0.77
T1249v2TS110_1o,110s,0.784
T1249v2TS462_1o,462,0.784
T1249v2TS284_2o,284s,0.792
T1249v2TS122_3o,122s,0.792
T1249v2TS147_1o,147s,0.784
T1249v2TS475_2o,475s,0.792
T1249v2TS075_2o,075s,0.792
T1249v1TS304_1o,304s,0.774
T1249v2TS022_3o,22,0.716
T1249v2TS052_3o,052s,0.716
T1249v1TS423_2o,423s,0.734
T1249v2TS091_1o,91,0.766
T1249v1TS008_1o,8,0.768
T1249v1TS052_3o,052s,0.716
T1249v1TS022_3o,22,0.716
T1249v2TS241_4o,241,0.771
T1249v1TS059_1o,59,0.774
T1249v2TS022_1o,22,0.774
T1249v1TS052_2o,052s,0.774
T1249v1TS022_1o,22,0.774
T1249v2TS028_3o,028s,0.78
T1249v2TS294_2o,294,0.766
T1249v2TS294_1o,294,0.781
T1249v1TS450_1o,450s,0.775
T1249v1TS167_1o,167,0.775
T1249v1TS008_5o,8,0.755
T1249v1TS241_3o,241,0.786
