Model,Group,Model Version,Model_Number,Composite_Score
T1214TS014_5,TS014,,5,85.20655545961566
T1214TS015_5,TS015,,5,94.56703934671762
T1214TS017_3,TS017,,3,83.34789480677304
T1214TS019_1,TS019,,1,84.22594061916092
T1214TS020_3,TS020,,3,71.71948059205556
T1214TS022_4,TS022,,4,90.33772491555023
T1214TS039_3,TS039,,3,50.57315928354461
T1214TS040_3,TS040,,3,47.443620386991455
T1214TS051_3,TS051,,3,83.25215576181263
T1214TS052_1,TS052,,1,71.63232565859957
T1214TS055_5,TS055,,5,91.08262428025259
T1214TS059_6,TS059,,6,70.50113985969594
T1214TS075_2,TS075,,2,83.64360851250034
T1214TS079_5,TS079,,5,83.9575581529273
T1214TS091_2,TS091,,2,86.29161987425887
T1214TS102_5,TS102,,5,85.96368524978058
T1214TS110_2,TS110,,2,88.31874742409354
T1214TS120_6,TS120,,6,59.519849701624025
T1214TS122_4,TS122,,4,83.37880878379514
T1214TS132_1,TS132,,1,6.574422229303548
T1214TS139_6,TS139,,6,70.50113985969594
T1214TS145_5,TS145,,5,83.34789480677304
T1214TS147_1,TS147,,1,86.18033296873355
T1214TS148_5,TS148,,5,85.7643374686127
T1214TS163_1,TS163,,1,84.85758298399551
T1214TS164_1,TS164,,1,84.85758298399551
T1214TS167_2,TS167,,2,83.89273113608121
T1214TS196_4,TS196,,4,84.52205737201649
T1214TS198_4,TS198,,4,82.7240475073651
T1214TS202_5,TS202,,5,89.84893385097892
T1214TS204_5,TS204,,5,70.19867619499044
T1214TS207_2,TS207,,2,85.03897855823001
T1214TS208_4,TS208,,4,91.86564455933944
T1214TS221_3,TS221,,3,71.91094340273314
T1214TS225_1,TS225,,1,84.85758298399551
T1214TS227_3,TS227,,3,85.67423228602115
T1214TS235_3,TS235,,3,82.7704917694414
T1214TS241_2,TS241,,2,84.16917569425337
T1214TS262_3,TS262,,3,69.28397009116316
T1214TS264_1,TS264,,1,85.7623374686127
T1214TS267_2,TS267,,2,84.18239227521795
T1214TS269_3,TS269,,3,71.9375655822775
T1214TS272_3,TS272,,3,82.12652227017061
T1214TS274_3,TS274,,3,47.91848367529208
T1214TS275_1,TS275,,1,39.89068625418189
T1214TS284_2,TS284,,2,83.64360851250034
T1214TS286_2,TS286,,2,49.36694841293523
T1214TS287_1,TS287,,1,85.99684939026004
T1214TS293_2,TS293,,2,83.938247192434
T1214TS294_2,TS294,,2,84.66789157915136
T1214TS298_4,TS298,,4,93.05806132976464
T1214TS301_2,TS301,,2,83.8908132741073
T1214TS304_2,TS304,,2,84.16917569425337
T1214TS311_4,TS311,,4,85.13902906376117
T1214TS312_1,TS312,,1,85.7643374686127
T1214TS314_1,TS314,,1,85.7623374686127
T1214TS319_3,TS319,,3,85.49861373047374
T1214TS331_3,TS331,,3,83.25215576181263
T1214TS345_4,TS345,,4,83.66955358173757
T1214TS361_1,TS361,,1,32.738931922115775
T1214TS369_1,TS369,,1,83.48823219847715
T1214TS375_3,TS375,,3,85.86993620117276
T1214TS386_4,TS386,,4,93.05806132976464
T1214TS388_4,TS388,,4,86.98040051667304
T1214TS393_1,TS393,,1,85.7643374686127
T1214TS400_1,TS400,,1,82.4202336259215
T1214TS408_1,TS408,,1,91.27497578777373
T1214TS419_3,TS419,,3,71.91094340273314
T1214TS423_1,TS423,,1,86.4391455247268
T1214TS425_2,TS425,,2,85.49861373047374
T1214TS450_5,TS450,,5,83.89273113608121
T1214TS456_5,TS456,,5,70.906302263626
T1214TS461_2,TS461,,2,36.41704304966803
T1214TS462_6,TS462,,6,91.27869872814671
T1214TS464_3,TS464,,3,81.89719674291764
T1214TS465_3,TS465,,3,90.37489688741564
T1214TS475_3,TS475,,3,84.44690082492339
T1214TS494_3,TS494,,3,47.91848367529208
