Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS294,KiharaLab,1.6081,0.7903,0.8178000000000001,TS294_v1_1,TS294_v2_1,0.8178000000000001,v2_v2,0.7903,0.0,0.0,0.8178000000000001,1,,,1,0.9828990734407064,1.5806
TS033,Diff,1.5239,0.7336,0.7903,TS033_v1_4,TS033_v2_5,0.7903,v2_v2,0.7336,0.0,0.0,0.7903,4,,,5,0.9627928341754709,1.4672
TS462,Zheng,1.4926,0.8129,0.6797,TS462_v1_3,TS462_v2_3,0.8129,v1_v1,0.8129,0.0,0.0,0.6797,3,,,3,0.9107597480905802,1.3594
TS204,Zou,1.4779,0.6477,0.8301999999999999,TS204_v1_2,TS204_v2_2,0.8301999999999999,v2_v2,0.6477,0.0,0.0,0.8301999999999999,2,,,2,0.876513972528588,1.2954
TS489,Fernandez-Recio,1.289,0.6496999999999999,0.6393,TS489_v1_1,TS489_v2_1,0.6496999999999999,v1_v1,0.6496999999999999,0.0,0.0,0.6393,1,,,1,0.9919317300232738,1.2786
TS262,CoDock,1.3109,0.6878,0.6231,TS262_v1_1,TS262_v2_3,0.6878,v1_v1,0.6878,0.0,0.0,0.6231,1,,,3,0.950644595316195,1.2462
TS091,Huang-HUST,1.3603,0.7462,0.6141,TS091_v1_3,TS091_v2_2,0.7462,v1_v1,0.7462,0.0,0.0,0.6141,3,,,2,0.9028890685878115,1.2282
TS159,406,1.424,0.6106,0.8134,TS159_v1_1,TS159_v2_1,0.8134,v2_v2,0.6106,0.0,0.0,0.8134,1,,,1,0.8575842696629213,1.2211999999999998
TS325,405,1.424,0.6106,0.8134,TS325_v1_1,TS325_v2_1,0.8134,v2_v2,0.6106,0.0,0.0,0.8134,1,,,1,0.8575842696629213,1.2211999999999998
TS481,Vfold,1.258,0.6042,0.6538,TS481_v1_4,TS481_v2_2,0.6538,v2_v2,0.6042,0.0,0.0,0.6538,4,,,2,0.9605723370429252,1.2084
TS304,AF3-server,1.3994,0.5927,0.8067,TS304_v1_2,TS304_v2_3,0.8067,v2_v2,0.5927,0.0,0.0,0.8067,2,,,3,0.8470773188509362,1.1854
TS286,CSSB_experimental,1.1869,0.5877,0.5992,TS286_v1_1,TS286_v2_1,0.5992,v2_v2,0.5877,0.0,0.0,0.5992,1,,,1,0.9903108939253518,1.1754
TS241,elofsson,1.3657,0.5841999999999999,0.7815000000000001,TS241_v1_3,TS241_v2_1,0.7815000000000001,v2_v2,0.5841999999999999,0.0,0.0,0.7815000000000001,3,,,1,0.8555319616313977,1.1683999999999997
TS028,NKRNA-s,1.1596,0.5518,0.6078,TS028_v1_4,TS028_v2_4,0.6078,v2_v2,0.5518,0.0,0.0,0.6078,4,,,4,0.9517074853397723,1.1036
TS110,MIEnsembles-Server,1.1852999999999998,0.5508,0.6345,TS110_v1_3,TS110_v2_5,0.6345,v2_v2,0.5508,0.0,0.0,0.6345,3,,,5,0.929384965831435,1.1015999999999997
TS231,B-LAB,1.2927,0.525,0.7676999999999999,TS231_v1_2,TS231_v2_1,0.7676999999999999,v2_v2,0.525,0.0,0.0,0.7676999999999999,2,,,1,0.8122534230679973,1.05
TS450,OpenComplex_Server,1.0707,0.5115000000000001,0.5591999999999999,TS450_v1_1,TS450_v2_2,0.5591999999999999,v2_v2,0.5115000000000001,0.0,0.0,0.5591999999999999,1,,,2,0.9554497057999441,1.0230000000000001
TS167,OpenComplex,1.0707,0.5115000000000001,0.5591999999999999,TS167_v1_1,TS167_v2_2,0.5591999999999999,v2_v2,0.5115000000000001,0.0,0.0,0.5591999999999999,1,,,2,0.9554497057999441,1.0230000000000001
TS208,falcon2,1.2364000000000002,0.4988,0.7376,TS208_v1_1,TS208_v2_5,0.7376,v2_v2,0.4988,0.0,0.0,0.7376,1,,,5,0.806858621805241,0.9976000000000002
TS022,Yang,0.3841999999999999,0.1810999999999999,0.2031,TS022_v1_4,TS022_v2_5,0.2031,v2_v2,0.1810999999999999,0.0,0.0,0.2031,4,,,5,0.9427381572097863,0.36219999999999974
TS052,Yang-Server,0.37860000000000005,0.1758,0.2028,TS052_v1_3,TS052_v2_5,0.2028,v2_v2,0.1758,0.0,0.0,0.2028,3,,,5,0.9286846275752774,0.3516000000000001
TS456,Yang-Multimer,0.3565,0.1742,0.1823,TS456_v1_4,TS456_v2_5,0.1823,v2_v2,0.1742,0.0,0.0,0.1823,4,,,5,0.9772791023842917,0.3484
TS494,ClusPro,0.3379,0.1661,0.1718,TS494_v1_2,TS494_v2_3,0.1718,v2_v2,0.1661,0.0,0.0,0.1718,2,,,3,0.9831311038768866,0.3322
TS274,kozakovvajda,0.3379,0.1661,0.1718,TS274_v1_2,TS274_v2_3,0.1718,v2_v2,0.1661,0.0,0.0,0.1718,2,,,3,0.9831311038768866,0.3322
TS014,Cool-PSP,0.3154,0.176,0.1394,TS014_v1_4,TS014_v2_4,0.176,v1_v1,0.176,0.0,0.0,0.1394,4,,,4,0.8839568801521878,0.27880000000000005
