Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS294,KiharaLab,0.716,0.344,0.372,TS294_v1_1,TS294_v2_1,0.372,v2_v2,0.344,0.0,0.0,0.372,1,,,1,0.9608938547486033,0.688
TS033,Diff,0.6779999999999999,0.319,0.359,TS033_v1_4,TS033_v2_5,0.359,v2_v2,0.319,0.0,0.0,0.359,4,,,5,0.9410029498525074,0.638
TS462,Zheng,0.6619999999999999,0.353,0.309,TS462_v1_3,TS462_v2_3,0.353,v1_v1,0.353,0.0,0.0,0.309,3,,,3,0.9335347432024169,0.6179999999999999
TS022,Yang,0.641,0.302,0.339,TS022_v1_4,TS022_v2_5,0.339,v2_v2,0.302,0.0,0.0,0.339,4,,,5,0.9422776911076443,0.604
TS052,Yang-Server,0.631,0.293,0.338,TS052_v1_3,TS052_v2_5,0.338,v2_v2,0.293,0.0,0.0,0.338,3,,,5,0.9286846275752773,0.586
TS456,Yang-Multimer,0.594,0.29,0.304,TS456_v1_4,TS456_v2_5,0.304,v2_v2,0.29,0.0,0.0,0.304,4,,,5,0.9764309764309764,0.58
TS262,CoDock,0.582,0.299,0.283,TS262_v1_1,TS262_v2_3,0.299,v1_v1,0.299,0.0,0.0,0.283,1,,,3,0.9725085910652921,0.566
TS204,Zou,0.659,0.282,0.377,TS204_v1_2,TS204_v2_2,0.377,v2_v2,0.282,0.0,0.0,0.377,2,,,2,0.8558421851289832,0.564
TS489,Fernandez-Recio,0.573,0.282,0.291,TS489_v1_1,TS489_v2_1,0.291,v2_v2,0.282,0.0,0.0,0.291,1,,,1,0.9842931937172774,0.564
TS091,Huang-HUST,0.603,0.324,0.279,TS091_v1_3,TS091_v2_2,0.324,v1_v1,0.324,0.0,0.0,0.279,3,,,2,0.9253731343283582,0.5579999999999999
TS274,kozakovvajda,0.563,0.277,0.286,TS274_v1_2,TS274_v2_3,0.286,v2_v2,0.277,0.0,0.0,0.286,2,,,3,0.9840142095914743,0.554
TS494,ClusPro,0.563,0.277,0.286,TS494_v1_2,TS494_v2_3,0.286,v2_v2,0.277,0.0,0.0,0.286,2,,,3,0.9840142095914743,0.554
TS159,406,0.635,0.265,0.37,TS159_v1_1,TS159_v2_1,0.37,v2_v2,0.265,0.0,0.0,0.37,1,,,1,0.8346456692913387,0.53
TS325,405,0.635,0.265,0.37,TS325_v1_1,TS325_v2_1,0.37,v2_v2,0.265,0.0,0.0,0.37,1,,,1,0.8346456692913387,0.53
TS481,Vfold,0.56,0.263,0.297,TS481_v1_4,TS481_v2_2,0.297,v2_v2,0.263,0.0,0.0,0.297,4,,,2,0.9392857142857143,0.526
TS304,AF3-server,0.625,0.258,0.367,TS304_v1_2,TS304_v2_3,0.367,v2_v2,0.258,0.0,0.0,0.367,2,,,3,0.8256,0.516
TS286,CSSB_experimental,0.528,0.256,0.272,TS286_v1_1,TS286_v2_1,0.272,v2_v2,0.256,0.0,0.0,0.272,1,,,1,0.9696969696969697,0.512
TS241,elofsson,0.609,0.254,0.355,TS241_v1_3,TS241_v2_1,0.355,v2_v2,0.254,0.0,0.0,0.355,3,,,1,0.8341543513957308,0.508
TS028,NKRNA-s,0.516,0.24,0.276,TS028_v1_4,TS028_v2_4,0.276,v2_v2,0.24,0.0,0.0,0.276,4,,,4,0.9302325581395349,0.48
TS110,MIEnsembles-Server,0.5269999999999999,0.239,0.288,TS110_v1_3,TS110_v2_5,0.288,v2_v2,0.239,0.0,0.0,0.288,3,,,5,0.9070208728652751,0.4779999999999999
TS014,Cool-PSP,0.525,0.293,0.232,TS014_v1_4,TS014_v2_4,0.293,v1_v1,0.293,0.0,0.0,0.232,4,,,4,0.8838095238095238,0.464
TS231,B-LAB,0.577,0.228,0.349,TS231_v1_5,TS231_v2_1,0.349,v2_v2,0.228,0.0,0.0,0.349,5,,,1,0.7902946273830156,0.45599999999999996
TS167,OpenComplex,0.476,0.222,0.254,TS167_v1_4,TS167_v2_2,0.254,v2_v2,0.222,0.0,0.0,0.254,4,,,2,0.9327731092436975,0.444
TS450,OpenComplex_Server,0.476,0.222,0.254,TS450_v1_4,TS450_v2_2,0.254,v2_v2,0.222,0.0,0.0,0.254,4,,,2,0.9327731092436975,0.444
TS208,falcon2,0.552,0.217,0.335,TS208_v1_1,TS208_v2_5,0.335,v2_v2,0.217,0.0,0.0,0.335,1,,,5,0.786231884057971,0.434
