Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber,Balance,TSBI_Score
TS462,Zheng,1.5470000000000002,0.772,0.775,TS462_v1_1,TS462_v2_1,0.775,v2_v2,0.772,0.6985,0.7068,0.775,1.0,3,3,1.0,0.9980607627666451,1.5440000000000003
TS028,NKRNA-s,1.563,0.7984,0.7646,TS028_v2_5,TS028_v1_5,0.7984,v1_v2,0.653,0.7984,0.7646,0.782,2.0,5,5,4.0,0.9783749200255918,1.5292
TS286,CSSB_experimental,1.5229,0.7497,0.7732,TS286_v2_5,TS286_v1_3,0.7732,v2_v1,0.707,0.7497,0.7732,0.71,5.0,5,3,1.0,0.9845689145708845,1.4993999999999998
TS481,Vfold,1.5390000000000001,0.745,0.794,TS481_v1_4,TS481_v2_1,0.794,v2_v2,0.745,0.6899,0.7078,0.794,4.0,1,1,1.0,0.96816114359974,1.49
TS204,Zou,1.452,0.726,0.726,TS204_v1_1,TS204_v2_1,0.726,v1_v1,0.726,0.7256,0.7258,0.726,1.0,2,2,1.0,1.0,1.452
TS294,KiharaLab,1.442,0.717,0.725,TS294_v1_5,TS294_v2_1,0.725,v2_v2,0.717,0.7034,0.6939,0.725,5.0,2,2,1.0,0.9944521497919556,1.434
TS091,Huang-HUST,1.5049000000000001,0.714,0.7909,TS091_v2_1,TS091_v1_2,0.7909,v2_v1,0.714,0.714,0.7909,0.79,3.0,1,2,2.0,0.9489002591534321,1.4280000000000002
TS304,AF3-server,1.494,0.712,0.782,TS304_v1_4,TS304_v2_5,0.782,v2_v2,0.712,0.6847,0.6766,0.782,4.0,1,2,5.0,0.9531459170013387,1.424
TS167,OpenComplex,1.4945,0.7871,0.7074,TS167_v2_4,TS167_v1_1,0.7871,v1_v2,0.684,0.7871,0.7074,0.687,1.0,4,1,4.0,0.9466711274673804,1.4147999999999998
TS450,OpenComplex_Server,1.4945,0.7871,0.7074,TS450_v2_4,TS450_v1_1,0.7871,v1_v2,0.684,0.7871,0.7074,0.687,1.0,4,1,4.0,0.9466711274673804,1.4147999999999998
TS033,Diff,1.5,0.707,0.793,TS033_v1_5,TS033_v2_2,0.793,v2_v2,0.707,0.7177,0.7091,0.793,5.0,5,5,2.0,0.9426666666666667,1.414
TS262,CoDock,1.4929999999999999,0.795,0.698,TS262_v1_1,TS262_v2_3,0.795,v1_v1,0.795,0.7745,0.6832,0.698,1.0,1,2,3.0,0.9350301406563964,1.3959999999999997
TS022,Yang,1.495,0.696,0.799,TS022_v1_4,TS022_v2_2,0.799,v2_v2,0.696,0.6963,0.7988,0.799,4.0,4,2,2.0,0.9311036789297659,1.3920000000000001
TS494,ClusPro,1.459,0.6935,0.7655,TS494_v2_2,TS494_v1_3,0.7655,v2_v1,0.694,0.6935,0.7655,0.761,2.0,2,3,3.0,0.9506511309115833,1.387
TS274,kozakovvajda,1.459,0.6935,0.7655,TS274_v2_2,TS274_v1_3,0.7655,v2_v1,0.694,0.6935,0.7655,0.761,2.0,2,3,3.0,0.9506511309115833,1.387
TS241,elofsson,1.444,0.689,0.755,TS241_v1_3,TS241_v2_3,0.755,v2_v2,0.689,0.7197,0.7068,0.755,3.0,2,3,3.0,0.9542936288088643,1.378
TS052,Yang-Server,1.5003,0.6875,0.8128,TS052_v2_3,TS052_v1_1,0.8128,v2_v1,0.688,0.6875,0.8128,0.81,3.0,3,1,5.0,0.9164833699926681,1.375
TS369,Bhattacharya,1.4009,0.7153,0.6856,TS369_v2_5,TS369_v1_2,0.7153,v1_v2,0.0,0.7153,0.6856,0.0,,5,2,,0.9787993432793204,1.3712
TS231,B-LAB,1.397,0.675,0.722,TS231_v1_2,TS231_v2_1,0.722,v2_v2,0.675,0.7045,0.6738,0.722,2.0,3,2,1.0,0.9663564781675018,1.35
TS456,Yang-Multimer,1.4564,0.6722,0.7842,TS456_v2_3,TS456_v1_1,0.7842,v2_v1,0.672,0.6722,0.7842,0.784,3.0,3,1,5.0,0.9230980499862675,1.3444
TS208,falcon2,1.3706,0.7036,0.667,TS208_v2_5,TS208_v1_1,0.7036,v1_v2,0.642,0.7036,0.667,0.689,1.0,5,1,5.0,0.9732963665547936,1.334
TS489,Fernandez-Recio,1.3683999999999998,0.6654,0.703,TS489_v2_2,TS489_v1_2,0.703,v2_v1,0.685,0.6654,0.703,0.695,2.0,2,2,5.0,0.97252265419468,1.3308
TS110,MIEnsembles-Server,1.4420000000000002,0.657,0.785,TS110_v1_2,TS110_v2_3,0.785,v2_v2,0.657,0.7715,0.768,0.785,2.0,4,4,3.0,0.9112343966712899,1.3140000000000003
TS323,Yan,1.326,0.65,0.676,TS323_v1_1,TS323_v2_1,0.676,v2_v2,0.65,0.6434,0.6681,0.676,1.0,1,1,1.0,0.9803921568627451,1.3
TS325,405,1.317,0.628,0.689,TS325_v1_1,TS325_v2_1,0.689,v2_v2,0.628,0.6283,0.689,0.689,1.0,1,1,1.0,0.9536826119969628,1.256
TS159,406,1.317,0.628,0.689,TS159_v1_1,TS159_v2_1,0.689,v2_v2,0.628,0.6283,0.689,0.689,1.0,1,1,1.0,0.9536826119969628,1.256
TS014,Cool-PSP,1.3119999999999998,0.606,0.706,TS014_v1_4,TS014_v2_5,0.706,v2_v2,0.606,0.6595,0.6466,0.706,4.0,5,5,5.0,0.9237804878048781,1.212
