Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS235,isyslab-hust,58.8,30.0,28.799999999999997,TS235_v2_4,TS235_v1_2,0.3,v1_v2,0.286,0.3,0.288,0.299,2,4,2,4
TS462,Zheng,58.8,30.599999999999998,28.199999999999996,TS462_v2_2,TS462_v1_4,0.306,v1_v2,0.283,0.306,0.282,0.286,4,2,4,2
TS028,NKRNA-s,57.49999999999999,29.799999999999997,27.700000000000003,TS028_v1_4,TS028_v2_2,0.298,v1_v1,0.298,0.298,0.236,0.277,4,2,5,2
TS110,MIEnsembles-Server,55.89999999999999,29.4,26.5,TS110_v1_1,TS110_v2_4,0.294,v1_v1,0.294,0.263,0.286,0.265,1,4,1,4
TS481,Vfold,54.400000000000006,27.400000000000002,27.0,TS481_v1_4,TS481_v2_5,0.274,v1_v1,0.274,0.269,0.254,0.27,4,2,4,5
TS286,CSSB_experimental,54.1,26.6,27.500000000000004,TS286_v1_5,TS286_v2_1,0.275,v2_v2,0.266,0.27,0.249,0.275,5,1,2,1
TS262,CoDock,54.0,28.000000000000004,26.0,TS262_v2_2,TS262_v1_4,0.28,v1_v2,0.271,0.28,0.26,0.271,4,2,4,4
TS294,KiharaLab,52.5,25.6,26.900000000000002,TS294_v2_2,TS294_v1_1,0.269,v2_v1,0.265,0.256,0.269,0.261,4,2,1,1
TS033,Diff,51.300000000000004,25.900000000000002,25.4,TS033_v2_1,TS033_v1_3,0.259,v1_v2,0.244,0.259,0.254,0.242,2,1,3,1
TS231,B-LAB,50.9,27.900000000000002,23.0,TS231_v2_1,TS231_v1_2,0.279,v1_v2,0.234,0.279,0.23,0.273,2,1,2,1
TS091,Huang-HUST,50.8,25.5,25.3,TS091_v1_2,TS091_v2_2,0.255,v1_v1,0.255,0.255,0.253,0.253,2,2,2,2
TS489,Fernandez-Recio,50.5,25.6,24.9,TS489_v1_3,TS489_v2_5,0.256,v1_v1,0.256,0.245,0.218,0.249,3,5,5,5
TS208,falcon2,46.4,29.7,16.7,TS208_v1_4,TS208_v2_1,0.297,v1_v1,0.297,0.238,0.282,0.167,4,4,4,1
TS167,OpenComplex,44.300000000000004,27.900000000000002,16.400000000000002,TS167_v1_5,TS167_v2_5,0.279,v1_v1,0.279,0.214,0.261,0.164,5,4,4,5
TS450,OpenComplex_Server,44.300000000000004,27.900000000000002,16.400000000000002,TS450_v1_5,TS450_v2_5,0.279,v1_v1,0.279,0.214,0.261,0.164,5,4,4,5
TS325,405,40.7,25.2,15.5,TS325_v1_2,TS325_v2_2,0.252,v1_v1,0.252,0.252,0.155,0.155,2,2,2,2
TS159,406,40.7,25.2,15.5,TS159_v1_2,TS159_v2_2,0.252,v1_v1,0.252,0.252,0.155,0.155,2,2,2,2
TS014,Cool-PSP,39.6,19.400000000000002,20.200000000000003,TS014_v1_5,TS014_v2_4,0.202,v2_v2,0.194,0.201,0.193,0.202,5,4,3,4
TS241,elofsson,36.8,18.099999999999998,18.7,TS241_v2_1,TS241_v1_3,0.187,v2_v1,0.184,0.181,0.187,0.178,1,1,3,1
TS304,AF3-server,36.8,19.2,17.599999999999998,TS304_v2_5,TS304_v1_1,0.192,v1_v2,0.178,0.192,0.176,0.188,1,5,1,5
TS272,GromihaLab,29.2,14.6,14.6,TS272_v1_3,TS272_v2_5,0.146,v1_v1,0.146,0.146,0.146,0.146,3,2,5,5
