Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS435,RNAFOLDX,133.3119151209345,68.50157601998266,64.81033910095181,TS435_v1_5,TS435_v2_6,68.50157601998266,v1_v1,68.50157601998266,,,64.81033910095181,5.0,,,6.0
TS241,elofsson,124.44255026365467,71.29599811288819,53.14655215076648,TS241_v1_3,TS241_v2_2,71.29599811288819,v1_v1,71.29599811288819,,,53.14655215076648,3.0,,,2.0
TS304,AF3-server,124.44255026365467,71.29599811288819,53.14655215076648,TS304_v1_3,TS304_v2_2,71.29599811288819,v1_v1,71.29599811288819,,,53.14655215076648,3.0,,,2.0
TS006,RNA_Dojo,119.67427865872709,57.890904640949586,61.783374017777504,TS006_v1_2,TS006_v2_5,61.783374017777504,v2_v2,57.890904640949586,,,61.783374017777504,2.0,,,5.0
TS235,isyslab-hust,119.23991749857291,66.44822758389648,52.79168991467643,TS235_v1_2,TS235_v2_5,66.44822758389648,v1_v1,66.44822758389648,,,52.79168991467643,2.0,,,5.0
TS231,B-LAB,113.06387828643102,61.76967670267137,51.29420158375966,TS231_v1_1,TS231_v2_5,61.76967670267137,v1_v1,61.76967670267137,,,51.29420158375966,1.0,,,5.0
TS159,406,112.55319713336644,63.911896784843705,48.64130034852273,TS159_v1_1,TS159_v2_4,63.911896784843705,v1_v1,63.911896784843705,,,48.64130034852273,1.0,,,4.0
TS267,kiharalab_server,108.52592942978836,51.46692344764516,57.059005982143205,TS267_v1_1,TS267_v2_3,57.059005982143205,v2_v2,51.46692344764516,,,57.059005982143205,1.0,,,3.0
TS369,Bhattacharya,108.26345703258723,58.885618778171505,49.37783825441572,TS369_v1_2,TS369_v2_5,58.885618778171505,v1_v1,58.885618778171505,,,49.37783825441572,2.0,,,5.0
TS417,GuangzhouRNA-meta,104.30772478828274,43.46606874697924,60.841656041303494,TS417_v1_5,TS417_v2_4,60.841656041303494,v2_v2,43.46606874697924,,,60.841656041303494,5.0,,,4.0
TS052,Yang-Server,102.68487921385304,52.6607705497356,50.024108664117435,TS052_v1_2,TS052_v2_4,52.6607705497356,v1_v1,52.6607705497356,,,50.024108664117435,2.0,,,4.0
TS165,dfr,102.62917817692818,45.049996996061374,57.5791811808668,TS165_v1_3,TS165_v2_5,57.5791811808668,v2_v2,45.049996996061374,,,57.5791811808668,3.0,,,5.0
TS286,CSSB_experimental,102.39214295315006,53.674456290776,48.71768666237406,TS286_v1_1,TS286_v2_3,53.674456290776,v1_v1,53.674456290776,,,48.71768666237406,1.0,,,3.0
TS028,NKRNA-s,101.05039204355867,56.026340711119445,45.02405133243922,TS028_v1_3,TS028_v2_2,56.026340711119445,v1_v1,56.026340711119445,,,45.02405133243922,3.0,,,2.0
TS294,KiharaLab,100.92502307262815,47.73492369691099,53.19009937571716,TS294_v1_1,TS294_v2_3,53.19009937571716,v2_v2,47.73492369691099,,,53.19009937571716,1.0,,,3.0
TS238,BRIQX,100.8468855409863,45.17373075147023,55.67315478951608,TS238_v1_2,TS238_v2_5,55.67315478951608,v2_v2,45.17373075147023,,,55.67315478951608,2.0,,,5.0
TS189,LCBio,99.93964202528062,58.11951010107924,41.820131924201384,TS189_v1_5,TS189_v2_1,58.11951010107924,v1_v1,58.11951010107924,,,41.820131924201384,5.0,,,1.0
TS183,GuangzhouRNA-human,97.33548116066027,52.534661621801504,44.800819538858754,TS183_v1_5,TS183_v2_2,52.534661621801504,v1_v1,52.534661621801504,,,44.800819538858754,5.0,,,2.0
TS272,GromihaLab,97.29159438261277,47.528795522761094,49.762798859851685,TS272_v1_4,TS272_v2_1,49.762798859851685,v2_v2,47.528795522761094,,,49.762798859851685,4.0,,,1.0
TS156,SoutheRNA,97.14745131534677,58.97744458162994,38.17000673371683,TS156_v1_1,TS156_v2_4,58.97744458162994,v1_v1,58.97744458162994,,,38.17000673371683,1.0,,,4.0
TS448,dNAfold,96.56937159829786,54.03064226587007,42.538729332427785,TS448_v1_1,TS448_v2_5,54.03064226587007,v1_v1,54.03064226587007,,,42.538729332427785,1.0,,,5.0
TS317,GuangzhouRNA_AI,95.74403526704812,37.244246987382205,58.499788279665914,TS317_v1_5,TS317_v2_4,58.499788279665914,v2_v2,37.244246987382205,,,58.499788279665914,5.0,,,4.0
TS481,Vfold,92.32042836333021,41.59424178924747,50.72618657408274,TS481_v1_4,TS481_v2_5,50.72618657408274,v2_v2,41.59424178924747,,,50.72618657408274,4.0,,,5.0
TS338,GeneSilico,90.02329008741097,42.86995583419415,47.15333425321681,TS338_v1_5,TS338_v2_3,47.15333425321681,v2_v2,42.86995583419415,,,47.15333425321681,5.0,,,3.0
TS063,RNApolis,87.77613909278284,42.26473070821962,45.511408384563225,TS063_v1_1,TS063_v2_3,45.511408384563225,v2_v2,42.26473070821962,,,45.511408384563225,1.0,,,3.0
TS110,MIEnsembles-Server,87.00411792494934,32.14972740132964,54.8543905236197,TS110_v1_1,TS110_v2_5,54.8543905236197,v2_v2,32.14972740132964,,,54.8543905236197,1.0,,,5.0
TS456,Yang-Multimer,86.13993962587423,44.5794553147429,41.56048431113133,TS456_v1_2,TS456_v2_1,44.5794553147429,v1_v1,44.5794553147429,,,41.56048431113133,2.0,,,1.0
TS167,OpenComplex,80.49761852115077,32.10973214105702,48.38788638009374,TS167_v1_5,TS167_v2_2,48.38788638009374,v2_v2,32.10973214105702,,,48.38788638009374,5.0,,,2.0
TS462,Zheng,80.06973682950866,32.173160342888515,47.896576486620134,TS462_v1_4,TS462_v2_1,47.896576486620134,v2_v2,32.173160342888515,,,47.896576486620134,4.0,,,1.0
TS358,PerezLab_Gators,67.68662692710046,32.12171734784119,35.56490957925928,TS358_v1_2,TS358_v2_1,35.56490957925928,v2_v2,32.12171734784119,,,35.56490957925928,2.0,,,1.0
TS169,thermomaps,62.86337863457053,28.99888254590948,33.86449608866105,TS169_v1_5,TS169_v2_2,33.86449608866105,v2_v2,28.99888254590948,,,33.86449608866105,5.0,,,2.0
TS261,UNRES,57.59906709716735,24.521998851816445,33.0770682453509,TS261_v1_1,TS261_v2_3,33.0770682453509,v2_v2,24.521998851816445,,,33.0770682453509,1.0,,,3.0
TS450,OpenComplex_Server,57.17965990577713,29.533817120688894,27.64584278508823,TS450_v1_2,TS450_v2_4,29.533817120688894,v1_v1,29.533817120688894,,,27.64584278508823,2.0,,,4.0
TS400,OmniFold,51.62478433433793,0.0,51.62478433433793,TS400_v1_None,TS400_v2_1,51.62478433433793,v2_v2,0.0,,,51.62478433433793,,,,1.0
TS276,FrederickFolding,51.18996621172915,0.0,51.18996621172915,TS276_v1_None,TS276_v2_1,51.18996621172915,v2_v2,0.0,,,51.18996621172915,,,,1.0
TS094,SimRNA-Server,40.61430032827577,22.6614720019022,17.952828326373567,TS094_v1_2,TS094_v2_3,22.6614720019022,v1_v1,22.6614720019022,,,17.952828326373567,2.0,,,3.0
TS367,AIR,39.57316726725126,0.0,39.57316726725126,TS367_v1_None,TS367_v2_1,39.57316726725126,v2_v2,0.0,,,39.57316726725126,,,,1.0
