Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS272,GromihaLab,116.418,54.85099999999999,61.56700000000001,TS272_v1_4,TS272_v2_1,0.61567,v2_v2,0.5485099999999999,,,0.61567,4.0,,,1.0
TS304,AF3-server,115.485,55.224,60.260999999999996,TS304_v1_4,TS304_v2_2,0.60261,v2_v2,0.55224,,,0.60261,4.0,,,2.0
TS241,elofsson,115.485,55.224,60.260999999999996,TS241_v1_4,TS241_v2_2,0.60261,v2_v2,0.55224,,,0.60261,4.0,,,2.0
TS159,406,115.29899999999999,50.56,64.739,TS159_v1_2,TS159_v2_1,0.64739,v2_v2,0.5056,,,0.64739,2.0,,,1.0
TS369,Bhattacharya,111.19400000000002,53.73100000000001,57.462999999999994,TS369_v1_5,TS369_v2_3,0.57463,v2_v2,0.5373100000000001,,,0.57463,5.0,,,3.0
TS235,isyslab-hust,109.328,51.306,58.022,TS235_v1_5,TS235_v2_2,0.58022,v2_v2,0.51306,,,0.58022,5.0,,,2.0
TS006,RNA_Dojo,109.14199999999998,53.918,55.224,TS006_v1_3,TS006_v2_1,0.55224,v2_v2,0.53918,,,0.55224,3.0,,,1.0
TS231,B-LAB,108.769,45.709,63.06,TS231_v1_2,TS231_v2_5,0.6306,v2_v2,0.45709,,,0.6306,2.0,,,5.0
TS238,BRIQX,108.209,59.51499999999999,48.693999999999996,TS238_v1_5,TS238_v2_2,0.59515,v1_v1,0.59515,,,0.48694,5.0,,,2.0
TS294,KiharaLab,108.209,51.678999999999995,56.53,TS294_v1_2,TS294_v2_1,0.5653,v2_v2,0.51679,,,0.5653,2.0,,,1.0
TS448,dNAfold,107.835,48.507,59.328,TS448_v1_3,TS448_v2_4,0.59328,v2_v2,0.48507,,,0.59328,3.0,,,4.0
TS165,dfr,107.46199999999999,52.052,55.40999999999999,TS165_v1_3,TS165_v2_4,0.5540999999999999,v2_v2,0.52052,,,0.5540999999999999,3.0,,,4.0
TS417,GuangzhouRNA-meta,106.716,52.612,54.104,TS417_v1_5,TS417_v2_3,0.54104,v2_v2,0.52612,,,0.54104,5.0,,,3.0
TS435,RNAFOLDX,104.664,44.403,60.260999999999996,TS435_v1_1,TS435_v2_5,0.60261,v2_v2,0.44403,,,0.60261,1.0,,,5.0
TS317,GuangzhouRNA_AI,102.61200000000001,51.866,50.746,TS317_v1_2,TS317_v2_3,0.51866,v1_v1,0.51866,,,0.50746,2.0,,,3.0
TS183,GuangzhouRNA-human,102.23899999999999,52.79899999999999,49.43999999999999,TS183_v1_5,TS183_v2_2,0.52799,v1_v1,0.52799,,,0.4943999999999999,5.0,,,2.0
TS286,CSSB_experimental,98.69399999999999,46.269,52.425,TS286_v1_3,TS286_v2_2,0.52425,v2_v2,0.46269,,,0.52425,3.0,,,2.0
TS456,Yang-Multimer,98.69399999999999,49.43999999999999,49.254,TS456_v1_3,TS456_v2_1,0.4943999999999999,v1_v1,0.4943999999999999,,,0.49254,3.0,,,1.0
TS338,GeneSilico,98.50699999999999,49.43999999999999,49.067,TS338_v1_5,TS338_v2_1,0.4943999999999999,v1_v1,0.4943999999999999,,,0.49067,5.0,,,1.0
TS063,RNApolis,97.20100000000001,48.693999999999996,48.507,TS063_v1_4,TS063_v2_1,0.48694,v1_v1,0.48694,,,0.48507,4.0,,,1.0
TS052,Yang-Server,96.455,47.948,48.507,TS052_v1_5,TS052_v2_1,0.48507,v2_v2,0.47948,,,0.48507,5.0,,,1.0
TS189,LCBio,95.33599999999998,45.896,49.43999999999999,TS189_v1_5,TS189_v2_1,0.4943999999999999,v2_v2,0.45896,,,0.4943999999999999,5.0,,,1.0
TS267,kiharalab_server,93.47099999999999,45.896,47.575,TS267_v1_4,TS267_v2_5,0.47575,v2_v2,0.45896,,,0.47575,4.0,,,5.0
TS028,NKRNA-s,93.09700000000001,42.351,50.746,TS028_v1_4,TS028_v2_2,0.50746,v2_v2,0.42351,,,0.50746,4.0,,,2.0
TS481,Vfold,91.60499999999999,43.65699999999999,47.948,TS481_v1_5,TS481_v2_4,0.47948,v2_v2,0.4365699999999999,,,0.47948,5.0,,,4.0
TS167,OpenComplex,86.38,33.95499999999999,52.425,TS167_v1_1,TS167_v2_2,0.52425,v2_v2,0.3395499999999999,,,0.52425,1.0,,,2.0
TS156,SoutheRNA,83.396,25.56,57.836,TS156_v1_4,TS156_v2_1,0.57836,v2_v2,0.2556,,,0.57836,4.0,,,1.0
TS462,Zheng,74.25399999999999,36.193999999999996,38.06,TS462_v1_4,TS462_v2_5,0.3806,v2_v2,0.36194,,,0.3806,4.0,,,5.0
TS110,MIEnsembles-Server,72.76100000000001,34.515,38.246,TS110_v1_3,TS110_v2_1,0.38246,v2_v2,0.34515,,,0.38246,3.0,,,1.0
TS276,FrederickFolding,58.955,0.0,58.955,TS276_v1_None,TS276_v2_1,0.58955,v2_v2,0.0,,,0.58955,,,,1.0
TS400,OmniFold,58.396,0.0,58.396,TS400_v1_None,TS400_v2_1,0.58396,v2_v2,0.0,,,0.58396,,,,1.0
TS403,mmagnus,50.373000000000005,50.373000000000005,0.0,TS403_v1_1,TS403_v2_None,0.50373,v1_v1,0.50373,,,0.0,1.0,,,
TS367,AIR,50.0,0.0,50.0,TS367_v1_None,TS367_v2_1,0.5,v2_v2,0.0,,,0.5,,,,1.0
