Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS015,PEZYFoldings,90.15854372533636,90.15854372533636,TS015_v1_5,90.15854372533636,v1_v1,90.15854372533636,5
TS298,ShanghaiTech-human,88.03846999930116,88.03846999930116,TS298_v1_4,88.03846999930116,v1_v1,88.03846999930116,4
TS386,ShanghaiTech-Ligand,88.03846999930116,88.03846999930116,TS386_v1_4,88.03846999930116,v1_v1,88.03846999930116,4
TS208,falcon2,86.00597781981364,86.00597781981364,TS208_v1_4,86.00597781981364,v1_v1,86.00597781981364,4
TS462,Zheng,84.51002740422817,84.51002740422817,TS462_v1_6,84.51002740422817,v1_v1,84.51002740422817,6
TS022,Yang,84.28047397306608,84.28047397306608,TS022_v1_4,84.28047397306608,v1_v1,84.28047397306608,4
TS408,SNU-CHEM-lig,83.92391245740286,83.92391245740286,TS408_v1_1,83.92391245740286,v1_v1,83.92391245740286,1
TS055,LCDD-team,83.58945915811869,83.58945915811869,TS055_v1_5,83.58945915811869,v1_v1,83.58945915811869,5
TS465,Wallner,83.15138476133947,83.15138476133947,TS465_v1_3,83.15138476133947,v1_v1,83.15138476133947,3
TS110,MIEnsembles-Server,81.67568664195346,81.67568664195346,TS110_v1_2,81.67568664195346,v1_v1,81.67568664195346,2
TS202,test001,81.15626039863739,81.15626039863739,TS202_v1_5,81.15626039863739,v1_v1,81.15626039863739,5
TS388,DeepFold-server,79.8818476159752,79.8818476159752,TS388_v1_4,79.8818476159752,v1_v1,79.8818476159752,4
TS423,ShanghaiTech-server,78.89271060480272,78.89271060480272,TS423_v1_1,78.89271060480272,v1_v1,78.89271060480272,1
TS020,comppharmunibas,78.80614262725146,78.80614262725146,TS020_v1_4,78.80614262725146,v1_v1,78.80614262725146,4
TS147,Zheng-Multimer,78.65580228275338,78.65580228275338,TS147_v1_1,78.65580228275338,v1_v1,78.65580228275338,1
TS091,Huang-HUST,78.62154666338226,78.62154666338226,TS091_v1_2,78.62154666338226,v1_v1,78.62154666338226,2
TS102,Psi-Phi,78.38098732565584,78.38098732565584,TS102_v1_1,78.38098732565584,v1_v1,78.38098732565584,1
TS375,milliseconds,78.30773570040328,78.30773570040328,TS375_v1_3,78.30773570040328,v1_v1,78.30773570040328,3
TS294,KiharaLab,78.29120231166901,78.29120231166901,TS294_v1_3,78.29120231166901,v1_v1,78.29120231166901,3
TS287,plmfold,78.27746454370639,78.27746454370639,TS287_v1_1,78.27746454370639,v1_v1,78.27746454370639,1
TS264,GuijunLab-Human,78.12818003698607,78.12818003698607,TS264_v1_1,78.12818003698607,v1_v1,78.12818003698607,1
TS393,GuijunLab-QA,78.12818003698607,78.12818003698607,TS393_v1_1,78.12818003698607,v1_v1,78.12818003698607,1
TS148,Guijunlab-Complex,78.12818003698607,78.12818003698607,TS148_v1_5,78.12818003698607,v1_v1,78.12818003698607,5
TS312,GuijunLab-Assembly,78.12818003698607,78.12818003698607,TS312_v1_1,78.12818003698607,v1_v1,78.12818003698607,1
TS314,GuijunLab-PAthreader,78.12818003698607,78.12818003698607,TS314_v1_1,78.12818003698607,v1_v1,78.12818003698607,1
TS319,MULTICOM_LLM,78.02288887636337,78.02288887636337,TS319_v1_3,78.02288887636337,v1_v1,78.02288887636337,3
TS425,MULTICOM_GATE,78.02288887636337,78.02288887636337,TS425_v1_2,78.02288887636337,v1_v1,78.02288887636337,2
TS227,KUMC,77.80840423706465,77.80840423706465,TS227_v1_3,77.80840423706465,v1_v1,77.80840423706465,3
TS311,RAGfold_Prot1,77.4360809048105,77.4360809048105,TS311_v1_4,77.4360809048105,v1_v1,77.4360809048105,4
TS207,MULTICOM_ligand,77.17392532881952,77.17392532881952,TS207_v1_2,77.17392532881952,v1_v1,77.17392532881952,2
TS014,Cool-PSP,76.85286256875992,76.85286256875992,TS014_v1_5,76.85286256875992,v1_v1,76.85286256875992,5
