Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS015,PEZYFoldings,191.06195900445078,95.40263498026908,95.65932402418171,TS015_v1_5,TS015_v2_1,95.65932402418171,v2_v2,95.40263498026908,,,95.65932402418171,5.0,,,1.0
TS462,Zheng,189.78843217359247,92.28802192338252,97.50041025020997,TS462_v1_6,TS462_v2_3,97.50041025020997,v2_v2,92.28802192338252,,,97.50041025020997,6.0,,,3.0
TS110,MIEnsembles-Server,187.04442685014624,89.48434931356276,97.56007753658346,TS110_v1_2,TS110_v2_5,97.56007753658346,v2_v2,89.48434931356276,,,97.56007753658346,2.0,,,5.0
TS022,Yang,187.02695714653632,91.32537917845286,95.70157796808346,TS022_v1_4,TS022_v2_2,95.70157796808346,v2_v2,91.32537917845286,,,95.70157796808346,4.0,,,2.0
TS091,Huang-HUST,185.54364467050527,87.12503733070581,98.41860733979948,TS091_v1_2,TS091_v2_1,98.41860733979948,v2_v2,87.12503733070581,,,98.41860733979948,2.0,,,1.0
TS388,DeepFold-server,184.92922667292464,87.74867809278018,97.18054858014447,TS388_v1_4,TS388_v2_1,97.18054858014447,v2_v2,87.74867809278018,,,97.18054858014447,4.0,,,1.0
TS147,Zheng-Multimer,184.88185207641266,87.3814418262027,97.50041025020997,TS147_v1_1,TS147_v2_3,97.50041025020997,v2_v2,87.3814418262027,,,97.50041025020997,1.0,,,3.0
TS375,milliseconds,184.33593607559564,86.73198856032263,97.603947515273,TS375_v1_3,TS375_v2_4,97.603947515273,v2_v2,86.73198856032263,,,97.603947515273,3.0,,,4.0
TS319,MULTICOM_LLM,182.83013420231003,86.3901111010907,96.44002310121935,TS319_v1_3,TS319_v2_4,96.44002310121935,v2_v2,86.3901111010907,,,96.44002310121935,3.0,,,4.0
TS145,colabfold_baseline,182.6631081713305,84.76022553518746,97.90288263614303,TS145_v1_5,TS145_v2_1,97.90288263614303,v2_v2,84.76022553518746,,,97.90288263614303,5.0,,,1.0
TS017,Seder2024hard,182.6631081713305,84.76022553518746,97.90288263614303,TS017_v1_3,TS017_v2_1,97.90288263614303,v2_v2,84.76022553518746,,,97.90288263614303,3.0,,,1.0
TS425,MULTICOM_GATE,182.55119796680043,86.3901111010907,96.16108686570972,TS425_v1_2,TS425_v2_4,96.16108686570972,v2_v2,86.3901111010907,,,96.16108686570972,2.0,,,4.0
TS198,colabfold,182.09571262458968,84.28640768848842,97.80930493610124,TS198_v1_4,TS198_v2_1,97.80930493610124,v2_v2,84.28640768848842,,,97.80930493610124,4.0,,,1.0
TS148,Guijunlab-Complex,181.5640597484037,86.74194402958885,94.82211571881486,TS148_v1_5,TS148_v2_2,94.82211571881486,v2_v2,86.74194402958885,,,94.82211571881486,5.0,,,2.0
TS208,falcon2,180.11392248816946,92.8049822558509,87.30894023231858,TS208_v1_4,TS208_v2_2,92.8049822558509,v1_v1,92.8049822558509,,,87.30894023231858,4.0,,,2.0
TS465,Wallner,177.8206829149434,90.7371078090716,87.0835751058718,TS465_v1_3,TS465_v2_1,90.7371078090716,v1_v1,90.7371078090716,,,87.0835751058718,3.0,,,1.0
TS408,SNU-CHEM-lig,176.29957084838355,91.7967299659223,84.50284088246124,TS408_v1_1,TS408_v2_2,91.7967299659223,v1_v1,91.7967299659223,,,84.50284088246124,1.0,,,2.0
TS287,plmfold,175.5067642917511,86.9553716349651,88.55139265678599,TS287_v1_1,TS287_v2_5,88.55139265678599,v2_v2,86.9553716349651,,,88.55139265678599,1.0,,,5.0
TS369,Bhattacharya,174.59957160428138,84.70326832139838,89.896303282883,TS369_v1_1,TS369_v2_5,89.896303282883,v2_v2,84.70326832139838,,,89.896303282883,1.0,,,5.0
