Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,v1_v1_Score,v1_v1_ModelNumber,v2_v2_Score,v2_v2_ModelNumber
TS204,Zou,169.39402572618962,72.76137884090268,96.63264688528696,TS204_v1_5,72.76137884090268,5,96.63264688528696,5
TS139,DeepFold-refine,169.35914823794158,73.02099128348138,96.3381569544602,TS139_v1_6,73.02099128348138,6,96.3381569544602,6
TS059,DeepFold,169.35914823794158,73.02099128348138,96.3381569544602,TS059_v1_6,73.02099128348138,6,96.3381569544602,6
TS386,ShanghaiTech-Ligand,169.35677801710858,93.0131407552387,76.34363726186989,TS386_v1_4,93.0131407552387,4,76.34363726186989,4
TS298,ShanghaiTech-human,169.35677801710858,93.0131407552387,76.34363726186989,TS298_v1_4,93.0131407552387,4,76.34363726186989,4
TS462,Zheng,168.95543102163452,91.10429682041048,77.85113420122403,TS462_v1_6,91.10429682041048,6,77.85113420122403,6
TS110,MIEnsembles-Server,168.723393151508,88.22568918864184,80.49770396286617,TS110_v1_2,88.22568918864184,2,80.49770396286617,2
TS208,falcon2,168.6141793428603,91.664564300854,76.9496150420063,TS208_v1_4,91.664564300854,4,76.9496150420063,4
TS022,Yang,168.4151333482208,90.1626568576454,78.25247649057539,TS022_v1_4,90.1626568576454,4,78.25247649057539,4
TS015,PEZYFoldings,168.2865185863048,94.44164394119,73.84487464511479,TS015_v1_5,94.44164394119,5,73.84487464511479,5
TS269,CSSB_server,168.08322859184227,74.20378453741276,93.8794440544295,TS269_v1_3,74.20378453741276,3,93.8794440544295,3
TS221,CSSB_FAKER,168.04154227002414,74.20805105552452,93.8334912144996,TS221_v1_3,74.20805105552452,3,93.8334912144996,3
TS419,CSSB-Human,168.04154227002414,74.20805105552452,93.8334912144996,TS419_v1_3,74.20805105552452,3,93.8334912144996,3
TS052,Yang-Server,167.65567129123423,73.94644223267787,93.70922905855636,TS052_v1_1,73.94644223267787,1,93.70922905855636,1
TS456,Yang-Multimer,167.6195013097954,73.36793155328098,94.2515697565144,TS456_v1_1,73.36793155328098,1,94.2515697565144,1
TS020,comppharmunibas,167.47921209847732,74.16100753475301,93.31820456372432,TS020_v1_3,74.16100753475301,3,93.31820456372432,3
TS198,colabfold,167.41022396463052,82.61300188890561,84.79722207572489,TS198_v1_4,82.61300188890561,4,84.79722207572489,4
TS145,colabfold_baseline,167.39747884462895,83.11898936604732,84.27848947858165,TS145_v1_5,83.11898936604732,5,84.27848947858165,5
TS017,Seder2024hard,167.39747884462895,83.11898936604732,84.27848947858165,TS017_v1_3,83.11898936604732,3,84.27848947858165,3
TS148,Guijunlab-Complex,167.37615457247028,85.3690762876378,82.0070782848325,TS148_v1_5,85.3690762876378,5,82.0070782848325,5
TS312,GuijunLab-Assembly,167.37615457247028,85.3690762876378,82.0070782848325,TS312_v1_1,85.3690762876378,1,82.0070782848325,1
TS264,GuijunLab-Human,167.37615457247028,85.3690762876378,82.0070782848325,TS264_v1_1,85.3690762876378,1,82.0070782848325,1
TS314,GuijunLab-PAthreader,167.37615457247028,85.3690762876378,82.0070782848325,TS314_v1_1,85.3690762876378,1,82.0070782848325,1
TS393,GuijunLab-QA,167.37615457247028,85.3690762876378,82.0070782848325,TS393_v1_1,85.3690762876378,1,82.0070782848325,1
TS388,DeepFold-server,167.26288982409073,86.5285286380621,80.73436118602862,TS388_v1_4,86.5285286380621,4,80.73436118602862,4
TS147,Zheng-Multimer,167.21401616943382,85.95951801859967,81.25449815083417,TS147_v1_1,85.95951801859967,1,81.25449815083417,1
TS196,HYU_MLLAB,167.1746149136415,84.21421679255938,82.96039812108212,TS196_v1_4,84.21421679255938,4,82.96039812108212,4
TS019,Zheng-Server,167.09613789622733,84.18067110240007,82.91546679382726,TS019_v1_1,84.18067110240007,1,82.91546679382726,1
TS311,RAGfold_Prot1,166.93482465647668,84.80090811496493,82.13391654151177,TS311_v1_4,84.80090811496493,4,82.13391654151177,4
TS241,elofsson,166.93151344312105,83.94466888429176,82.98684455882929,TS241_v1_2,83.94466888429176,2,82.98684455882929,2
TS304,AF3-server,166.93151344312105,83.94466888429176,82.98684455882929,TS304_v1_2,83.94466888429176,2,82.98684455882929,2
TS225,Unknown,166.92922460445715,84.58395427554849,82.34527032890867,TS225_v1_1,84.58395427554849,1,82.34527032890867,1
TS164,McGuffin,166.92922460445715,84.58395427554849,82.34527032890867,TS164_v1_1,84.58395427554849,1,82.34527032890867,1
TS163,MultiFOLD2,166.92922460445715,84.58395427554849,82.34527032890867,TS163_v1_1,84.58395427554849,1,82.34527032890867,1
TS262,CoDock,166.91030713188113,71.80945568613781,95.10085144574332,TS262_v1_3,71.80945568613781,3,95.10085144574332,3
TS235,isyslab-hust,166.89330851949367,82.62194950520916,84.27135901428451,TS235_v1_3,82.62194950520916,3,84.27135901428451,3
TS102,Psi-Phi,166.8528752805434,85.59082868494508,81.26204659559832,TS102_v1_5,85.59082868494508,5,81.26204659559832,5
TS091,Huang-HUST,166.8352278105183,85.80194773252894,81.03328007798935,TS091_v1_2,85.80194773252894,2,81.03328007798935,2
TS227,KUMC,166.76384563721274,85.28128736627471,81.48255827093801,TS227_v1_3,85.28128736627471,3,81.48255827093801,3
TS375,milliseconds,166.75855317426561,85.40252773297235,81.35602544129327,TS375_v1_3,85.40252773297235,3,81.35602544129327,3
TS287,plmfold,166.72482442107372,85.58412406657682,81.14070035449691,TS287_v1_1,85.58412406657682,1,81.14070035449691,1
TS122,MQA_server,166.7228193914894,83.12965706935151,83.5931623221379,TS122_v1_4,83.12965706935151,4,83.5931623221379,4
TS425,MULTICOM_GATE,166.67638983087676,85.12056319046432,81.55582664041242,TS425_v1_2,85.12056319046432,2,81.55582664041242,2
TS319,MULTICOM_LLM,166.67638983087676,85.12056319046432,81.55582664041242,TS319_v1_3,85.12056319046432,3,81.55582664041242,3
