Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS015,PEZYFoldings,0.96407,96.407,TS015_v1_2,0.96407,v1_v1,0.96407,2
TS298,ShanghaiTech-human,0.95272,95.272,TS298_v1_1,0.95272,v1_v1,0.95272,1
TS386,ShanghaiTech-Ligand,0.95272,95.272,TS386_v1_1,0.95272,v1_v1,0.95272,1
TS388,DeepFold-server,0.95234,95.234,TS388_v1_4,0.95234,v1_v1,0.95234,4
TS022,Yang,0.95045,95.045,TS022_v1_4,0.95045,v1_v1,0.95045,4
TS319,MULTICOM_LLM,0.94781,94.781,TS319_v1_3,0.94781,v1_v1,0.94781,3
TS423,ShanghaiTech-server,0.94781,94.781,TS423_v1_5,0.94781,v1_v1,0.94781,5
TS425,MULTICOM_GATE,0.94781,94.781,TS425_v1_2,0.94781,v1_v1,0.94781,2
TS110,MIEnsembles-Server,0.94667,94.667,TS110_v1_1,0.94667,v1_v1,0.94667,1
TS465,Wallner,0.9444,94.44,TS465_v1_4,0.9444,v1_v1,0.9444,4
TS167,OpenComplex,0.9444,94.44,TS167_v1_2,0.9444,v1_v1,0.9444,2
TS450,OpenComplex_Server,0.9444,94.44,TS450_v1_5,0.9444,v1_v1,0.9444,5
TS345,MULTICOM_human,0.94327,94.327,TS345_v1_4,0.94327,v1_v1,0.94327,4
TS208,falcon2,0.94289,94.289,TS208_v1_4,0.94289,v1_v1,0.94289,4
TS091,Huang-HUST,0.94251,94.25099999999999,TS091_v1_2,0.94251,v1_v1,0.94251,2
TS375,milliseconds,0.94251,94.25099999999999,TS375_v1_3,0.94251,v1_v1,0.94251,3
TS019,Zheng-Server,0.94213,94.21300000000001,TS019_v1_2,0.94213,v1_v1,0.94213,2
TS079,MRAFold,0.94213,94.21300000000001,TS079_v1_5,0.94213,v1_v1,0.94213,5
TS293,MRAH,0.94175,94.175,TS293_v1_5,0.94175,v1_v1,0.94175,5
TS408,SNU-CHEM-lig,0.94062,94.062,TS408_v1_1,0.94062,v1_v1,0.94062,1
TS311,RAGfold_Prot1,0.94024,94.024,TS311_v1_2,0.94024,v1_v1,0.94024,2
TS055,LCDD-team,0.93986,93.986,TS055_v1_3,0.93986,v1_v1,0.93986,3
TS264,GuijunLab-Human,0.93949,93.949,TS264_v1_3,0.93949,v1_v1,0.93949,3
TS393,GuijunLab-QA,0.93949,93.949,TS393_v1_5,0.93949,v1_v1,0.93949,5
TS051,MULTICOM,0.93911,93.911,TS051_v1_5,0.93911,v1_v1,0.93911,5
TS331,MULTICOM_AI,0.93911,93.911,TS331_v1_5,0.93911,v1_v1,0.93911,5
TS312,GuijunLab-Assembly,0.93873,93.87299999999999,TS312_v1_1,0.93873,v1_v1,0.93873,1
TS314,GuijunLab-PAthreader,0.93873,93.87299999999999,TS314_v1_1,0.93873,v1_v1,0.93873,1
TS148,Guijunlab-Complex,0.93873,93.87299999999999,TS148_v1_5,0.93873,v1_v1,0.93873,5
TS235,isyslab-hust,0.93873,93.87299999999999,TS235_v1_3,0.93873,v1_v1,0.93873,3
TS227,KUMC,0.93835,93.83500000000001,TS227_v1_5,0.93835,v1_v1,0.93835,5
TS147,Zheng-Multimer,0.93835,93.83500000000001,TS147_v1_2,0.93835,v1_v1,0.93835,2
TS462,Zheng,0.93835,93.83500000000001,TS462_v1_2,0.93835,v1_v1,0.93835,2
TS267,kiharalab_server,0.93797,93.797,TS267_v1_1,0.93797,v1_v1,0.93797,1
TS284,Unicorn,0.93759,93.759,TS284_v1_1,0.93759,v1_v1,0.93759,1
TS475,ptq,0.93759,93.759,TS475_v1_3,0.93759,v1_v1,0.93759,3
TS075,GHZ-ISM,0.93759,93.759,TS075_v1_1,0.93759,v1_v1,0.93759,1
TS102,Psi-Phi,0.93684,93.684,TS102_v1_2,0.93684,v1_v1,0.93684,2
TS122,MQA_server,0.93684,93.684,TS122_v1_2,0.93684,v1_v1,0.93684,2
TS287,plmfold,0.93533,93.533,TS287_v1_1,0.93533,v1_v1,0.93533,1
TS014,Cool-PSP,0.93495,93.49499999999999,TS014_v1_3,0.93495,v1_v1,0.93495,3
TS052,Yang-Server,0.93495,93.49499999999999,TS052_v1_3,0.93495,v1_v1,0.93495,3
TS196,HYU_MLLAB,0.93457,93.45700000000001,TS196_v1_2,0.93457,v1_v1,0.93457,2
TS207,MULTICOM_ligand,0.93419,93.419,TS207_v1_1,0.93419,v1_v1,0.93419,1
TS301,GHZ-MAN,0.93381,93.381,TS301_v1_1,0.93381,v1_v1,0.93381,1
TS198,colabfold,0.93381,93.381,TS198_v1_5,0.93381,v1_v1,0.93381,5
TS464,PocketTracer,0.93381,93.381,TS464_v1_5,0.93381,v1_v1,0.93381,5
TS369,Bhattacharya,0.93343,93.343,TS369_v1_1,0.93343,v1_v1,0.93343,1
TS272,GromihaLab,0.93306,93.306,TS272_v1_3,0.93306,v1_v1,0.93306,3
TS164,McGuffin,0.93192,93.192,TS164_v1_3,0.93192,v1_v1,0.93192,3
TS163,MultiFOLD2,0.93192,93.192,TS163_v1_3,0.93192,v1_v1,0.93192,3
TS304,AF3-server,0.93154,93.154,TS304_v1_4,0.93154,v1_v1,0.93154,4
TS241,elofsson,0.93154,93.154,TS241_v1_4,0.93154,v1_v1,0.93154,4
TS145,colabfold_baseline,0.93116,93.116,TS145_v1_2,0.93116,v1_v1,0.93116,2
TS017,Seder2024hard,0.93116,93.116,TS017_v1_4,0.93116,v1_v1,0.93116,4
TS225,Unknown,0.92927,92.927,TS225_v1_1,0.92927,v1_v1,0.92927,1
TS400,OmniFold,0.92852,92.852,TS400_v1_1,0.92852,v1_v1,0.92852,1
TS456,Yang-Multimer,0.92625,92.625,TS456_v1_3,0.92625,v1_v1,0.92625,3
TS262,CoDock,0.92436,92.43599999999999,TS262_v1_5,0.92436,v1_v1,0.92436,5
TS294,KiharaLab,0.92322,92.322,TS294_v1_2,0.92322,v1_v1,0.92322,2
TS020,comppharmunibas,0.92133,92.133,TS020_v1_3,0.92133,v1_v1,0.92133,3
TS139,DeepFold-refine,0.90923,90.923,TS139_v1_6,0.90923,v1_v1,0.90923,6
TS059,DeepFold,0.90923,90.923,TS059_v1_6,0.90923,v1_v1,0.90923,6
TS221,CSSB_FAKER,0.90545,90.545,TS221_v1_3,0.90545,v1_v1,0.90545,3
TS419,CSSB-Human,0.90545,90.545,TS419_v1_3,0.90545,v1_v1,0.90545,3
TS204,Zou,0.90318,90.318,TS204_v1_3,0.90318,v1_v1,0.90318,3
TS269,CSSB_server,0.90318,90.318,TS269_v1_3,0.90318,v1_v1,0.90318,3
TS286,CSSB_experimental,0.89788,89.788,TS286_v1_4,0.89788,v1_v1,0.89788,4
TS202,test001,0.89561,89.561,TS202_v1_5,0.89561,v1_v1,0.89561,5
TS040,DELCLAB,0.8793500000000001,87.935,TS040_v1_2,0.8793500000000001,v1_v1,0.8793500000000001,2
TS039,arosko,0.87027,87.027,TS039_v1_1,0.87027,v1_v1,0.87027,1
TS494,ClusPro,0.86649,86.649,TS494_v1_1,0.86649,v1_v1,0.86649,1
TS274,kozakovvajda,0.86649,86.649,TS274_v1_1,0.86649,v1_v1,0.86649,1
TS120,Cerebra,0.8570300000000001,85.703,TS120_v1_6,0.8570300000000001,v1_v1,0.8570300000000001,6
TS275,Seminoles,0.7870699999999999,78.707,TS275_v1_1,0.7870699999999999,v1_v1,0.7870699999999999,1
TS461,forlilab,0.7674,76.74,TS461_v1_3,0.7674,v1_v1,0.7674,3
TS361,Cerebra_server,0.76551,76.551,TS361_v1_3,0.76551,v1_v1,0.76551,3
TS132,profold2,0.54501,54.501,TS132_v1_1,0.54501,v1_v1,0.54501,1
